Indicator_series,Indicator_Description,City,Country,Region,Estimate_Year,Urban_Share_in_OPS,Urban_Share_in_Streets,Urban_Share_in_OPS_and_Streets,Population_with_OPS_access,Estimate_Source,ObjectId
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Charikar,Afghanistan,Central and Southern Asia ,2020,1.38,16.6,17.98,44.58,UN-Habitat Urban Indicators Database,1
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kandahar,Afghanistan,Central and Southern Asia ,2020,1.06,11.22,12.28,11.22,UN-Habitat Urban Indicators Database,2
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Khanabad,Afghanistan,Central and Southern Asia ,2020,2.6,11.04,13.63,59.61,UN-Habitat Urban Indicators Database,3
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Algiers,Algeria,Western Asia  and Northern Africa ,2020,2.49,12.39,14.89,41.23,UN-Habitat Urban Indicators Database,4
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Annaba,Algeria,Western Asia  and Northern Africa ,2020,3.09,11.71,14.8,49.59,UN-Habitat Urban Indicators Database,5
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Batna,Algeria,Western Asia  and Northern Africa ,2020,1.92,17.61,19.53,42.04,UN-Habitat Urban Indicators Database,6
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Blida,Algeria,Western Asia  and Northern Africa ,2020,2,12.66,14.66,54.01,UN-Habitat Urban Indicators Database,7
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Chlef,Algeria,Western Asia  and Northern Africa ,2020,3.66,10.85,14.52,62.75,UN-Habitat Urban Indicators Database,8
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Djelfa,Algeria,Western Asia  and Northern Africa ,2020,3.4,21.26,24.66,70.55,UN-Habitat Urban Indicators Database,9
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",El Khroub,Algeria,Western Asia  and Northern Africa ,2020,3.07,11.91,14.98,67.46,UN-Habitat Urban Indicators Database,10
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Khemis Miliana,Algeria,Western Asia  and Northern Africa ,2020,1.84,16.24,18.07,74.51,UN-Habitat Urban Indicators Database,11
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Mila,Algeria,Western Asia  and Northern Africa ,2020,3.99,16.13,20.12,81.6,UN-Habitat Urban Indicators Database,12
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",M'Sila,Algeria,Western Asia  and Northern Africa ,2020,2.82,14.21,17.03,65.33,UN-Habitat Urban Indicators Database,13
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Oran,Algeria,Western Asia  and Northern Africa ,2020,2.42,16.61,19.02,56.54,UN-Habitat Urban Indicators Database,14
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tamanrasset,Algeria,Western Asia  and Northern Africa ,2020,4.02,12.78,16.8,67.62,UN-Habitat Urban Indicators Database,15
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tebessa ,Algeria,Western Asia  and Northern Africa ,2020,3.74,10.61,14.35,34.86,UN-Habitat Urban Indicators Database,16
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tiaret,Algeria,Western Asia  and Northern Africa ,2020,1.49,18.09,19.57,32.05,UN-Habitat Urban Indicators Database,17
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bahía Blanca,Argentina,Latin America and the Caribbean,2020,3.72,11.97,15.68,56.97,UN-Habitat Urban Indicators Database,18
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Buenos Aires,Argentina,Latin America and the Caribbean,2020,1.83,21.61,23.45,49.55,UN-Habitat Urban Indicators Database,19
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Catamarca,Argentina,Latin America and the Caribbean,2020,6.03,13.09,19.12,74.2,UN-Habitat Urban Indicators Database,20
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Comodoro Rivadavia,Argentina,Latin America and the Caribbean,2020,1.68,17.73,19.41,61.68,UN-Habitat Urban Indicators Database,21
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Concordia,Argentina,Latin America and the Caribbean,2020,2.02,15.26,17.27,44.76,UN-Habitat Urban Indicators Database,22
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cordoba,Argentina,Latin America and the Caribbean,2020,3.62,20.52,24.14,70.69,UN-Habitat Urban Indicators Database,23
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Formosa,Argentina,Latin America and the Caribbean,2020,2.8,14.52,17.33,53.5,UN-Habitat Urban Indicators Database,24
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",La Plata,Argentina,Latin America and the Caribbean,2020,3.08,13.51,16.59,47.57,UN-Habitat Urban Indicators Database,25
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Mendoza,Argentina,Latin America and the Caribbean,2020,2.67,12.07,14.73,55.86,UN-Habitat Urban Indicators Database,26
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Neuquén,Argentina,Latin America and the Caribbean,2020,3.25,17.42,20.67,74.81,UN-Habitat Urban Indicators Database,27
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Oberá,Argentina,Latin America and the Caribbean,2020,2.21,14.2,16.42,62.73,UN-Habitat Urban Indicators Database,28
