Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Astana (Nur-Sultan),Kazakhstan,Central and Southern Asia ,53.66,UN-Habitat Urban Indicators Database,1
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Asyut,Egypt,Western Asia  and Northern Africa ,22.78,UN-Habitat Urban Indicators Database,2
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Baghdad,Iraq,Western Asia  and Northern Africa ,8.11,UN-Habitat Urban Indicators Database,3
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Besharyk,Uzbekistan,Central and Southern Asia ,38.28,UN-Habitat Urban Indicators Database,4
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Basel,Switzerland,Northern America and Europe,95.42,European Commission DG REGIO,5
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bojnurd,Iran,Central and Southern Asia ,55.7,UN-Habitat Urban Indicators Database,6
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Criciúma,Brazil,Latin America and the Caribbean ,57.43,UN-Habitat Urban Indicators Database,7
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Atbara,Sudan,Western Asia  and Northern Africa ,10.14,UN-Habitat Urban Indicators Database,8
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cartagena (Cartagena de Indias),Colombia,Latin America and the Caribbean ,18.86,UN-Habitat Urban Indicators Database,9
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bologna,Italy,Northern America and Europe,98.09,European Commission DG REGIO,10
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Athina,Greece,Northern America and Europe,97.02,European Commission DG REGIO,11
