"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRPNPC","TOT","RT","A","2017",1,
"AUS","AGRPNPC","TOT","RT","A","2018",1,
"AUS","AGRPNPC","TOT","RT","A","2019",1,
"AUS","AGRPNPC","TOT","RT","A","2020",1,
"AUS","AGRPNPC","TOT","RT","A","2021",1,
"CAN","AGRPNPC","TOT","RT","A","2017",1.0499915301,
"CAN","AGRPNPC","TOT","RT","A","2018",1.0428711385,
"CAN","AGRPNPC","TOT","RT","A","2019",1.0462128665,
"CAN","AGRPNPC","TOT","RT","A","2020",1.0513989748,
"CAN","AGRPNPC","TOT","RT","A","2021",1.055415983,
"ISL","AGRPNPC","TOT","RT","A","2017",2.0588901249,
"ISL","AGRPNPC","TOT","RT","A","2018",2.0002855985,
"ISL","AGRPNPC","TOT","RT","A","2019",1.8787039244,
"ISL","AGRPNPC","TOT","RT","A","2020",1.9092465169,
"ISL","AGRPNPC","TOT","RT","A","2021",1.9567572405,
"JPN","AGRPNPC","TOT","RT","A","2017",1.6286027409,
"JPN","AGRPNPC","TOT","RT","A","2018",1.6210678055,
"JPN","AGRPNPC","TOT","RT","A","2019",1.6351189758,
"JPN","AGRPNPC","TOT","RT","A","2020",1.6631824162,
"JPN","AGRPNPC","TOT","RT","A","2021",1.5149785467,
"KOR","AGRPNPC","TOT","RT","A","2017",1.6480080477,
"KOR","AGRPNPC","TOT","RT","A","2018",1.7419454825,
"KOR","AGRPNPC","TOT","RT","A","2019",1.6590834177,
"KOR","AGRPNPC","TOT","RT","A","2020",1.7323894229,
"KOR","AGRPNPC","TOT","RT","A","2021",1.7471480622,
"MEX","AGRPNPC","TOT","RT","A","2017",1.0494649669,
"MEX","AGRPNPC","TOT","RT","A","2018",1.0619479089,
"MEX","AGRPNPC","TOT","RT","A","2019",1.064654489,
"MEX","AGRPNPC","TOT","RT","A","2020",1.0574856915,
"MEX","AGRPNPC","TOT","RT","A","2021",1.0334420854,
"NZL","AGRPNPC","TOT","RT","A","2017",1.0036589019,
"NZL","AGRPNPC","TOT","RT","A","2018",1.0036128996,
"NZL","AGRPNPC","TOT","RT","A","2019",1.0058061775,
"NZL","AGRPNPC","TOT","RT","A","2020",1.0083644457,
"NZL","AGRPNPC","TOT","RT","A","2021",1.0044196685,
"NOR","AGRPNPC","TOT","RT","A","2017",1.746033497,
"NOR","AGRPNPC","TOT","RT","A","2018",1.7534894262,
"NOR","AGRPNPC","TOT","RT","A","2019",1.6843867536,
"NOR","AGRPNPC","TOT","RT","A","2020",1.6070985002,
"NOR","AGRPNPC","TOT","RT","A","2021",1.4552533993,
"CHE","AGRPNPC","TOT","RT","A","2017",1.5192866221,
"CHE","AGRPNPC","TOT","RT","A","2018",1.4343530619,
"CHE","AGRPNPC","TOT","RT","A","2019",1.4291350127,
"CHE","AGRPNPC","TOT","RT","A","2020",1.5951501574,
"CHE","AGRPNPC","TOT","RT","A","2021",1.4507616181,
"TUR","AGRPNPC","TOT","RT","A","2017",1.2331135798,
"TUR","AGRPNPC","TOT","RT","A","2018",1.1160520182,
"TUR","AGRPNPC","TOT","RT","A","2019",1.1464665459,
"TUR","AGRPNPC","TOT","RT","A","2020",1.1597066231,
"TUR","AGRPNPC","TOT","RT","A","2021",1.1325432504,
"USA","AGRPNPC","TOT","RT","A","2017",1.0271714524,
"USA","AGRPNPC","TOT","RT","A","2018",1.0539328155,
"USA","AGRPNPC","TOT","RT","A","2019",1.0286621212,
"USA","AGRPNPC","TOT","RT","A","2020",1.0234691815,
"USA","AGRPNPC","TOT","RT","A","2021",1.0397430684,
"BRA","AGRPNPC","TOT","RT","A","2017",1.0031075416,
"BRA","AGRPNPC","TOT","RT","A","2018",1.0031162344,
"BRA","AGRPNPC","TOT","RT","A","2019",1.0004274708,
"BRA","AGRPNPC","TOT","RT","A","2020",1.0069383641,
"BRA","AGRPNPC","TOT","RT","A","2021",1.0387045524,
"CHL","AGRPNPC","TOT","RT","A","2017",1.0011006269,
"CHL","AGRPNPC","TOT","RT","A","2018",1.0009734793,
"CHL","AGRPNPC","TOT","RT","A","2019",1.0007184571,
"CHL","AGRPNPC","TOT","RT","A","2020",1.0005325585,
"CHL","AGRPNPC","TOT","RT","A","2021",1.0040989914,
"CHN","AGRPNPC","TOT","RT","A","2017",1.1330913946,
"CHN","AGRPNPC","TOT","RT","A","2018",1.1082490087,
"CHN","AGRPNPC","TOT","RT","A","2019",1.113920834,
"CHN","AGRPNPC","TOT","RT","A","2020",1.145533802,
"CHN","AGRPNPC","TOT","RT","A","2021",1.1706909753,
"IDN","AGRPNPC","TOT","RT","A","2017",1.3367456223,
"IDN","AGRPNPC","TOT","RT","A","2018",1.2624367993,
"IDN","AGRPNPC","TOT","RT","A","2019",1.2518995922,
"IDN","AGRPNPC","TOT","RT","A","2020",1.1778868193,
"IDN","AGRPNPC","TOT","RT","A","2021",1.1647200837,
"ISR","AGRPNPC","TOT","RT","A","2017",1.1034888356,
"ISR","AGRPNPC","TOT","RT","A","2018",1.0966122435,
"ISR","AGRPNPC","TOT","RT","A","2019",1.1168019779,
"ISR","AGRPNPC","TOT","RT","A","2020",1.1563151373,
"ISR","AGRPNPC","TOT","RT","A","2021",1.1506587153,
"KAZ","AGRPNPC","TOT","RT","A","2017",0.9712634472,
"KAZ","AGRPNPC","TOT","RT","A","2018",0.9704613842,
"KAZ","AGRPNPC","TOT","RT","A","2019",1.0102483773,
"KAZ","AGRPNPC","TOT","RT","A","2020",0.9939738929,
"KAZ","AGRPNPC","TOT","RT","A","2021",0.9934666917,
"RUS","AGRPNPC","TOT","RT","A","2017",1.0753870746,
"RUS","AGRPNPC","TOT","RT","A","2018",1.0685654244,
"RUS","AGRPNPC","TOT","RT","A","2019",1.050701465,
"RUS","AGRPNPC","TOT","RT","A","2020",1.0263780144,
"RUS","AGRPNPC","TOT","RT","A","2021",0.9919891899,
"ZAF","AGRPNPC","TOT","RT","A","2017",1.0253200535,
"ZAF","AGRPNPC","TOT","RT","A","2018",1.0380212322,
"ZAF","AGRPNPC","TOT","RT","A","2019",1.0209655406,
"ZAF","AGRPNPC","TOT","RT","A","2020",1.0200657617,
"ZAF","AGRPNPC","TOT","RT","A","2021",1.0165983472,
"UKR","AGRPNPC","TOT","RT","A","2017",0.9797913011,
"UKR","AGRPNPC","TOT","RT","A","2018",1.0112728927,
"UKR","AGRPNPC","TOT","RT","A","2019",1.0195078282,
"UKR","AGRPNPC","TOT","RT","A","2020",1.0053101221,
"UKR","AGRPNPC","TOT","RT","A","2021",1.0050459324,
"EU","AGRPNPC","TOT","RT","A","2017",1.0433029204,
"EU","AGRPNPC","TOT","RT","A","2018",1.0502090828,
"EU","AGRPNPC","TOT","RT","A","2019",1.0481616582,
"EU","AGRPNPC","TOT","RT","A","2020",1.0387505732,
"EU","AGRPNPC","TOT","RT","A","2021",1.0306951839,
"OECD","AGRPNPC","TOT","RT","A","2017",1.0914391607,
"OECD","AGRPNPC","TOT","RT","A","2018",1.0998881542,
"OECD","AGRPNPC","TOT","RT","A","2019",1.0916471303,
"OECD","AGRPNPC","TOT","RT","A","2020",1.087915982,
"OECD","AGRPNPC","TOT","RT","A","2021",1.0783614265,
"COL","AGRPNPC","TOT","RT","A","2017",1.1032757518,
"COL","AGRPNPC","TOT","RT","A","2018",1.1449927643,
"COL","AGRPNPC","TOT","RT","A","2019",1.1277545543,
"COL","AGRPNPC","TOT","RT","A","2020",1.1038954933,
"COL","AGRPNPC","TOT","RT","A","2021",1.0716222417,
