"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FISHLAND","TOT","TONNE","A","2017",166016.30644176,
"AUS","FISHLAND","TOT","TONNE","A","2018",173433.50567846,
"AUS","FISHLAND","TOT","TONNE","A","2019",167022.26754022,
"AUS","FISHLAND","TOT","TONNE","A","2020",179080.12500022,
"BEL","FISHLAND","TOT","TONNE","A","2017",22141.77,
"BEL","FISHLAND","TOT","TONNE","A","2018",20632.623,
"BEL","FISHLAND","TOT","TONNE","A","2019",19308.967,
"BEL","FISHLAND","TOT","TONNE","A","2020",18306.064,
"CAN","FISHLAND","TOT","TONNE","A","2017",827028.0864895,"C"
"CAN","FISHLAND","TOT","TONNE","A","2018",803172.1873948,"C"
"CAN","FISHLAND","TOT","TONNE","A","2019",743232.94214665,"C"
"CAN","FISHLAND","TOT","TONNE","A","2020",719249.04212496,"C"
"DNK","FISHLAND","TOT","TONNE","A","2017",897041,
"DNK","FISHLAND","TOT","TONNE","A","2018",782129.6,
"DNK","FISHLAND","TOT","TONNE","A","2019",632257.6,
"DNK","FISHLAND","TOT","TONNE","A","2020",728265.6,
"FIN","FISHLAND","TOT","TONNE","A","2017",154427,
"FIN","FISHLAND","TOT","TONNE","A","2018",147580,
"FIN","FISHLAND","TOT","TONNE","A","2019",135059,
"FIN","FISHLAND","TOT","TONNE","A","2020",112315,
"FRA","FISHLAND","TOT","TONNE","A","2017",419706.76205,
"FRA","FISHLAND","TOT","TONNE","A","2018",482205.25835,
"FRA","FISHLAND","TOT","TONNE","A","2019",503959.16149,
"FRA","FISHLAND","TOT","TONNE","A","2020",436190.37902,
"DEU","FISHLAND","TOT","TONNE","A","2017",256317.036,
"DEU","FISHLAND","TOT","TONNE","A","2018",270488.317,
"DEU","FISHLAND","TOT","TONNE","A","2019",192937.245,
"DEU","FISHLAND","TOT","TONNE","A","2020",181133.642,
"GRC","FISHLAND","TOT","TONNE","A","2017",62554.1,
"GRC","FISHLAND","TOT","TONNE","A","2018",53579.7845524,
"GRC","FISHLAND","TOT","TONNE","A","2019",73213.7987403,
"GRC","FISHLAND","TOT","TONNE","A","2020",50280.05093087,
"ISL","FISHLAND","TOT","TONNE","A","2017",1158717.658,
"ISL","FISHLAND","TOT","TONNE","A","2018",1255079.803,
"IRL","FISHLAND","TOT","TONNE","A","2017",245479.31,
"IRL","FISHLAND","TOT","TONNE","A","2018",213339.28,
"ITA","FISHLAND","TOT","TONNE","A","2017",191915.62173,
"ITA","FISHLAND","TOT","TONNE","A","2018",199825.45915,
"ITA","FISHLAND","TOT","TONNE","A","2019",180060.27827575,
"ITA","FISHLAND","TOT","TONNE","A","2020",136392.373,
"JPN","FISHLAND","TOT","TONNE","A","2017",3258018,
"JPN","FISHLAND","TOT","TONNE","A","2018",3415243,
"JPN","FISHLAND","TOT","TONNE","A","2019",3268357,
"JPN","FISHLAND","TOT","TONNE","A","2020",3164413,"P"
"KOR","FISHLAND","TOT","TONNE","A","2017",956345.060788,
"KOR","FISHLAND","TOT","TONNE","A","2018",1036169.38551,
"KOR","FISHLAND","TOT","TONNE","A","2019",943857.2131,
"KOR","FISHLAND","TOT","TONNE","A","2020",945346.3411,
"MEX","FISHLAND","TOT","TONNE","A","2017",1454297.8155373,
"MEX","FISHLAND","TOT","TONNE","A","2018",1772336.4495567,
"MEX","FISHLAND","TOT","TONNE","A","2019",1541932.7111143,
"MEX","FISHLAND","TOT","TONNE","A","2020",1662203.4625813,
"NLD","FISHLAND","TOT","TONNE","A","2017",411766.181,
"NLD","FISHLAND","TOT","TONNE","A","2018",394746.29957326,
"NLD","FISHLAND","TOT","TONNE","A","2019",309892.96885774,
"NLD","FISHLAND","TOT","TONNE","A","2020",297865.86058722,
"NZL","FISHLAND","TOT","TONNE","A","2017",422111.91169388,
"NZL","FISHLAND","TOT","TONNE","A","2018",400333.31404082,
