"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FISHLAND","NLD","USD","A","2017",1255119417.5297,"C"
"AUS","FISHLAND","NLD","USD","A","2018",1258247475.7594,"C"
"AUS","FISHLAND","NLD","USD","A","2019",1086227024.3899,"C"
"AUS","FISHLAND","NLD","USD","A","2020",971479118.4131,"C"
"BEL","FISHLAND","NLD","USD","A","2017",75805798.531819,
"BEL","FISHLAND","NLD","USD","A","2018",73900001.850146,
"BEL","FISHLAND","NLD","USD","A","2019",66223967.193113,
"BEL","FISHLAND","NLD","USD","A","2020",64279970.888288,
"CAN","FISHLAND","NLD","USD","A","2017",2939337389.5882,"C"
"CAN","FISHLAND","NLD","USD","A","2018",2808134935.306,"C"
"CAN","FISHLAND","NLD","USD","A","2019",2743439991.1109,"C"
"CAN","FISHLAND","NLD","USD","A","2020",1847986580.7004,"C"
"DNK","FISHLAND","NLD","USD","A","2017",411984578.53363,
"DNK","FISHLAND","NLD","USD","A","2018",459645083.86724,
"DNK","FISHLAND","NLD","USD","A","2019",391910304.07151,"C"
"DNK","FISHLAND","NLD","USD","A","2020",374281471.8853,"C"
"FIN","FISHLAND","NLD","USD","A","2017",35141188.029534,
"FIN","FISHLAND","NLD","USD","A","2018",34772983.097385,
"FIN","FISHLAND","NLD","USD","A","2019",31037164.105543,
"FIN","FISHLAND","NLD","USD","A","2020",30250418.776944,
"FRA","FISHLAND","NLD","USD","A","2017",656868307.45049,
"FRA","FISHLAND","NLD","USD","A","2018",827747153.0505,
"FRA","FISHLAND","NLD","USD","A","2019",855600198.85976,
"FRA","FISHLAND","NLD","USD","A","2020",721445761.88254,
"DEU","FISHLAND","NLD","USD","A","2017",145340282.20592,
"DEU","FISHLAND","NLD","USD","A","2018",183843623.93714,
"DEU","FISHLAND","NLD","USD","A","2019",94052668.264464,
"DEU","FISHLAND","NLD","USD","A","2020",100098973.03887,
"GRC","FISHLAND","NLD","USD","A","2017",204960568.65689,
"GRC","FISHLAND","NLD","USD","A","2018",157528753.986,
"GRC","FISHLAND","NLD","USD","A","2019",206425309.30416,
"GRC","FISHLAND","NLD","USD","A","2020",157421882.03739,
"ISL","FISHLAND","NLD","USD","A","2017",1021668945.6965,
"ISL","FISHLAND","NLD","USD","A","2018",1207745439.3962,
"IRL","FISHLAND","NLD","USD","A","2017",258884090.62579,
"IRL","FISHLAND","NLD","USD","A","2018",256940436.41659,
"ITA","FISHLAND","NLD","USD","A","2017",1048969925.5052,
"ITA","FISHLAND","NLD","USD","A","2018",1114293111.271,
"ITA","FISHLAND","NLD","USD","A","2019",989914030.27571,
"ITA","FISHLAND","NLD","USD","A","2020",732102818.55657,
"JPN","FISHLAND","NLD","USD","A","2017",8581456380.7898,
"JPN","FISHLAND","NLD","USD","A","2018",8482376078.441,
"JPN","FISHLAND","NLD","USD","A","2019",7810548490.6382,
"KOR","FISHLAND","NLD","USD","A","2017",3537003264.184,
"KOR","FISHLAND","NLD","USD","A","2018",3733956755.6357,
"KOR","FISHLAND","NLD","USD","A","2019",3381315786.7066,
"KOR","FISHLAND","NLD","USD","A","2020",3686948432.7422,
