"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2017",19.448,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2018",19.699,
"AUS","NUTRBALANCE","NITROGEN","KG_HA","A","2019",19.367,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2017",44,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2018",46,
"AUT","NUTRBALANCE","NITROGEN","KG_HA","A","2019",34,
"CAN","NUTRBALANCE","NITROGEN","KG_HA","A","2017",19.791,
"CAN","NUTRBALANCE","NITROGEN","KG_HA","A","2018",23.733,
"CZE","NUTRBALANCE","NITROGEN","KG_HA","A","2017",102,
"CZE","NUTRBALANCE","NITROGEN","KG_HA","A","2018",95,
"CZE","NUTRBALANCE","NITROGEN","KG_HA","A","2019",76,
"FIN","NUTRBALANCE","NITROGEN","KG_HA","A","2017",52,
"FIN","NUTRBALANCE","NITROGEN","KG_HA","A","2018",58,
"FIN","NUTRBALANCE","NITROGEN","KG_HA","A","2019",44,
"FRA","NUTRBALANCE","NITROGEN","KG_HA","A","2017",39,
"FRA","NUTRBALANCE","NITROGEN","KG_HA","A","2018",40,
"DEU","NUTRBALANCE","NITROGEN","KG_HA","A","2017",62,
"DEU","NUTRBALANCE","NITROGEN","KG_HA","A","2018",78,
"DEU","NUTRBALANCE","NITROGEN","KG_HA","A","2019",53,
"HUN","NUTRBALANCE","NITROGEN","KG_HA","A","2017",33,
"ISL","NUTRBALANCE","NITROGEN","KG_HA","A","2017",7.667,
"ISL","NUTRBALANCE","NITROGEN","KG_HA","A","2018",7.744,
"ISL","NUTRBALANCE","NITROGEN","KG_HA","A","2019",6.648,
"ISL","NUTRBALANCE","NITROGEN","KG_HA","A","2020",7.219,
"IRL","NUTRBALANCE","NITROGEN","KG_HA","A","2017",62,
"ITA","NUTRBALANCE","NITROGEN","KG_HA","A","2017",68,
"KOR","NUTRBALANCE","NITROGEN","KG_HA","A","2017",229.825,
"KOR","NUTRBALANCE","NITROGEN","KG_HA","A","2018",226.647,
"KOR","NUTRBALANCE","NITROGEN","KG_HA","A","2019",227.764,
"MEX","NUTRBALANCE","NITROGEN","KG_HA","A","2017",31.075,
"MEX","NUTRBALANCE","NITROGEN","KG_HA","A","2018",30.948,
"MEX","NUTRBALANCE","NITROGEN","KG_HA","A","2019",30.52,
"NLD","NUTRBALANCE","NITROGEN","KG_HA","A","2017",182,
"NLD","NUTRBALANCE","NITROGEN","KG_HA","A","2018",196,
"NLD","NUTRBALANCE","NITROGEN","KG_HA","A","2019",166,
"NZL","NUTRBALANCE","NITROGEN","KG_HA","A","2017",61.943,
"NZL","NUTRBALANCE","NITROGEN","KG_HA","A","2018",63.357,
"NZL","NUTRBALANCE","NITROGEN","KG_HA","A","2019",63.101,
"NZL","NUTRBALANCE","NITROGEN","KG_HA","A","2020",65.994,
"POL","NUTRBALANCE","NITROGEN","KG_HA","A","2017",48,
"POL","NUTRBALANCE","NITROGEN","KG_HA","A","2018",62,
"POL","NUTRBALANCE","NITROGEN","KG_HA","A","2019",47,
"PRT","NUTRBALANCE","NITROGEN","KG_HA","A","2017",45,
"PRT","NUTRBALANCE","NITROGEN","KG_HA","A","2018",46,
"PRT","NUTRBALANCE","NITROGEN","KG_HA","A","2019",45,
"SVK","NUTRBALANCE","NITROGEN","KG_HA","A","2017",27,
"SVK","NUTRBALANCE","NITROGEN","KG_HA","A","2018",63,
"SVK","NUTRBALANCE","NITROGEN","KG_HA","A","2019",63,
"ESP","NUTRBALANCE","NITROGEN","KG_HA","A","2017",49,
"SWE","NUTRBALANCE","NITROGEN","KG_HA","A","2017",35,
"SWE","NUTRBALANCE","NITROGEN","KG_HA","A","2018",60,
"CHE","NUTRBALANCE","NITROGEN","KG_HA","A","2017",61,
"CHE","NUTRBALANCE","NITROGEN","KG_HA","A","2018",67,
"CHE","NUTRBALANCE","NITROGEN","KG_HA","A","2019",59,
"TUR","NUTRBALANCE","NITROGEN","KG_HA","A","2017",32.001,
"TUR","NUTRBALANCE","NITROGEN","KG_HA","A","2018",28.222,
"TUR","NUTRBALANCE","NITROGEN","KG_HA","A","2019",32.164,
"GBR","NUTRBALANCE","NITROGEN","KG_HA","A","2017",86,
"USA","NUTRBALANCE","NITROGEN","KG_HA","A","2017",27.037,
"USA","NUTRBALANCE","NITROGEN","KG_HA","A","2018",27.518,
"USA","NUTRBALANCE","NITROGEN","KG_HA","A","2019",30.534,
"SVN","NUTRBALANCE","NITROGEN","KG_HA","A","2017",65,
"SVN","NUTRBALANCE","NITROGEN","KG_HA","A","2018",43,
"SVN","NUTRBALANCE","NITROGEN","KG_HA","A","2019",43,
"BGR","NUTRBALANCE","NITROGEN","KG_HA","A","2017",66,
"HRV","NUTRBALANCE","NITROGEN","KG_HA","A","2017",65,
"HRV","NUTRBALANCE","NITROGEN","KG_HA","A","2018",58,
"HRV","NUTRBALANCE","NITROGEN","KG_HA","A","2019",53,
"LVA","NUTRBALANCE","NITROGEN","KG_HA","A","2017",22,
"LVA","NUTRBALANCE","NITROGEN","KG_HA","A","2018",26,
"LVA","NUTRBALANCE","NITROGEN","KG_HA","A","2019",12,
"LTU","NUTRBALANCE","NITROGEN","KG_HA","A","2018",44,
"LTU","NUTRBALANCE","NITROGEN","KG_HA","A","2019",41,
"ROU","NUTRBALANCE","NITROGEN","KG_HA","A","2017",-13,
"ROU","NUTRBALANCE","NITROGEN","KG_HA","A","2018",-27,
"ROU","NUTRBALANCE","NITROGEN","KG_HA","A","2019",-25,
"ARG","NUTRBALANCE","NITROGEN","KG_HA","A","2017",-0.095,
"ARG","NUTRBALANCE","NITROGEN","KG_HA","A","2018",1.924,
"ARG","NUTRBALANCE","NITROGEN","KG_HA","A","2019",3.09,
"BRA","NUTRBALANCE","NITROGEN","KG_HA","A","2017",21.692,
"BRA","NUTRBALANCE","NITROGEN","KG_HA","A","2018",21.179,
