"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2017",6355.2762663806,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2018",7797.1166056622,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2019",9263.9188155974,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2020",9168.2146542828,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2021",8096.1321817499,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2017",10678.615714125,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2018",5678.0361147173,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2019",12632.934064704,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2020",6915.0997150997,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2021",18434.247871334,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2017",29562.619772292,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2018",43553.640977222,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2019",6113.2878092466,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2020",10348.717948718,
"BEL","FDIFLOW","OUTWARD","MLN_USD","A","2021",33009.697256386,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2017",76178.694667052,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2018",58036.282296119,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2019",79376.741695479,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2020",46525.640253952,
"CAN","FDIFLOW","OUTWARD","MLN_USD","A","2021",98259.231997926,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2017",7557.0480425905,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2018",8662.6027390956,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2019",4128.359738521,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2020",2989.4045880452,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2021",5581.7538810637,
"DNK","FDIFLOW","OUTWARD","MLN_USD","A","2017",10024.690235996,
"DNK","FDIFLOW","OUTWARD","MLN_USD","A","2018",-75.552387740556,
"DNK","FDIFLOW","OUTWARD","MLN_USD","A","2019",16843.69939423,
"DNK","FDIFLOW","OUTWARD","MLN_USD","A","2020",9960.1039437481,
"DNK","FDIFLOW","OUTWARD","MLN_USD","A","2021",27367.090218031,
"FIN","FDIFLOW","OUTWARD","MLN_USD","A","2017",-574.90700033818,
"FIN","FDIFLOW","OUTWARD","MLN_USD","A","2018",11448.129352059,
"FIN","FDIFLOW","OUTWARD","MLN_USD","A","2019",4863.9874622187,
"FIN","FDIFLOW","OUTWARD","MLN_USD","A","2020",5842.735042735,
"FIN","FDIFLOW","OUTWARD","MLN_USD","A","2021",9461.9205298013,
"FRA","FDIFLOW","OUTWARD","MLN_USD","A","2017",35908.408542885,
"FRA","FDIFLOW","OUTWARD","MLN_USD","A","2018",101978.18078488,
"FRA","FDIFLOW","OUTWARD","MLN_USD","A","2019",43811.812015649,
"FRA","FDIFLOW","OUTWARD","MLN_USD","A","2020",8428.4350827038,
"FRA","FDIFLOW","OUTWARD","MLN_USD","A","2021",15512.256087832,
"DEU","FDIFLOW","OUTWARD","MLN_USD","A","2017",86333.198061098,
"DEU","FDIFLOW","OUTWARD","MLN_USD","A","2018",97172.472559896,
"DEU","FDIFLOW","OUTWARD","MLN_USD","A","2019",137288.95667749,
"DEU","FDIFLOW","OUTWARD","MLN_USD","A","2020",60486.357834758,
"DEU","FDIFLOW","OUTWARD","MLN_USD","A","2021",151670.94725639,
"GRC","FDIFLOW","OUTWARD","MLN_USD","A","2017",168.0256915793,
"GRC","FDIFLOW","OUTWARD","MLN_USD","A","2018",476.59877965302,
"GRC","FDIFLOW","OUTWARD","MLN_USD","A","2019",641.57647374902,
"GRC","FDIFLOW","OUTWARD","MLN_USD","A","2020",547.35616182336,
"GRC","FDIFLOW","OUTWARD","MLN_USD","A","2021",1109.0653464995,
"HUN","FDIFLOW","OUTWARD","MLN_USD","A","2017",1219.8055024038,
"HUN","FDIFLOW","OUTWARD","MLN_USD","A","2018",3363.4644728097,
"HUN","FDIFLOW","OUTWARD","MLN_USD","A","2019",3180.2846739843,
"HUN","FDIFLOW","OUTWARD","MLN_USD","A","2020",4407.4614769963,
"HUN","FDIFLOW","OUTWARD","MLN_USD","A","2021",4101.4543637907,
"ISL","FDIFLOW","OUTWARD","MLN_USD","A","2017",-208.26897477519,
"ISL","FDIFLOW","OUTWARD","MLN_USD","A","2018",75.986452299959,
"ISL","FDIFLOW","OUTWARD","MLN_USD","A","2019",478.71555368915,
"ISL","FDIFLOW","OUTWARD","MLN_USD","A","2020",-426.90281802395,
"ISL","FDIFLOW","OUTWARD","MLN_USD","A","2021",22.583676578435,
"IRL","FDIFLOW","OUTWARD","MLN_USD","A","2017",-2042.6107541427,
"IRL","FDIFLOW","OUTWARD","MLN_USD","A","2018",4313.7023486368,
"IRL","FDIFLOW","OUTWARD","MLN_USD","A","2019",34441.956789432,
"IRL","FDIFLOW","OUTWARD","MLN_USD","A","2020",-46482.051282051,
"IRL","FDIFLOW","OUTWARD","MLN_USD","A","2021",62229.36115894,
"ITA","FDIFLOW","OUTWARD","MLN_USD","A","2017",24478.444369293,
"ITA","FDIFLOW","OUTWARD","MLN_USD","A","2018",31522.662575239,
"ITA","FDIFLOW","OUTWARD","MLN_USD","A","2019",19786.106571141,
"ITA","FDIFLOW","OUTWARD","MLN_USD","A","2020",-1851.7766381766,
"ITA","FDIFLOW","OUTWARD","MLN_USD","A","2021",28337.129848628,
"JPN","FDIFLOW","OUTWARD","MLN_USD","A","2017",164562.96926062,
"JPN","FDIFLOW","OUTWARD","MLN_USD","A","2018",144962.9281604,
"JPN","FDIFLOW","OUTWARD","MLN_USD","A","2019",232549.87347998,
"JPN","FDIFLOW","OUTWARD","MLN_USD","A","2020",95677.269228024,
"JPN","FDIFLOW","OUTWARD","MLN_USD","A","2021",146767.70824177,
"KOR","FDIFLOW","OUTWARD","MLN_USD","A","2017",51044,
"KOR","FDIFLOW","OUTWARD","MLN_USD","A","2018",45232,
"KOR","FDIFLOW","OUTWARD","MLN_USD","A","2019",50983.93,
"KOR","FDIFLOW","OUTWARD","MLN_USD","A","2020",36879.45,
"KOR","FDIFLOW","OUTWARD","MLN_USD","A","2021",60819.8,
"LUX","FDIFLOW","OUTWARD","MLN_USD","A","2017",14987.036410777,
"LUX","FDIFLOW","OUTWARD","MLN_USD","A","2018",21843.502891538,
"LUX","FDIFLOW","OUTWARD","MLN_USD","A","2019",176762.56576738,
"LUX","FDIFLOW","OUTWARD","MLN_USD","A","2020",101105.41310541,
"LUX","FDIFLOW","OUTWARD","MLN_USD","A","2021",35862.10974456,
"MEX","FDIFLOW","OUTWARD","MLN_USD","A","2017",3987.916153,
"MEX","FDIFLOW","OUTWARD","MLN_USD","A","2018",8364.64968,
"MEX","FDIFLOW","OUTWARD","MLN_USD","A","2019",10639.548381,
"MEX","FDIFLOW","OUTWARD","MLN_USD","A","2020",2300.592639,
"MEX","FDIFLOW","OUTWARD","MLN_USD","A","2021",-1525.522627,
"NLD","FDIFLOW","OUTWARD","MLN_USD","A","2017",18558.07368955,
"NLD","FDIFLOW","OUTWARD","MLN_USD","A","2018",-46875.572084268,
"NLD","FDIFLOW","OUTWARD","MLN_USD","A","2019",14378.628504422,
"NLD","FDIFLOW","OUTWARD","MLN_USD","A","2020",-189043.24458575,
"NLD","FDIFLOW","OUTWARD","MLN_USD","A","2021",23503.589841533,
"NZL","FDIFLOW","OUTWARD","MLN_USD","A","2017",226.65908767941,
"NZL","FDIFLOW","OUTWARD","MLN_USD","A","2018",376.31433314887,
"NZL","FDIFLOW","OUTWARD","MLN_USD","A","2019",-167.98418972332,
"NZL","FDIFLOW","OUTWARD","MLN_USD","A","2020",546.32753698417,
"NZL","FDIFLOW","OUTWARD","MLN_USD","A","2021",-1591.2305516266,
"NOR","FDIFLOW","OUTWARD","MLN_USD","A","2017",-7415.3064925644,
"NOR","FDIFLOW","OUTWARD","MLN_USD","A","2018",11404.951566111,
"NOR","FDIFLOW","OUTWARD","MLN_USD","A","2019",12973.427590753,
"NOR","FDIFLOW","OUTWARD","MLN_USD","A","2020",3580.8226745421,
"NOR","FDIFLOW","OUTWARD","MLN_USD","A","2021",22094.395623581,
"POL","FDIFLOW","OUTWARD","MLN_USD","A","2017",1907.7694344691,
"POL","FDIFLOW","OUTWARD","MLN_USD","A","2018",1239.4830323046,
"POL","FDIFLOW","OUTWARD","MLN_USD","A","2019",1673.9413357752,
"POL","FDIFLOW","OUTWARD","MLN_USD","A","2020",1150.5393341344,
"POL","FDIFLOW","OUTWARD","MLN_USD","A","2021",1783.2274082108,
"PRT","FDIFLOW","OUTWARD","MLN_USD","A","2017",-927.74208093789,
"PRT","FDIFLOW","OUTWARD","MLN_USD","A","2018",1373.7755222471,
"PRT","FDIFLOW","OUTWARD","MLN_USD","A","2019",4010.9705586029,
"PRT","FDIFLOW","OUTWARD","MLN_USD","A","2020",2520.7977207977,
"PRT","FDIFLOW","OUTWARD","MLN_USD","A","2021",-516.79280983917,
"SVK","FDIFLOW","OUTWARD","MLN_USD","A","2017",1322.5608161425,
"SVK","FDIFLOW","OUTWARD","MLN_USD","A","2018",290.94181517762,
"SVK","FDIFLOW","OUTWARD","MLN_USD","A","2019",43.274894212471,
"SVK","FDIFLOW","OUTWARD","MLN_USD","A","2020",347.31047293447,
"SVK","FDIFLOW","OUTWARD","MLN_USD","A","2021",388.55605605487,
"ESP","FDIFLOW","OUTWARD","MLN_USD","A","2017",55926.051177996,
"ESP","FDIFLOW","OUTWARD","MLN_USD","A","2018",37522.719225776,
"ESP","FDIFLOW","OUTWARD","MLN_USD","A","2019",27426.396507332,
"ESP","FDIFLOW","OUTWARD","MLN_USD","A","2020",33900.854700855,
"ESP","FDIFLOW","OUTWARD","MLN_USD","A","2021",-1057.2374645222,
"SWE","FDIFLOW","OUTWARD","MLN_USD","A","2017",27368.667368667,
"SWE","FDIFLOW","OUTWARD","MLN_USD","A","2018",17833.816625242,
"SWE","FDIFLOW","OUTWARD","MLN_USD","A","2019",16098.837762667,
"SWE","FDIFLOW","OUTWARD","MLN_USD","A","2020",23998.067255177,
"SWE","FDIFLOW","OUTWARD","MLN_USD","A","2021",23483.309820565,
"CHE","FDIFLOW","OUTWARD","MLN_USD","A","2017",24294.75012616,
"CHE","FDIFLOW","OUTWARD","MLN_USD","A","2018",60287.421559984,
"CHE","FDIFLOW","OUTWARD","MLN_USD","A","2019",-53034.194636699,
"CHE","FDIFLOW","OUTWARD","MLN_USD","A","2020",-27463.899912112,
"CHE","FDIFLOW","OUTWARD","MLN_USD","A","2021",-5079.0388413063,
"TUR","FDIFLOW","OUTWARD","MLN_USD","A","2017",2624.65,
"TUR","FDIFLOW","OUTWARD","MLN_USD","A","2018",3654.57,
"TUR","FDIFLOW","OUTWARD","MLN_USD","A","2019",2970.3,
"TUR","FDIFLOW","OUTWARD","MLN_USD","A","2020",3231.46,
"TUR","FDIFLOW","OUTWARD","MLN_USD","A","2021",4972.18,
"GBR","FDIFLOW","OUTWARD","MLN_USD","A","2017",142442.69894412,
"GBR","FDIFLOW","OUTWARD","MLN_USD","A","2018",82942.510337468,
"GBR","FDIFLOW","OUTWARD","MLN_USD","A","2019",11715.160796325,
"GBR","FDIFLOW","OUTWARD","MLN_USD","A","2020",-78169.808900859,
"GBR","FDIFLOW","OUTWARD","MLN_USD","A","2021",85962.861072902,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2017",353663,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2018",-129021,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2019",47649,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2020",232005,
"USA","FDIFLOW","OUTWARD","MLN_USD","A","2021",378719,
"ARG","FDIFLOW","OUTWARD","MLN_USD","A","2017",1155.6,
"ARG","FDIFLOW","OUTWARD","MLN_USD","A","2018",1725.9,
"ARG","FDIFLOW","OUTWARD","MLN_USD","A","2019",1539.1,
"ARG","FDIFLOW","OUTWARD","MLN_USD","A","2020",1293.9,
"ARG","FDIFLOW","OUTWARD","MLN_USD","A","2021",1363,
"BRA","FDIFLOW","OUTWARD","MLN_USD","A","2017",19040.36781352,
