"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.44993711535805,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2018",0.53620414580369,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2019",0.67274657627868,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.64451534391328,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2021",0.47216321824309,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2017",2.5592160771538,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.2474588766784,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2019",2.8387856739795,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.5960678705899,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2021",3.8665100572867,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2017",5.8807900352701,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2018",8.0109537603772,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.141867469525,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.9837408841982,
"BEL","FDIFLOW","OUTWARD","PC_GDP","A","2021",5.5027259257927,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2017",4.6189464369506,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2018",3.3706317450635,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2019",4.5577524876588,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2020",2.8275786192145,
"CAN","FDIFLOW","OUTWARD","PC_GDP","A","2021",4.9417813273301,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2017",3.4565640876346,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2018",3.4796542516334,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.6350069063997,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.2153306024464,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2021",1.9809054865778,
"DNK","FDIFLOW","OUTWARD","PC_GDP","A","2017",3.0183840279934,
"DNK","FDIFLOW","OUTWARD","PC_GDP","A","2018",-0.02117027953148,
"DNK","FDIFLOW","OUTWARD","PC_GDP","A","2019",4.8462528463986,
"DNK","FDIFLOW","OUTWARD","PC_GDP","A","2020",2.8039057052265,
"DNK","FDIFLOW","OUTWARD","PC_GDP","A","2021",6.8709172678286,
"FIN","FDIFLOW","OUTWARD","PC_GDP","A","2017",-0.22488226011476,
"FIN","FDIFLOW","OUTWARD","PC_GDP","A","2018",4.1521590047331,
"FIN","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.8114856314327,
"FIN","FDIFLOW","OUTWARD","PC_GDP","A","2020",2.149425129709,
"FIN","FDIFLOW","OUTWARD","PC_GDP","A","2021",3.1817865669107,
"FRA","FDIFLOW","OUTWARD","PC_GDP","A","2017",1.3836731867581,
"FRA","FDIFLOW","OUTWARD","PC_GDP","A","2018",3.6538787390404,
"FRA","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.6054927059429,
"FRA","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.31937882897862,
"FRA","FDIFLOW","OUTWARD","PC_GDP","A","2021",0.52443835235739,
"DEU","FDIFLOW","OUTWARD","PC_GDP","A","2017",2.3443528879671,
"DEU","FDIFLOW","OUTWARD","PC_GDP","A","2018",2.4449328567592,
"DEU","FDIFLOW","OUTWARD","PC_GDP","A","2019",3.5308893227269,
"DEU","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.5550515838188,
"DEU","FDIFLOW","OUTWARD","PC_GDP","A","2021",3.5604052835735,
"GRC","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.0840782586749,
"GRC","FDIFLOW","OUTWARD","PC_GDP","A","2018",0.22475826618456,
"GRC","FDIFLOW","OUTWARD","PC_GDP","A","2019",0.31274414472796,
"GRC","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.28985917976276,
"GRC","FDIFLOW","OUTWARD","PC_GDP","A","2021",0.51288488216343,
"HUN","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.85219916583212,
"HUN","FDIFLOW","OUTWARD","PC_GDP","A","2018",2.0944837762566,
"HUN","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.9448130266252,
"HUN","FDIFLOW","OUTWARD","PC_GDP","A","2020",2.8119014342554,
"HUN","FDIFLOW","OUTWARD","PC_GDP","A","2021",2.2500785129461,
"ISL","FDIFLOW","OUTWARD","PC_GDP","A","2017",-0.84208281691043,
"ISL","FDIFLOW","OUTWARD","PC_GDP","A","2018",0.29018522579274,
"ISL","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.925824004993,
"ISL","FDIFLOW","OUTWARD","PC_GDP","A","2020",-1.9677747008438,
"ISL","FDIFLOW","OUTWARD","PC_GDP","A","2021",0.08820921702042,
"IRL","FDIFLOW","OUTWARD","PC_GDP","A","2017",-0.6019338501411,
"IRL","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.1203208246371,
"IRL","FDIFLOW","OUTWARD","PC_GDP","A","2019",8.6294286358565,
"IRL","FDIFLOW","OUTWARD","PC_GDP","A","2020",-10.914123464577,
"IRL","FDIFLOW","OUTWARD","PC_GDP","A","2021",12.481829887327,
"ITA","FDIFLOW","OUTWARD","PC_GDP","A","2017",1.2477567429936,
"ITA","FDIFLOW","OUTWARD","PC_GDP","A","2018",1.5068681270599,
"ITA","FDIFLOW","OUTWARD","PC_GDP","A","2019",0.98375415144358,
"ITA","FDIFLOW","OUTWARD","PC_GDP","A","2020",-0.09784434005393,
"ITA","FDIFLOW","OUTWARD","PC_GDP","A","2021",1.349464119364,
"JPN","FDIFLOW","OUTWARD","PC_GDP","A","2017",3.3812934928004,
"JPN","FDIFLOW","OUTWARD","PC_GDP","A","2018",2.9257030569145,
"JPN","FDIFLOW","OUTWARD","PC_GDP","A","2019",4.5390480232124,
"JPN","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.8983179135181,
"JPN","FDIFLOW","OUTWARD","PC_GDP","A","2021",2.8760443776789,
"KOR","FDIFLOW","OUTWARD","PC_GDP","A","2017",3.1448964652939,
"KOR","FDIFLOW","OUTWARD","PC_GDP","A","2018",2.6215774510028,
"KOR","FDIFLOW","OUTWARD","PC_GDP","A","2019",3.0960537041931,
"KOR","FDIFLOW","OUTWARD","PC_GDP","A","2020",2.2516359099278,
"KOR","FDIFLOW","OUTWARD","PC_GDP","A","2021",3.3346894375201,
"LUX","FDIFLOW","OUTWARD","PC_GDP","A","2017",22.807083632532,
"LUX","FDIFLOW","OUTWARD","PC_GDP","A","2018",30.642495464036,
"LUX","FDIFLOW","OUTWARD","PC_GDP","A","2019",251.81395123545,
"LUX","FDIFLOW","OUTWARD","PC_GDP","A","2020",137.83386537912,
"LUX","FDIFLOW","OUTWARD","PC_GDP","A","2021",41.358296480438,
"MEX","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.34410862541763,
"MEX","FDIFLOW","OUTWARD","PC_GDP","A","2018",0.68427776181654,
"MEX","FDIFLOW","OUTWARD","PC_GDP","A","2019",0.83815430752793,
"MEX","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.21162320086129,
"MEX","FDIFLOW","OUTWARD","PC_GDP","A","2021",-0.11797978503791,
"NLD","FDIFLOW","OUTWARD","PC_GDP","A","2017",2.2255366653911,
"NLD","FDIFLOW","OUTWARD","PC_GDP","A","2018",-5.1283748763208,
"NLD","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.5797317676481,
"NLD","FDIFLOW","OUTWARD","PC_GDP","A","2020",-20.778698087615,
"NLD","FDIFLOW","OUTWARD","PC_GDP","A","2021",2.3205473761217,
"NZL","FDIFLOW","OUTWARD","PC_GDP","A","2017",0.10969650528129,
"NZL","FDIFLOW","OUTWARD","PC_GDP","A","2018",0.17754603879295,
"NZL","FDIFLOW","OUTWARD","PC_GDP","A","2019",-0.07870522854463,
"NZL","FDIFLOW","OUTWARD","PC_GDP","A","2020",0.25744204051959,
"NZL","FDIFLOW","OUTWARD","PC_GDP","A","2021",-0.63651386212195,
"NOR","FDIFLOW","OUTWARD","PC_GDP","A","2017",-1.8612997416036,
