"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","MLN_USD","A","2017",700422.74393573,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2018",701482.91925466,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2019",732885.16779934,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2020",794943.77695625,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2021",770602.96038311,
"AUT","FDISTOCK","INWARD","MLN_USD","A","2017",198301.75101943,
"AUT","FDISTOCK","INWARD","MLN_USD","A","2018",191850.24043966,
"AUT","FDISTOCK","INWARD","MLN_USD","A","2019",199944.95618962,
"AUT","FDISTOCK","INWARD","MLN_USD","A","2020",212839.61222236,
"AUT","FDISTOCK","INWARD","MLN_USD","A","2021",219451.80654661,
"BEL","FDISTOCK","INWARD","MLN_USD","A","2017",580189.85368194,
"BEL","FDISTOCK","INWARD","MLN_USD","A","2018",502412.06778109,
"BEL","FDISTOCK","INWARD","MLN_USD","A","2019",583718.2655583,
"BEL","FDISTOCK","INWARD","MLN_USD","A","2020",604277.82550006,
"BEL","FDISTOCK","INWARD","MLN_USD","A","2021",539380.45078718,
"CAN","FDISTOCK","INWARD","MLN_USD","A","2017",940278.79976057,
"CAN","FDISTOCK","INWARD","MLN_USD","A","2018",922029.11650062,
"CAN","FDISTOCK","INWARD","MLN_USD","A","2019",1156061.9166769,
"CAN","FDISTOCK","INWARD","MLN_USD","A","2020",1235585.1097249,
"CAN","FDISTOCK","INWARD","MLN_USD","A","2021",1549314.4158365,
"CZE","FDISTOCK","INWARD","MLN_USD","A","2017",155994.13207459,
"CZE","FDISTOCK","INWARD","MLN_USD","A","2018",164224.54241966,
"CZE","FDISTOCK","INWARD","MLN_USD","A","2019",171333.74059502,
"CZE","FDISTOCK","INWARD","MLN_USD","A","2020",195239.65516435,
"CZE","FDISTOCK","INWARD","MLN_USD","A","2021",200586.91335247,
"DNK","FDISTOCK","INWARD","MLN_USD","A","2017",115887.365691,
"DNK","FDISTOCK","INWARD","MLN_USD","A","2018",117652.69810105,
"DNK","FDISTOCK","INWARD","MLN_USD","A","2019",128998.03771776,
"DNK","FDISTOCK","INWARD","MLN_USD","A","2020",156611.28692419,
"DNK","FDISTOCK","INWARD","MLN_USD","A","2021",142661.46384655,
"FIN","FDISTOCK","INWARD","MLN_USD","A","2017",87215.159510674,
"FIN","FDISTOCK","INWARD","MLN_USD","A","2018",69534.005037783,
"FIN","FDISTOCK","INWARD","MLN_USD","A","2019",83268.928330712,
"FIN","FDISTOCK","INWARD","MLN_USD","A","2020",88361.762179409,
"FIN","FDISTOCK","INWARD","MLN_USD","A","2021",83224.600747537,
"FRA","FDISTOCK","INWARD","MLN_USD","A","2017",819327.69686906,
"FRA","FDISTOCK","INWARD","MLN_USD","A","2018",809659.81067439,
"FRA","FDISTOCK","INWARD","MLN_USD","A","2019",831189.77812808,
"FRA","FDISTOCK","INWARD","MLN_USD","A","2020",956588.30004015,
"FRA","FDISTOCK","INWARD","MLN_USD","A","2021",958094.77239462,
"DEU","FDISTOCK","INWARD","MLN_USD","A","2017",996953.70592468,
"DEU","FDISTOCK","INWARD","MLN_USD","A","2018",973457.75131669,
"DEU","FDISTOCK","INWARD","MLN_USD","A","2019",1013572.2309593,
"DEU","FDISTOCK","INWARD","MLN_USD","A","2020",1168010.798871,
"DEU","FDISTOCK","INWARD","MLN_USD","A","2021",1116998.5275796,
"GRC","FDISTOCK","INWARD","MLN_USD","A","2017",33404.081992425,
"GRC","FDISTOCK","INWARD","MLN_USD","A","2018",35736.712697098,
"GRC","FDISTOCK","INWARD","MLN_USD","A","2019",45151.172413364,
"GRC","FDISTOCK","INWARD","MLN_USD","A","2020",39082.775685623,
"GRC","FDISTOCK","INWARD","MLN_USD","A","2021",42113.148875424,
"HUN","FDISTOCK","INWARD","MLN_USD","A","2017",92556.050382505,
"HUN","FDISTOCK","INWARD","MLN_USD","A","2018",92067.161692888,
"HUN","FDISTOCK","INWARD","MLN_USD","A","2019",94223.029327543,
"HUN","FDISTOCK","INWARD","MLN_USD","A","2020",102129.38712672,
"HUN","FDISTOCK","INWARD","MLN_USD","A","2021",104899.64861994,
"ISL","FDISTOCK","INWARD","MLN_USD","A","2017",10129.936793718,
"ISL","FDISTOCK","INWARD","MLN_USD","A","2018",8750.6919969054,
"ISL","FDISTOCK","INWARD","MLN_USD","A","2019",8415.367464905,
"ISL","FDISTOCK","INWARD","MLN_USD","A","2020",7627.4270890653,
"ISL","FDISTOCK","INWARD","MLN_USD","A","2021",7825.2185918086,
"IRL","FDISTOCK","INWARD","MLN_USD","A","2017",1058011.5135524,
"IRL","FDISTOCK","INWARD","MLN_USD","A","2018",1070770.1971333,
"IRL","FDISTOCK","INWARD","MLN_USD","A","2019",1246879.1947997,
"IRL","FDISTOCK","INWARD","MLN_USD","A","2020",1382742.6968084,
"IRL","FDISTOCK","INWARD","MLN_USD","A","2021",1378429.4996056,
"ITA","FDISTOCK","INWARD","MLN_USD","A","2017",424743.11225714,
"ITA","FDISTOCK","INWARD","MLN_USD","A","2018",434624.29700023,
"ITA","FDISTOCK","INWARD","MLN_USD","A","2019",443531.84452932,
"ITA","FDISTOCK","INWARD","MLN_USD","A","2020",490214.553933,
