"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","FINCORP","TOT","RT","A","2017",2.054134,
"CHL","FINCORP","TOT","RT","A","2018",2.092088,
"CHL","FINCORP","TOT","RT","A","2019",2.301854,
"CHL","FINCORP","TOT","RT","A","2020",2.515983,
"CHL","FINCORP","TOT","RT","A","2021",2.36791,
"IRL","FINCORP","TOT","RT","A","2017",0.7779356,
"IRL","FINCORP","TOT","RT","A","2018",0.8091892,
"IRL","FINCORP","TOT","RT","A","2019",0.725713,
"IRL","FINCORP","TOT","RT","A","2020",0.7190549,
"IRL","FINCORP","TOT","RT","A","2021",0.692963,
"TUR","FINCORP","TOT","RT","A","2017",6.408949,
"TUR","FINCORP","TOT","RT","A","2018",6.295236,
"TUR","FINCORP","TOT","RT","A","2019",4.97288,
"TUR","FINCORP","TOT","RT","A","2020",5.424136,
"TUR","FINCORP","TOT","RT","A","2021",9.965612,
"NOR","FINCORP","TOT","RT","A","2017",3.250133,
"NOR","FINCORP","TOT","RT","A","2018",3.257283,
"NOR","FINCORP","TOT","RT","A","2019",3.034956,
"NOR","FINCORP","TOT","RT","A","2020",3.133056,
"NOR","FINCORP","TOT","RT","A","2021",3.065788,
"KOR","FINCORP","TOT","RT","A","2017",6.630929,
"KOR","FINCORP","TOT","RT","A","2018",6.996482,
"KOR","FINCORP","TOT","RT","A","2019",6.599391,
"KOR","FINCORP","TOT","RT","A","2020",6.790572,
"KOR","FINCORP","TOT","RT","A","2021",6.297318,
"SWE","FINCORP","TOT","RT","A","2017",2.449217,
"SWE","FINCORP","TOT","RT","A","2018",2.609632,
"SWE","FINCORP","TOT","RT","A","2019",2.404714,
"SWE","FINCORP","TOT","RT","A","2020",2.340164,
"SWE","FINCORP","TOT","RT","A","2021",2.041557,
"BEL","FINCORP","TOT","RT","A","2017",2.349358,
"BEL","FINCORP","TOT","RT","A","2018",2.460605,
"BEL","FINCORP","TOT","RT","A","2019",2.379009,
"BEL","FINCORP","TOT","RT","A","2020",2.71266,
"BEL","FINCORP","TOT","RT","A","2021",2.651249,
"ESP","FINCORP","TOT","RT","A","2017",4.014984,
"ESP","FINCORP","TOT","RT","A","2018",4.241467,
"ESP","FINCORP","TOT","RT","A","2019",3.946377,
"ESP","FINCORP","TOT","RT","A","2020",4.913526,
"ESP","FINCORP","TOT","RT","A","2021",4.715006,
"FIN","FINCORP","TOT","RT","A","2017",2.951105,
"FIN","FINCORP","TOT","RT","A","2018",3.316738,
"FIN","FINCORP","TOT","RT","A","2019",3.188047,
"FIN","FINCORP","TOT","RT","A","2020",3.366278,
"FIN","FINCORP","TOT","RT","A","2021",2.966594,
"ISR","FINCORP","TOT","RT","A","2017",6.978109,
"ISR","FINCORP","TOT","RT","A","2018",6.754456,
"ISR","FINCORP","TOT","RT","A","2019",6.11986,
"ISR","FINCORP","TOT","RT","A","2020",7.346619,
"LUX","FINCORP","TOT","RT","A","2017",0.5443202,
"LUX","FINCORP","TOT","RT","A","2018",0.5609461,
"LUX","FINCORP","TOT","RT","A","2019",0.5070438,
"LUX","FINCORP","TOT","RT","A","2020",0.4723235,
"LUX","FINCORP","TOT","RT","A","2021",0.4544014,
"FRA","FINCORP","TOT","RT","A","2017",4.259973,
"FRA","FINCORP","TOT","RT","A","2018",4.92236,
"FRA","FINCORP","TOT","RT","A","2019",4.732595,
"FRA","FINCORP","TOT","RT","A","2020",5.4081,
"FRA","FINCORP","TOT","RT","A","2021",5.180121,
"DNK","FINCORP","TOT","RT","A","2017",1.936802,
"DNK","FINCORP","TOT","RT","A","2018",2.048018,
"DNK","FINCORP","TOT","RT","A","2019",1.9589,
"DNK","FINCORP","TOT","RT","A","2020",1.942363,
"DNK","FINCORP","TOT","RT","A","2021",1.515074,
"AUT","FINCORP","TOT","RT","A","2017",2.091053,
"AUT","FINCORP","TOT","RT","A","2018",2.3786,
"AUT","FINCORP","TOT","RT","A","2019",2.5114,
"AUT","FINCORP","TOT","RT","A","2020",2.841061,
"AUT","FINCORP","TOT","RT","A","2021",2.672561,
"EST","FINCORP","TOT","RT","A","2017",3.590333,
"EST","FINCORP","TOT","RT","A","2018",3.540941,
"EST","FINCORP","TOT","RT","A","2019",2.973092,
"EST","FINCORP","TOT","RT","A","2020",3.439967,
"EST","FINCORP","TOT","RT","A","2021",2.130185,
"HUN","FINCORP","TOT","RT","A","2017",0.9553023,
"HUN","FINCORP","TOT","RT","A","2018",1.503645,
"HUN","FINCORP","TOT","RT","A","2019",0.9985317,
"HUN","FINCORP","TOT","RT","A","2020",1.06091,
"HUN","FINCORP","TOT","RT","A","2021",1.078004,
"JPN","FINCORP","TOT","RT","A","2017",9.313569,
"JPN","FINCORP","TOT","RT","A","2018",9.808641,
"JPN","FINCORP","TOT","RT","A","2019",11.03834,
"JPN","FINCORP","TOT","RT","A","2020",9.567904,
"JPN","FINCORP","TOT","RT","A","2021",9.371479,
"SVN","FINCORP","TOT","RT","A","2017",4.383671,
"SVN","FINCORP","TOT","RT","A","2018",4.49146,
"SVN","FINCORP","TOT","RT","A","2019",4.226695,
"SVN","FINCORP","TOT","RT","A","2020",4.78908,
"SVN","FINCORP","TOT","RT","A","2021",4.815835,
"PRT","FINCORP","TOT","RT","A","2017",4.361842,
"PRT","FINCORP","TOT","RT","A","2018",4.599762,
"PRT","FINCORP","TOT","RT","A","2019",4.594694,
"PRT","FINCORP","TOT","RT","A","2020",4.912168,
"PRT","FINCORP","TOT","RT","A","2021",4.939606,
"CZE","FINCORP","TOT","RT","A","2017",5.569056,
"CZE","FINCORP","TOT","RT","A","2018",5.408025,
"CZE","FINCORP","TOT","RT","A","2019",5.220678,
"CZE","FINCORP","TOT","RT","A","2020",4.749488,
"CZE","FINCORP","TOT","RT","A","2021",4.724294,
"GRC","FINCORP","TOT","RT","A","2017",9.270035,
"GRC","FINCORP","TOT","RT","A","2018",10.60509,
"GRC","FINCORP","TOT","RT","A","2019",8.993787,
"GRC","FINCORP","TOT","RT","A","2020",11.32301,
"GRC","FINCORP","TOT","RT","A","2021",10.96012,
"USA","FINCORP","TOT","RT","A","2017",2.189182,
"USA","FINCORP","TOT","RT","A","2018",2.335399,
"USA","FINCORP","TOT","RT","A","2019",2.050802,
"USA","FINCORP","TOT","RT","A","2020",2.091028,
"USA","FINCORP","TOT","RT","A","2021",1.915463,
"DEU","FINCORP","TOT","RT","A","2017",3.811556,
"DEU","FINCORP","TOT","RT","A","2018",3.715509,
"DEU","FINCORP","TOT","RT","A","2019",3.353591,
"DEU","FINCORP","TOT","RT","A","2020",3.56029,
"DEU","FINCORP","TOT","RT","A","2021",3.525737,
"NLD","FINCORP","TOT","RT","A","2017",1.476258,
"NLD","FINCORP","TOT","RT","A","2018",1.523091,
"NLD","FINCORP","TOT","RT","A","2019",1.425585,
"NLD","FINCORP","TOT","RT","A","2020",1.54441,
"NLD","FINCORP","TOT","RT","A","2021",1.53646,
