"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2017",1247085.553,
"AUS","GDP","TOT","MLN_USD","A","2018",1323863.624,
"AUS","GDP","TOT","MLN_USD","A","2019",1335057.214,
"AUS","GDP","TOT","MLN_USD","A","2020",1438731.74,
"AUS","GDP","TOT","MLN_USD","A","2021",1604645.774,
"AUT","GDP","TOT","MLN_USD","A","2017",476590.588,
"AUT","GDP","TOT","MLN_USD","A","2018",503361.417,
"AUT","GDP","TOT","MLN_USD","A","2019",515260.46,
"AUT","GDP","TOT","MLN_USD","A","2020",498798.089,
"AUT","GDP","TOT","MLN_USD","A","2021",526897.394,
"BEL","GDP","TOT","MLN_USD","A","2017",573788.528,
"BEL","GDP","TOT","MLN_USD","A","2018",600269.926,
"BEL","GDP","TOT","MLN_USD","A","2019",624132.522,
"BEL","GDP","TOT","MLN_USD","A","2020",616806.896,"P"
"BEL","GDP","TOT","MLN_USD","A","2021",676310.498,"P"
"CAN","GDP","TOT","MLN_USD","A","2017",1765763.154,
"CAN","GDP","TOT","MLN_USD","A","2018",1849252.231,
"CAN","GDP","TOT","MLN_USD","A","2019",1853244.739,
"CAN","GDP","TOT","MLN_USD","A","2020",1771474.029,
"CAN","GDP","TOT","MLN_USD","A","2021",1989623.608,
"CZE","GDP","TOT","MLN_USD","A","2017",411327.86,
"CZE","GDP","TOT","MLN_USD","A","2018",437355.916,
"CZE","GDP","TOT","MLN_USD","A","2019",457348.481,
"CZE","GDP","TOT","MLN_USD","A","2020",446269.247,
"CZE","GDP","TOT","MLN_USD","A","2021",472799.09,
"DNK","GDP","TOT","MLN_USD","A","2017",319130.165,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",340268.742,
"DNK","GDP","TOT","MLN_USD","A","2020",350374.311,
"DNK","GDP","TOT","MLN_USD","A","2021",379788.104,
"FIN","GDP","TOT","MLN_USD","A","2017",262026.563,
"FIN","GDP","TOT","MLN_USD","A","2018",273455.993,
"FIN","GDP","TOT","MLN_USD","A","2019",277862.636,
"FIN","GDP","TOT","MLN_USD","A","2020",281715.886,
"FIN","GDP","TOT","MLN_USD","A","2021",302941.59,
"FRA","GDP","TOT","MLN_USD","A","2017",2983010.673,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3300063.768,"P"
"FRA","GDP","TOT","MLN_USD","A","2020",3176725.267,"P"
"FRA","GDP","TOT","MLN_USD","A","2021",3447940.359,
"DEU","GDP","TOT","MLN_USD","A","2017",4386729.188,
"DEU","GDP","TOT","MLN_USD","A","2018",4576056.532,
"DEU","GDP","TOT","MLN_USD","A","2019",4624244.752,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4612209.032,"P"
"DEU","GDP","TOT","MLN_USD","A","2021",4857464.742,"P"
"GRC","GDP","TOT","MLN_USD","A","2017",307636.013,
