"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2017",-2.00289259674325,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2018",-1.00019880685067,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2019",2.0461527347458,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2020",4.15834502568954,
"AUS","NLNBSECTOR","CORP","PC_GDP","A","2021",0.760139122089551,
"AUT","NLNBSECTOR","CORP","PC_GDP","A","2017",0.030078903380038,
"AUT","NLNBSECTOR","CORP","PC_GDP","A","2018",-1.92418856923392,
"AUT","NLNBSECTOR","CORP","PC_GDP","A","2019",-1.02482682836151,
"AUT","NLNBSECTOR","CORP","PC_GDP","A","2020",5.23723759093737,
"AUT","NLNBSECTOR","CORP","PC_GDP","A","2021",2.37504163192262,
"BEL","NLNBSECTOR","CORP","PC_GDP","A","2017",0.336905889921157,
"BEL","NLNBSECTOR","CORP","PC_GDP","A","2018",-0.706443723171441,
"BEL","NLNBSECTOR","CORP","PC_GDP","A","2019",1.15404945209915,
"BEL","NLNBSECTOR","CORP","PC_GDP","A","2020",3.51628430126767,"E"
"BEL","NLNBSECTOR","CORP","PC_GDP","A","2021",2.21143608867484,"E"
"CAN","NLNBSECTOR","CORP","PC_GDP","A","2017",0.789950299933525,
"CAN","NLNBSECTOR","CORP","PC_GDP","A","2018",0.943810596064483,
"CAN","NLNBSECTOR","CORP","PC_GDP","A","2019",0.936421328144745,
"CAN","NLNBSECTOR","CORP","PC_GDP","A","2020",4.07696518522144,
"CAN","NLNBSECTOR","CORP","PC_GDP","A","2021",4.28317186956632,
"CZE","NLNBSECTOR","CORP","PC_GDP","A","2017",-2.28567548788894,
"CZE","NLNBSECTOR","CORP","PC_GDP","A","2018",-2.5940713330343,
"CZE","NLNBSECTOR","CORP","PC_GDP","A","2019",-2.78104214142869,
"CZE","NLNBSECTOR","CORP","PC_GDP","A","2020",1.39501090446164,
"CZE","NLNBSECTOR","CORP","PC_GDP","A","2021",-1.63975084915464,
"DNK","NLNBSECTOR","CORP","PC_GDP","A","2017",4.44007186228652,
"DNK","NLNBSECTOR","CORP","PC_GDP","A","2018",4.86798069506133,
"DNK","NLNBSECTOR","CORP","PC_GDP","A","2019",3.91924578655818,
"DNK","NLNBSECTOR","CORP","PC_GDP","A","2020",6.13334542635206,
