"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","NLNBSECTOR","GG","PC_GDP","A","2017",-0.816118350278008,
"AUT","NLNBSECTOR","GG","PC_GDP","A","2018",0.170146401487834,
"AUT","NLNBSECTOR","GG","PC_GDP","A","2019",0.610817234373008,
"AUT","NLNBSECTOR","GG","PC_GDP","A","2020",-8.00884720254813,
"AUT","NLNBSECTOR","GG","PC_GDP","A","2021",-5.92955037868276,
"SVK","NLNBSECTOR","GG","PC_GDP","A","2017",-0.979628209451633,
"SVK","NLNBSECTOR","GG","PC_GDP","A","2018",-1.01091861309612,
"SVK","NLNBSECTOR","GG","PC_GDP","A","2019",-1.21899691036874,
"SVK","NLNBSECTOR","GG","PC_GDP","A","2020",-5.35916787244911,
"SVK","NLNBSECTOR","GG","PC_GDP","A","2021",-5.46207589881999,
"AUS","NLNBSECTOR","GG","PC_GDP","A","2017",-1.21038621322183,
"AUS","NLNBSECTOR","GG","PC_GDP","A","2018",-1.38363403511638,
"AUS","NLNBSECTOR","GG","PC_GDP","A","2019",-7.01399515325054,
"AUS","NLNBSECTOR","GG","PC_GDP","A","2020",-9.16219280827564,
"AUS","NLNBSECTOR","GG","PC_GDP","A","2021",-4.27010923535253,
"DNK","NLNBSECTOR","GG","PC_GDP","A","2017",1.78626148968858,
"DNK","NLNBSECTOR","GG","PC_GDP","A","2018",0.760390380516002,
"DNK","NLNBSECTOR","GG","PC_GDP","A","2019",4.13162553217965,
"DNK","NLNBSECTOR","GG","PC_GDP","A","2020",0.214895583223667,
"DNK","NLNBSECTOR","GG","PC_GDP","A","2021",3.63404719170736,
"ISL","NLNBSECTOR","GG","PC_GDP","A","2017",0.954938972663949,
"ISL","NLNBSECTOR","GG","PC_GDP","A","2018",0.912012090627101,
"ISL","NLNBSECTOR","GG","PC_GDP","A","2019",-1.51378734178526,
"ISL","NLNBSECTOR","GG","PC_GDP","A","2020",-8.9250819582196,
"ISL","NLNBSECTOR","GG","PC_GDP","A","2021",-7.94060286624924,
"HUN","NLNBSECTOR","GG","PC_GDP","A","2017",-2.45909218483516,
"HUN","NLNBSECTOR","GG","PC_GDP","A","2018",-2.11236069263675,
"HUN","NLNBSECTOR","GG","PC_GDP","A","2019",-2.03124935159344,
"HUN","NLNBSECTOR","GG","PC_GDP","A","2020",-7.53624972026301,
"HUN","NLNBSECTOR","GG","PC_GDP","A","2021",-7.14365519110091,"E"
"NZL","NLNBSECTOR","GG","PC_GDP","A","2017",1.52332498865215,
"NZL","NLNBSECTOR","GG","PC_GDP","A","2018",0.761940671243475,
"NZL","NLNBSECTOR","GG","PC_GDP","A","2019",-0.711896582059284,
"NZL","NLNBSECTOR","GG","PC_GDP","A","2020",-7.32541268648051,
"EST","NLNBSECTOR","GG","PC_GDP","A","2017",-0.475379009236635,
"EST","NLNBSECTOR","GG","PC_GDP","A","2018",-0.55298098475008,
"EST","NLNBSECTOR","GG","PC_GDP","A","2019",0.120656697885429,
"EST","NLNBSECTOR","GG","PC_GDP","A","2020",-5.46878192986287,
"EST","NLNBSECTOR","GG","PC_GDP","A","2021",-2.40579457040692,
"PRT","NLNBSECTOR","GG","PC_GDP","A","2017",-2.9560155513314,
"PRT","NLNBSECTOR","GG","PC_GDP","A","2018",-0.348984115359724,
"PRT","NLNBSECTOR","GG","PC_GDP","A","2019",0.115330816679698,
"PRT","NLNBSECTOR","GG","PC_GDP","A","2020",-5.8194077395982,
"PRT","NLNBSECTOR","GG","PC_GDP","A","2021",-2.89804618628049,"E"
"JPN","NLNBSECTOR","GG","PC_GDP","A","2017",-3.09874103418536,
"JPN","NLNBSECTOR","GG","PC_GDP","A","2018",-2.47221881674755,
"JPN","NLNBSECTOR","GG","PC_GDP","A","2019",-3.03023574946212,
"JPN","NLNBSECTOR","GG","PC_GDP","A","2020",-8.95168941907858,
"ESP","NLNBSECTOR","GG","PC_GDP","A","2017",-3.11640854302653,
"ESP","NLNBSECTOR","GG","PC_GDP","A","2018",-2.59365922421147,
