"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","NLNBSECTOR","HH","PC_GDP","A","2017",3.7278104547865,
"USA","NLNBSECTOR","HH","PC_GDP","A","2018",3.90450881695264,
"USA","NLNBSECTOR","HH","PC_GDP","A","2019",3.93359419607412,
"USA","NLNBSECTOR","HH","PC_GDP","A","2020",11.8089649739127,
"HUN","NLNBSECTOR","HH","PC_GDP","A","2017",4.09818958268793,
"HUN","NLNBSECTOR","HH","PC_GDP","A","2018",5.46429994849081,
"HUN","NLNBSECTOR","HH","PC_GDP","A","2019",5.01710219831459,
"HUN","NLNBSECTOR","HH","PC_GDP","A","2020",5.63139214765007,
"HUN","NLNBSECTOR","HH","PC_GDP","A","2021",6.46789063969798,"E"
"NZL","NLNBSECTOR","HH","PC_GDP","A","2017",-3.31219653099682,
"NZL","NLNBSECTOR","HH","PC_GDP","A","2018",-2.71768404352212,
"NZL","NLNBSECTOR","HH","PC_GDP","A","2019",-1.47916300116987,
"NZL","NLNBSECTOR","HH","PC_GDP","A","2020",-0.271355494032013,"E"
"AUS","NLNBSECTOR","HH","PC_GDP","A","2017",0.361927348606751,
"AUS","NLNBSECTOR","HH","PC_GDP","A","2018",1.44260826368672,
"AUS","NLNBSECTOR","HH","PC_GDP","A","2019",6.38458456830133,
"AUS","NLNBSECTOR","HH","PC_GDP","A","2020",7.99324559139289,
"AUS","NLNBSECTOR","HH","PC_GDP","A","2021",5.68930699235313,
"AUT","NLNBSECTOR","HH","PC_GDP","A","2017",2.20970291275599,
"AUT","NLNBSECTOR","HH","PC_GDP","A","2018",2.19568359761748,
"AUT","NLNBSECTOR","HH","PC_GDP","A","2019",2.87937488861809,
"AUT","NLNBSECTOR","HH","PC_GDP","A","2020",5.6402372774815,
"AUT","NLNBSECTOR","HH","PC_GDP","A","2021",3.99321755750179,
"EST","NLNBSECTOR","HH","PC_GDP","A","2017",1.848229952063,
"EST","NLNBSECTOR","HH","PC_GDP","A","2018",2.5204210016224,
"EST","NLNBSECTOR","HH","PC_GDP","A","2019",1.74646068073565,
"EST","NLNBSECTOR","HH","PC_GDP","A","2020",3.02020946126581,
"EST","NLNBSECTOR","HH","PC_GDP","A","2021",0.905710897094368,
"SVK","NLNBSECTOR","HH","PC_GDP","A","2017",0.703474507232365,
"SVK","NLNBSECTOR","HH","PC_GDP","A","2018",2.14415085679347,
"SVK","NLNBSECTOR","HH","PC_GDP","A","2019",1.87771734661755,
"SVK","NLNBSECTOR","HH","PC_GDP","A","2020",2.99921673206246,
"SVK","NLNBSECTOR","HH","PC_GDP","A","2021",2.06657571597433,
"DNK","NLNBSECTOR","HH","PC_GDP","A","2017",1.82812271830939,
"DNK","NLNBSECTOR","HH","PC_GDP","A","2018",1.66217236557992,
"DNK","NLNBSECTOR","HH","PC_GDP","A","2019",0.455179817480076,
"DNK","NLNBSECTOR","HH","PC_GDP","A","2020",1.49338230191778,
"DNK","NLNBSECTOR","HH","PC_GDP","A","2021",-0.319026878394669,
"SVN","NLNBSECTOR","HH","PC_GDP","A","2017",4.45422076263877,
"SVN","NLNBSECTOR","HH","PC_GDP","A","2018",4.69461937866274,
"SVN","NLNBSECTOR","HH","PC_GDP","A","2019",4.73486995088032,
"SVN","NLNBSECTOR","HH","PC_GDP","A","2020",11.4234286263477,
"SVN","NLNBSECTOR","HH","PC_GDP","A","2021",8.2714035919278,
"GBR","NLNBSECTOR","HH","PC_GDP","A","2017",-0.669877525649782,
"GBR","NLNBSECTOR","HH","PC_GDP","A","2018",-0.769533839186803,
"GBR","NLNBSECTOR","HH","PC_GDP","A","2019",-0.382737626142137,
"GBR","NLNBSECTOR","HH","PC_GDP","A","2020",7.79775634553379,
"GBR","NLNBSECTOR","HH","PC_GDP","A","2021",5.15136940723806,
"GRC","NLNBSECTOR","HH","PC_GDP","A","2017",-4.70336911898021,
"GRC","NLNBSECTOR","HH","PC_GDP","A","2018",-4.798635384165,
"GRC","NLNBSECTOR","HH","PC_GDP","A","2019",-3.16881224757416,"E"
"GRC","NLNBSECTOR","HH","PC_GDP","A","2020",1.67478972050302,"E"
"GRC","NLNBSECTOR","HH","PC_GDP","A","2021",1.16722814054678,"E"
"JPN","NLNBSECTOR","HH","PC_GDP","A","2017",1.42722570076644,
"JPN","NLNBSECTOR","HH","PC_GDP","A","2018",1.88004971473707,
"JPN","NLNBSECTOR","HH","PC_GDP","A","2019",2.70014997550543,
"JPN","NLNBSECTOR","HH","PC_GDP","A","2020",8.61437049595712,
"NLD","NLNBSECTOR","HH","PC_GDP","A","2017",2.21419610754512,
