"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","NONFINCORP","TOT","RT","A","2017",5.528844,
"IRL","NONFINCORP","TOT","RT","A","2018",5.263916,
"IRL","NONFINCORP","TOT","RT","A","2019",5.126278,
"IRL","NONFINCORP","TOT","RT","A","2020",3.957122,
"IRL","NONFINCORP","TOT","RT","A","2021",3.639882,
"CHL","NONFINCORP","TOT","RT","A","2017",4.568235,
"CHL","NONFINCORP","TOT","RT","A","2018",4.578405,
"CHL","NONFINCORP","TOT","RT","A","2019",5.225427,
"CHL","NONFINCORP","TOT","RT","A","2020",4.818219,
"BEL","NONFINCORP","TOT","RT","A","2017",6.184824,
"BEL","NONFINCORP","TOT","RT","A","2018",6.337861,
"BEL","NONFINCORP","TOT","RT","A","2019",5.947833,
"BEL","NONFINCORP","TOT","RT","A","2020",5.895331,
"BEL","NONFINCORP","TOT","RT","A","2021",5.350435,
"FIN","NONFINCORP","TOT","RT","A","2017",3.77064,
"FIN","NONFINCORP","TOT","RT","A","2018",3.801579,
"FIN","NONFINCORP","TOT","RT","A","2019",3.840007,
"FIN","NONFINCORP","TOT","RT","A","2020",3.9126,
"FIN","NONFINCORP","TOT","RT","A","2021",3.853054,
"ESP","NONFINCORP","TOT","RT","A","2017",3.843733,
"ESP","NONFINCORP","TOT","RT","A","2018",3.742395,
"ESP","NONFINCORP","TOT","RT","A","2019",3.720531,
"ESP","NONFINCORP","TOT","RT","A","2020",5.048518,
"ESP","NONFINCORP","TOT","RT","A","2021",4.653737,
"NOR","NONFINCORP","TOT","RT","A","2017",3.905684,
"NOR","NONFINCORP","TOT","RT","A","2018",3.411813,
"NOR","NONFINCORP","TOT","RT","A","2019",3.982482,
"NOR","NONFINCORP","TOT","RT","A","2020",4.907931,
"NOR","NONFINCORP","TOT","RT","A","2021",3.202993,
"SWE","NONFINCORP","TOT","RT","A","2017",5.894212,
"SWE","NONFINCORP","TOT","RT","A","2018",5.876752,
"SWE","NONFINCORP","TOT","RT","A","2019",5.851806,
"SWE","NONFINCORP","TOT","RT","A","2020",6.017732,
"SWE","NONFINCORP","TOT","RT","A","2021",5.997829,
"HUN","NONFINCORP","TOT","RT","A","2017",2.901572,
"HUN","NONFINCORP","TOT","RT","A","2018",2.944874,
"HUN","NONFINCORP","TOT","RT","A","2019",2.891712,
"HUN","NONFINCORP","TOT","RT","A","2020",3.234209,
"HUN","NONFINCORP","TOT","RT","A","2021",3.259343,
