"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2017",96.554,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2018",89.198,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2019",93.321,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2020",93.352,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2017",78.122,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2018",68.602,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2019",75.298,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2020",71.447,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2017",74.307,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2018",64.303,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2019",72.862,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2020",68.137,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2017",86.632,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2018",87.348,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2019",87.949,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2020",88.231,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2017",72.428,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2018",73.259,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2019",74.344,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2020",74.321,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2017",51.895,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2018",52.343,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2019",53.653,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2020",54.417,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2017",98.644,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2018",98.585,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2019",98.332,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2020",98.438,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2017",93.523,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2018",91.234,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2019",92.023,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2020",89.422,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2017",85.633,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2018",83.119,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2019",83.793,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2020",80.836,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2017",82.563,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2018",82.187,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2019",77.564,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2020",77.156,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2017",57.589,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2018",55.575,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2019",56.637,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2020",57.72,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2017",51.805,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2018",50.215,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2019",53.048,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2020",53.375,
