"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GRADRATE","UPPSRY","PC","A","2017",79.412,
"AUT","GRADRATE","UPPSRY","PC","A","2018",77.873,
"AUT","GRADRATE","UPPSRY","PC","A","2019",77.636,
"AUT","GRADRATE","UPPSRY","PC","A","2020",82.779,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2017",76.234,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2018",75.389,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2019",74.74,
"AUT","GRADRATE","UPPSRY_MEN","PC","A","2020",79.413,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2017",82.961,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2018",80.525,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2019",80.682,
"AUT","GRADRATE","UPPSRY_WOMEN","PC","A","2020",86.306,
"BEL","GRADRATE","UPPSRY","PC","A","2017",31.254,
"BEL","GRADRATE","UPPSRY","PC","A","2018",31.317,
"BEL","GRADRATE","UPPSRY","PC","A","2019",77.047,
"BEL","GRADRATE","UPPSRY","PC","A","2020",78.838,
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2017",28.752,
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2018",28.82,
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2019",72.279,
"BEL","GRADRATE","UPPSRY_MEN","PC","A","2020",74.254,
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2019",82.104,
"BEL","GRADRATE","UPPSRY_WOMEN","PC","A","2020",83.657,
"CAN","GRADRATE","UPPSRY","PC","A","2017",85.49,
"CAN","GRADRATE","UPPSRY","PC","A","2018",85.16,
"CAN","GRADRATE","UPPSRY","PC","A","2019",84.752,
"CAN","GRADRATE","UPPSRY","PC","A","2020",85.741,
"CAN","GRADRATE","UPPSRY_MEN","PC","A","2017",83.078,
"CAN","GRADRATE","UPPSRY_MEN","PC","A","2018",82.609,
"CAN","GRADRATE","UPPSRY_MEN","PC","A","2019",82.411,
"CAN","GRADRATE","UPPSRY_MEN","PC","A","2020",84.03,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2017",88.034,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2018",87.852,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2019",87.182,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2020",87.498,
"CZE","GRADRATE","UPPSRY","PC","A","2017",78.255,
"CZE","GRADRATE","UPPSRY","PC","A","2018",78.857,
"CZE","GRADRATE","UPPSRY","PC","A","2019",80.51,
"CZE","GRADRATE","UPPSRY","PC","A","2020",84.809,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2017",77.105,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2018",78.931,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2019",80.347,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2020",85.262,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2017",79.445,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2018",78.791,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2019",80.654,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2020",84.391,
"DNK","GRADRATE","UPPSRY","PC","A","2017",79.775,
"DNK","GRADRATE","UPPSRY","PC","A","2018",81.7,
"DNK","GRADRATE","UPPSRY","PC","A","2019",81.629,
"DNK","GRADRATE","UPPSRY","PC","A","2020",79.52,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2017",76.167,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2018",77.192,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2019",77.673,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2020",75.502,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2017",83.616,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2018",86.445,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2019",85.761,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2020",83.715,
"FIN","GRADRATE","UPPSRY","PC","A","2017",88.512,
"FIN","GRADRATE","UPPSRY","PC","A","2018",89.259,
"FIN","GRADRATE","UPPSRY","PC","A","2019",84.907,
"FIN","GRADRATE","UPPSRY","PC","A","2020",83.555,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2017",86.782,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2018",86.433,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2019",82.524,
"FIN","GRADRATE","UPPSRY_MEN","PC","A","2020",79.956,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2017",90.313,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2018",92.23,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2019",87.455,
"FIN","GRADRATE","UPPSRY_WOMEN","PC","A","2020",87.421,
"DEU","GRADRATE","UPPSRY","PC","A","2017",75.885,
"DEU","GRADRATE","UPPSRY","PC","A","2018",73.715,
"DEU","GRADRATE","UPPSRY","PC","A","2019",73.092,
"DEU","GRADRATE","UPPSRY","PC","A","2020",69.85,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2017",74.241,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2018",71.64,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2019",71.099,
"DEU","GRADRATE","UPPSRY_MEN","PC","A","2020",68.943,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2017",77.745,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2018",76.053,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2019",75.252,
"DEU","GRADRATE","UPPSRY_WOMEN","PC","A","2020",70.733,
"GRC","GRADRATE","UPPSRY","PC","A","2017",92.732,
"GRC","GRADRATE","UPPSRY","PC","A","2018",93.236,
"GRC","GRADRATE","UPPSRY","PC","A","2019",91.409,
"GRC","GRADRATE","UPPSRY","PC","A","2020",90.422,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2017",92.155,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2018",91.728,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2019",88.99,
"GRC","GRADRATE","UPPSRY_MEN","PC","A","2020",87.892,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2017",93.368,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2018",94.883,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2019",94.026,
"GRC","GRADRATE","UPPSRY_WOMEN","PC","A","2020",93.245,
"HUN","GRADRATE","UPPSRY","PC","A","2017",79.428,
"HUN","GRADRATE","UPPSRY","PC","A","2018",79.102,
"HUN","GRADRATE","UPPSRY","PC","A","2019",77.257,
"HUN","GRADRATE","UPPSRY","PC","A","2020",78.371,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2017",78.684,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2018",78.62,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2019",76.003,
"HUN","GRADRATE","UPPSRY_MEN","PC","A","2020",77.412,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2017",80.217,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2018",79.608,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2019",78.585,
"HUN","GRADRATE","UPPSRY_WOMEN","PC","A","2020",79.378,
"ISL","GRADRATE","UPPSRY","PC","A","2017",68.334,
"ISL","GRADRATE","UPPSRY","PC","A","2018",81.668,
"ISL","GRADRATE","UPPSRY","PC","A","2019",80.011,
"ISL","GRADRATE","UPPSRY","PC","A","2020",78.226,
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2017",62.06,
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2018",73.201,
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2019",70.514,
"ISL","GRADRATE","UPPSRY_MEN","PC","A","2020",69.086,
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2017",74.896,
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2018",89.838,
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2019",89.855,
"ISL","GRADRATE","UPPSRY_WOMEN","PC","A","2020",87.96,
"ITA","GRADRATE","UPPSRY","PC","A","2018",89.176,
"ITA","GRADRATE","UPPSRY","PC","A","2019",89.629,
"ITA","GRADRATE","UPPSRY","PC","A","2020",90.05,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2018",86.917,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2019",86.241,
"ITA","GRADRATE","UPPSRY_MEN","PC","A","2020",87.905,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2018",91.584,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2019",93.438,
"ITA","GRADRATE","UPPSRY_WOMEN","PC","A","2020",92.358,
"KOR","GRADRATE","UPPSRY","PC","A","2017",95.077,
"KOR","GRADRATE","UPPSRY","PC","A","2018",91.709,
"KOR","GRADRATE","UPPSRY","PC","A","2019",95.814,
"KOR","GRADRATE","UPPSRY","PC","A","2020",96.542,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2017",95.152,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2018",91.793,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2019",96.304,
"KOR","GRADRATE","UPPSRY_MEN","PC","A","2020",96.668,
"KOR","GRADRATE","UPPSRY_WOMEN","PC","A","2017",95.007,
