"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","TRY","PC","A","2017",36.894,
"AUS","GRADRATETRY","TRY","PC","A","2018",36.97,
"AUS","GRADRATETRY","TRY","PC","A","2019",36.642,
"AUS","GRADRATETRY","TRY","PC","A","2020",36.619,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2017",29.961,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2018",29.823,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2019",29.35,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2020",29.278,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2017",44.097,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2018",44.43,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2019",44.32,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2020",44.369,
"AUT","GRADRATETRY","TRY","PC","A","2017",34.779,
"AUT","GRADRATETRY","TRY","PC","A","2018",35.232,
"AUT","GRADRATETRY","TRY","PC","A","2019",36.163,
"AUT","GRADRATETRY","TRY","PC","A","2020",40.026,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2017",28.637,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2018",29.352,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2019",30.076,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2020",33.729,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2017",41.448,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2018",41.615,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2019",42.686,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2020",46.727,
"CZE","GRADRATETRY","TRY","PC","A","2017",27.699,
"CZE","GRADRATETRY","TRY","PC","A","2018",27.85,
"CZE","GRADRATETRY","TRY","PC","A","2019",27.641,
"CZE","GRADRATETRY","TRY","PC","A","2020",29.105,
"CZE","GRADRATETRY","TRY_MEN","PC","A","2017",19.662,
"CZE","GRADRATETRY","TRY_MEN","PC","A","2018",19.837,
"CZE","GRADRATETRY","TRY_MEN","PC","A","2019",19.462,
"CZE","GRADRATETRY","TRY_MEN","PC","A","2020",21.027,
"CZE","GRADRATETRY","TRY_WOMEN","PC","A","2017",36.113,
"CZE","GRADRATETRY","TRY_WOMEN","PC","A","2018",36.259,
"CZE","GRADRATETRY","TRY_WOMEN","PC","A","2019",36.263,
"CZE","GRADRATETRY","TRY_WOMEN","PC","A","2020",37.654,
"DNK","GRADRATETRY","TRY","PC","A","2017",45.753,
"DNK","GRADRATETRY","TRY","PC","A","2018",45.315,
"DNK","GRADRATETRY","TRY","PC","A","2019",46.285,
"DNK","GRADRATETRY","TRY","PC","A","2020",46.591,
"DNK","GRADRATETRY","TRY_MEN","PC","A","2017",38.751,
"DNK","GRADRATETRY","TRY_MEN","PC","A","2018",38.446,
"DNK","GRADRATETRY","TRY_MEN","PC","A","2019",39.003,
"DNK","GRADRATETRY","TRY_MEN","PC","A","2020",39.368,
"DNK","GRADRATETRY","TRY_WOMEN","PC","A","2017",53.056,
"DNK","GRADRATETRY","TRY_WOMEN","PC","A","2018",52.467,
"DNK","GRADRATETRY","TRY_WOMEN","PC","A","2019",53.862,
"DNK","GRADRATETRY","TRY_WOMEN","PC","A","2020",54.108,
"FIN","GRADRATETRY","TRY","PC","A","2017",37.179,
"FIN","GRADRATETRY","TRY","PC","A","2018",37.4,
"FIN","GRADRATETRY","TRY","PC","A","2019",37.53,
"FIN","GRADRATETRY","TRY","PC","A","2020",38.495,
"FIN","GRADRATETRY","TRY_MEN","PC","A","2017",29.623,
"FIN","GRADRATETRY","TRY_MEN","PC","A","2018",30.787,
"FIN","GRADRATETRY","TRY_MEN","PC","A","2019",31.405,
"FIN","GRADRATETRY","TRY_MEN","PC","A","2020",31.825,
"FIN","GRADRATETRY","TRY_WOMEN","PC","A","2017",45.101,
"FIN","GRADRATETRY","TRY_WOMEN","PC","A","2018",44.343,
"FIN","GRADRATETRY","TRY_WOMEN","PC","A","2019",44.012,
"FIN","GRADRATETRY","TRY_WOMEN","PC","A","2020",45.558,
"DEU","GRADRATETRY","TRY","PC","A","2017",32.94,
"DEU","GRADRATETRY","TRY","PC","A","2018",32.32,
"DEU","GRADRATETRY","TRY","PC","A","2019",37.22,
"DEU","GRADRATETRY","TRY","PC","A","2020",34.527,
"DEU","GRADRATETRY","TRY_MEN","PC","A","2017",29.048,
"DEU","GRADRATETRY","TRY_MEN","PC","A","2018",28.258,
"DEU","GRADRATETRY","TRY_MEN","PC","A","2019",34.088,
"DEU","GRADRATETRY","TRY_MEN","PC","A","2020",31.036,
"DEU","GRADRATETRY","TRY_WOMEN","PC","A","2017",37.239,
"DEU","GRADRATETRY","TRY_WOMEN","PC","A","2018",36.807,
"DEU","GRADRATETRY","TRY_WOMEN","PC","A","2019",40.693,
"DEU","GRADRATETRY","TRY_WOMEN","PC","A","2020",38.387,
"GRC","GRADRATETRY","TRY","PC","A","2017",39.007,
"GRC","GRADRATETRY","TRY","PC","A","2018",37.289,
"GRC","GRADRATETRY","TRY","PC","A","2019",37.233,
"GRC","GRADRATETRY","TRY","PC","A","2020",34.689,
"GRC","GRADRATETRY","TRY_MEN","PC","A","2017",30.85,
"GRC","GRADRATETRY","TRY_MEN","PC","A","2018",29.338,
"GRC","GRADRATETRY","TRY_MEN","PC","A","2019",28.836,
"GRC","GRADRATETRY","TRY_MEN","PC","A","2020",27.518,
"GRC","GRADRATETRY","TRY_WOMEN","PC","A","2017",47.598,
"GRC","GRADRATETRY","TRY_WOMEN","PC","A","2018",45.767,
"GRC","GRADRATETRY","TRY_WOMEN","PC","A","2019",46.321,
"GRC","GRADRATETRY","TRY_WOMEN","PC","A","2020",42.623,
"HUN","GRADRATETRY","TRY","PC","A","2017",23.105,
"HUN","GRADRATETRY","TRY","PC","A","2018",23.155,
"HUN","GRADRATETRY","TRY","PC","A","2019",23.188,
"HUN","GRADRATETRY","TRY","PC","A","2020",44.902,
"HUN","GRADRATETRY","TRY_MEN","PC","A","2017",18.293,
