"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","BOY","MEANSCORE","A","2018",487,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2018",519,
"AUT","PISAREAD","BOY","MEANSCORE","A","2018",471,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2018",499,
"BEL","PISAREAD","BOY","MEANSCORE","A","2018",482,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2018",504,
"CAN","PISAREAD","BOY","MEANSCORE","A","2018",506,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2018",535,
"CZE","PISAREAD","BOY","MEANSCORE","A","2018",474,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2018",507,
"DNK","PISAREAD","BOY","MEANSCORE","A","2018",486,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2018",516,
"FIN","PISAREAD","BOY","MEANSCORE","A","2018",495,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2018",546,
"FRA","PISAREAD","BOY","MEANSCORE","A","2018",480,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2018",505,
"DEU","PISAREAD","BOY","MEANSCORE","A","2018",486,
"DEU","PISAREAD","GIRL","MEANSCORE","A","2018",512,
"GRC","PISAREAD","BOY","MEANSCORE","A","2018",437,
"GRC","PISAREAD","GIRL","MEANSCORE","A","2018",479,
"HUN","PISAREAD","BOY","MEANSCORE","A","2018",463,
"HUN","PISAREAD","GIRL","MEANSCORE","A","2018",489,
"ISL","PISAREAD","BOY","MEANSCORE","A","2018",454,
"ISL","PISAREAD","GIRL","MEANSCORE","A","2018",494,
"IRL","PISAREAD","BOY","MEANSCORE","A","2018",506,
"IRL","PISAREAD","GIRL","MEANSCORE","A","2018",530,
"ITA","PISAREAD","BOY","MEANSCORE","A","2018",464,
"ITA","PISAREAD","GIRL","MEANSCORE","A","2018",489,
"JPN","PISAREAD","BOY","MEANSCORE","A","2018",493,
"JPN","PISAREAD","GIRL","MEANSCORE","A","2018",514,
"KOR","PISAREAD","BOY","MEANSCORE","A","2018",503,
"KOR","PISAREAD","GIRL","MEANSCORE","A","2018",526,
"LUX","PISAREAD","BOY","MEANSCORE","A","2018",456,
"LUX","PISAREAD","GIRL","MEANSCORE","A","2018",485,
"MEX","PISAREAD","BOY","MEANSCORE","A","2018",415,
"MEX","PISAREAD","GIRL","MEANSCORE","A","2018",426,
"NLD","PISAREAD","BOY","MEANSCORE","A","2018",470,
"NLD","PISAREAD","GIRL","MEANSCORE","A","2018",499,
"NZL","PISAREAD","BOY","MEANSCORE","A","2018",491,
"NZL","PISAREAD","GIRL","MEANSCORE","A","2018",520,
"NOR","PISAREAD","BOY","MEANSCORE","A","2018",476,
"NOR","PISAREAD","GIRL","MEANSCORE","A","2018",523,
"POL","PISAREAD","BOY","MEANSCORE","A","2018",495,
"POL","PISAREAD","GIRL","MEANSCORE","A","2018",528,
"PRT","PISAREAD","BOY","MEANSCORE","A","2018",480,
"PRT","PISAREAD","GIRL","MEANSCORE","A","2018",504,
"SVK","PISAREAD","BOY","MEANSCORE","A","2018",441,
"SVK","PISAREAD","GIRL","MEANSCORE","A","2018",475,
"SWE","PISAREAD","BOY","MEANSCORE","A","2018",489,
"SWE","PISAREAD","GIRL","MEANSCORE","A","2018",523,
"CHE","PISAREAD","BOY","MEANSCORE","A","2018",469,
"CHE","PISAREAD","GIRL","MEANSCORE","A","2018",500,
"TUR","PISAREAD","BOY","MEANSCORE","A","2018",453,
"TUR","PISAREAD","GIRL","MEANSCORE","A","2018",478,
