"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2018",504,
"AUS","PISASCIENCE","GIRL","MEANSCORE","A","2018",502,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2018",491,
"AUT","PISASCIENCE","GIRL","MEANSCORE","A","2018",489,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2018",501,
"BEL","PISASCIENCE","GIRL","MEANSCORE","A","2018",496,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2018",516,
"CAN","PISASCIENCE","GIRL","MEANSCORE","A","2018",520,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2018",496,
"CZE","PISASCIENCE","GIRL","MEANSCORE","A","2018",498,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2018",492,
"DNK","PISASCIENCE","GIRL","MEANSCORE","A","2018",494,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2018",510,
"FIN","PISASCIENCE","GIRL","MEANSCORE","A","2018",534,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2018",493,
"FRA","PISASCIENCE","GIRL","MEANSCORE","A","2018",493,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2018",502,
"DEU","PISASCIENCE","GIRL","MEANSCORE","A","2018",504,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2018",446,
"GRC","PISASCIENCE","GIRL","MEANSCORE","A","2018",457,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2018",484,
"HUN","PISASCIENCE","GIRL","MEANSCORE","A","2018",478,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2018",471,
"ISL","PISASCIENCE","GIRL","MEANSCORE","A","2018",479,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2018",495,
"IRL","PISASCIENCE","GIRL","MEANSCORE","A","2018",497,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2018",470,
"ITA","PISASCIENCE","GIRL","MEANSCORE","A","2018",466,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2018",531,
"JPN","PISASCIENCE","GIRL","MEANSCORE","A","2018",528,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2018",521,
"KOR","PISASCIENCE","GIRL","MEANSCORE","A","2018",517,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2018",475,
"LUX","PISASCIENCE","GIRL","MEANSCORE","A","2018",479,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2018",424,
"MEX","PISASCIENCE","GIRL","MEANSCORE","A","2018",415,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2018",499,
"NLD","PISASCIENCE","GIRL","MEANSCORE","A","2018",508,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2018",509,
"NZL","PISASCIENCE","GIRL","MEANSCORE","A","2018",508,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2018",485,
"NOR","PISASCIENCE","GIRL","MEANSCORE","A","2018",496,
"POL","PISASCIENCE","BOY","MEANSCORE","A","2018",511,
"POL","PISASCIENCE","GIRL","MEANSCORE","A","2018",511,
"PRT","PISASCIENCE","BOY","MEANSCORE","A","2018",494,
"PRT","PISASCIENCE","GIRL","MEANSCORE","A","2018",489,
"SVK","PISASCIENCE","BOY","MEANSCORE","A","2018",461,
"SVK","PISASCIENCE","GIRL","MEANSCORE","A","2018",467,
"ESP","PISASCIENCE","BOY","MEANSCORE","A","2018",484,
"ESP","PISASCIENCE","GIRL","MEANSCORE","A","2018",482,
"SWE","PISASCIENCE","BOY","MEANSCORE","A","2018",496,
"SWE","PISASCIENCE","GIRL","MEANSCORE","A","2018",503,
"CHE","PISASCIENCE","BOY","MEANSCORE","A","2018",495,
"CHE","PISASCIENCE","GIRL","MEANSCORE","A","2018",495,
"TUR","PISASCIENCE","BOY","MEANSCORE","A","2018",465,
"TUR","PISASCIENCE","GIRL","MEANSCORE","A","2018",472,
"GBR","PISASCIENCE","BOY","MEANSCORE","A","2018",506,
