"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TEACHER","SRY_50_OVER","PC","A","2017",47.592,
"AUT","TEACHER","SRY_50_OVER","PC","A","2018",47.262,
"AUT","TEACHER","SRY_50_OVER","PC","A","2019",46.882,
"AUT","TEACHER","SRY_50_OVER","PC","A","2020",45.773,
"AUT","TEACHER","SRY_LT30","PC","A","2017",9.279,
"AUT","TEACHER","SRY_LT30","PC","A","2018",10.557,
"AUT","TEACHER","SRY_LT30","PC","A","2019",11.173,
"AUT","TEACHER","SRY_LT30","PC","A","2020",11.565,
"BEL","TEACHER","SRY_50_OVER","PC","A","2017",30.065,
"BEL","TEACHER","SRY_50_OVER","PC","A","2018",30.144,
"BEL","TEACHER","SRY_50_OVER","PC","A","2019",30.332,
"BEL","TEACHER","SRY_50_OVER","PC","A","2020",30.643,
"BEL","TEACHER","SRY_LT30","PC","A","2017",15.01,
"BEL","TEACHER","SRY_LT30","PC","A","2018",14.549,
"BEL","TEACHER","SRY_LT30","PC","A","2019",14.096,
"BEL","TEACHER","SRY_LT30","PC","A","2020",13.607,
"CZE","TEACHER","SRY_50_OVER","PC","A","2017",44.746,
"CZE","TEACHER","SRY_50_OVER","PC","A","2018",44.824,
"CZE","TEACHER","SRY_50_OVER","PC","A","2019",44.898,
"CZE","TEACHER","SRY_50_OVER","PC","A","2020",44.913,
"CZE","TEACHER","SRY_LT30","PC","A","2017",6.279,
"CZE","TEACHER","SRY_LT30","PC","A","2018",6.701,
"CZE","TEACHER","SRY_LT30","PC","A","2019",6.676,
"CZE","TEACHER","SRY_LT30","PC","A","2020",6.932,
"DNK","TEACHER","SRY_50_OVER","PC","A","2017",34.617,
"DNK","TEACHER","SRY_50_OVER","PC","A","2018",34.82,
"DNK","TEACHER","SRY_50_OVER","PC","A","2019",34.804,
"DNK","TEACHER","SRY_50_OVER","PC","A","2020",34.768,
"DNK","TEACHER","SRY_LT30","PC","A","2017",12.125,
"DNK","TEACHER","SRY_LT30","PC","A","2018",12.034,
"DNK","TEACHER","SRY_LT30","PC","A","2019",12.511,
"DNK","TEACHER","SRY_LT30","PC","A","2020",12.342,
"FIN","TEACHER","SRY_50_OVER","PC","A","2017",40.064,
"FIN","TEACHER","SRY_50_OVER","PC","A","2018",40.533,
"FIN","TEACHER","SRY_50_OVER","PC","A","2019",41.463,
"FIN","TEACHER","SRY_50_OVER","PC","A","2020",41.638,
"FIN","TEACHER","SRY_LT30","PC","A","2017",5.508,
"FIN","TEACHER","SRY_LT30","PC","A","2018",5.54,
"FIN","TEACHER","SRY_LT30","PC","A","2019",5.863,
"FIN","TEACHER","SRY_LT30","PC","A","2020",7.828,
"FRA","TEACHER","SRY_50_OVER","PC","A","2017",31.108,
"FRA","TEACHER","SRY_50_OVER","PC","A","2018",31.836,
