"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",52.400002,
"DNK","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",35.400002,
"FIN","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",46.5,
"FRA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",41.299999,
"ISL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",60.400002,
"ITA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",68.699997,
"JPN","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",7,
"KOR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",19.6,
"MEX","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",35.400002,
"NLD","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",37.900002,
"NOR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",53.700001,
"PRT","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",43.200001,
"SVK","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",66.400002,
"ESP","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",49.299999,
"SWE","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",68.699997,
"BRA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",76.5,
"BGR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",72.900002,
"CHL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",49.599998,
"HRV","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",52.599998,
"EST","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",56.599998,
"ISR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",50,
"LVA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",83.800003,
"ROU","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",61.200001,
"SGP","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",47.200001,
"NZL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",53.599998,
"GEO","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",60.099998,
"RUS","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",69.199997,
"AUT","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",49.900002,
"BEL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",43.599998,
"HUN","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",63,
"TUR","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",7.1999998,
"USA","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",48.5,
"COL","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",37.099998,
"KAZ","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",53.099998,
"LTU","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",57.200001,
"MLT","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",46,
"SAU","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",51.299999,
"SVN","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",62.700001,
"ZAF","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",21.799999,
"ARE","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",51.299999,
"VNM","PRINCIPAL","LOWSRY_WOMEN","PC_PRINCIPAL","A","2018",28.799999,
