"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","PRINCIPAL","LOWSRY_WORK","YR","A","2018",12.2,
"DNK","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.1999998,
"FIN","PRINCIPAL","LOWSRY_WORK","YR","A","2018",11.7,
"FRA","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10.3,
"ISL","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.8999996,
"ITA","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10,
"JPN","PRINCIPAL","LOWSRY_WORK","YR","A","2018",4.5999999,
"KOR","PRINCIPAL","LOWSRY_WORK","YR","A","2018",3.4000001,
"MEX","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.6999998,
"NLD","PRINCIPAL","LOWSRY_WORK","YR","A","2018",11.9,
"NOR","PRINCIPAL","LOWSRY_WORK","YR","A","2018",7.5999999,
"PRT","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10.7,
"SVK","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.8000002,
"ESP","PRINCIPAL","LOWSRY_WORK","YR","A","2018",7.3000002,
"SWE","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.6000004,
"BRA","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.1000004,
"BGR","PRINCIPAL","LOWSRY_WORK","YR","A","2018",13,
"CHL","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10.1,
"HRV","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.6999998,
"EST","PRINCIPAL","LOWSRY_WORK","YR","A","2018",14,
"ISR","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.1000004,
"LVA","PRINCIPAL","LOWSRY_WORK","YR","A","2018",13.9,
"ROU","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.3000002,
"SGP","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9,
"NZL","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.1000004,
"GEO","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10.6,
"RUS","PRINCIPAL","LOWSRY_WORK","YR","A","2018",11.4,
"AUT","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.1000004,
"BEL","PRINCIPAL","LOWSRY_WORK","YR","A","2018",7.0999999,
"HUN","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.6000004,
"TUR","PRINCIPAL","LOWSRY_WORK","YR","A","2018",6.6999998,
"USA","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.8999996,
"COL","PRINCIPAL","LOWSRY_WORK","YR","A","2018",13.1,
"KAZ","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.1999998,
"LTU","PRINCIPAL","LOWSRY_WORK","YR","A","2018",15.9,
"MLT","PRINCIPAL","LOWSRY_WORK","YR","A","2018",6.6999998,
"SAU","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.1000004,
"SVN","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10.2,
"ZAF","PRINCIPAL","LOWSRY_WORK","YR","A","2018",8.1000004,
"ARE","PRINCIPAL","LOWSRY_WORK","YR","A","2018",10.3,
"VNM","PRINCIPAL","LOWSRY_WORK","YR","A","2018",9.8999996,
