"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19","PC_AGE","A","2017",5.4119105,
"AUS","NEET","15_19","PC_AGE","A","2018",5.3403354,
"AUS","NEET","15_19","PC_AGE","A","2019",5.9049807,
"AUS","NEET","15_19","PC_AGE","A","2020",7.3563375,
"AUS","NEET","15_19","PC_AGE","A","2021",4.5715261,
"AUS","NEET","20_24","PC_AGE","A","2017",11.547612,
"AUS","NEET","20_24","PC_AGE","A","2018",11.860219,
"AUS","NEET","20_24","PC_AGE","A","2019",11.035892,
"AUS","NEET","20_24","PC_AGE","A","2020",15.876476,
"AUS","NEET","20_24","PC_AGE","A","2021",12.052877,
"AUT","NEET","15_19","PC_AGE","A","2017",5.0967417,
"AUT","NEET","15_19","PC_AGE","A","2018",5.2673492,
"AUT","NEET","15_19","PC_AGE","A","2019",6.580255,
"AUT","NEET","15_19","PC_AGE","A","2020",5.71,
"AUT","NEET","15_19","PC_AGE","A","2021",6.6058359,
"AUT","NEET","20_24","PC_AGE","A","2017",11.844285,
"AUT","NEET","20_24","PC_AGE","A","2018",12.456524,
"AUT","NEET","20_24","PC_AGE","A","2019",10.883707,
"AUT","NEET","20_24","PC_AGE","A","2020",13.82,
"AUT","NEET","20_24","PC_AGE","A","2021",12.272644,
"BEL","NEET","15_19","PC_AGE","A","2017",4.002316,
"BEL","NEET","15_19","PC_AGE","A","2018",3.9147413,
"BEL","NEET","15_19","PC_AGE","A","2019",4.770781,
"BEL","NEET","15_19","PC_AGE","A","2020",4.2146831,
"BEL","NEET","15_19","PC_AGE","A","2021",5.338388,
"BEL","NEET","20_24","PC_AGE","A","2017",15.199283,
"BEL","NEET","20_24","PC_AGE","A","2018",14.60678,
"BEL","NEET","20_24","PC_AGE","A","2019",15.406888,
"BEL","NEET","20_24","PC_AGE","A","2020",14.038448,
"CAN","NEET","15_19","PC_AGE","A","2017",5.8438287,
"CAN","NEET","15_19","PC_AGE","A","2018",5.9240508,
"CAN","NEET","15_19","PC_AGE","A","2019",5.7817998,
"CAN","NEET","15_19","PC_AGE","A","2020",9.051095,
"CAN","NEET","15_19","PC_AGE","A","2021",6.7120624,
"CAN","NEET","20_24","PC_AGE","A","2017",13.178947,
"CAN","NEET","20_24","PC_AGE","A","2018",13.406408,
"CAN","NEET","20_24","PC_AGE","A","2019",12.552653,
"CAN","NEET","20_24","PC_AGE","A","2020",14.038699,
"CAN","NEET","20_24","PC_AGE","A","2021",15.298508,
"CZE","NEET","15_19","PC_AGE","A","2017",2.0047865,
"CZE","NEET","15_19","PC_AGE","A","2018",2.3840954,
"CZE","NEET","15_19","PC_AGE","A","2019",1.7850622,
"CZE","NEET","15_19","PC_AGE","A","2020",2.3831904,
"CZE","NEET","15_19","PC_AGE","A","2021",3.9108367,
"CZE","NEET","20_24","PC_AGE","A","2017",10.510724,
"CZE","NEET","20_24","PC_AGE","A","2018",8.8197355,
"CZE","NEET","20_24","PC_AGE","A","2019",8.9284897,
"CZE","NEET","20_24","PC_AGE","A","2020",9.584341,
