"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2017",4.2873368,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2018",3.7791514,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2019",4.7202554,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2020",5.4474163,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2021",3.9798553,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2017",12.985241,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2018",13.681173,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2019",11.2099,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2020",15.843313,
"AUS","NEET","20_24_WOMEN","PC_AGE","A","2021",10.30409,
"AUS","NEET","15_29_WOMEN","PC_AGE","A","2017",12.79752,
"AUS","NEET","15_29_WOMEN","PC_AGE","A","2018",12.641664,
"AUS","NEET","15_29_WOMEN","PC_AGE","A","2019",12.005535,
"AUS","NEET","15_29_WOMEN","PC_AGE","A","2020",15.200427,
"AUS","NEET","15_29_WOMEN","PC_AGE","A","2021",10.733997,
"AUT","NEET","15_19_WOMEN","PC_AGE","A","2017",4.3432155,
"AUT","NEET","15_19_WOMEN","PC_AGE","A","2018",4.8944097,
"AUT","NEET","15_19_WOMEN","PC_AGE","A","2019",5.9712753,
"AUT","NEET","15_19_WOMEN","PC_AGE","A","2020",6.04,
"AUT","NEET","15_19_WOMEN","PC_AGE","A","2021",4.91503,
"AUT","NEET","20_24_WOMEN","PC_AGE","A","2017",9.7465925,
"AUT","NEET","20_24_WOMEN","PC_AGE","A","2018",11.222406,
"AUT","NEET","20_24_WOMEN","PC_AGE","A","2019",10.122292,
"AUT","NEET","20_24_WOMEN","PC_AGE","A","2020",12.11,
"AUT","NEET","20_24_WOMEN","PC_AGE","A","2021",12.352662,
"AUT","NEET","15_29_WOMEN","PC_AGE","A","2017",10.399541,
"AUT","NEET","15_29_WOMEN","PC_AGE","A","2018",11.570451,
"AUT","NEET","15_29_WOMEN","PC_AGE","A","2019",11.186902,
"AUT","NEET","15_29_WOMEN","PC_AGE","A","2020",11.87,
"AUT","NEET","15_29_WOMEN","PC_AGE","A","2021",11.584897,
"BEL","NEET","15_19_WOMEN","PC_AGE","A","2017",3.4722855,
"BEL","NEET","15_19_WOMEN","PC_AGE","A","2018",4.0471005,
"BEL","NEET","15_19_WOMEN","PC_AGE","A","2019",3.9821348,
"BEL","NEET","15_19_WOMEN","PC_AGE","A","2020",3.540127,
"BEL","NEET","15_19_WOMEN","PC_AGE","A","2021",5.1238904,
"BEL","NEET","20_24_WOMEN","PC_AGE","A","2017",13.623745,
"BEL","NEET","20_24_WOMEN","PC_AGE","A","2018",12.431396,
"BEL","NEET","20_24_WOMEN","PC_AGE","A","2019",13.580202,
"BEL","NEET","20_24_WOMEN","PC_AGE","A","2020",13.37264,
"BEL","NEET","15_29_WOMEN","PC_AGE","A","2017",13.209764,
"BEL","NEET","15_29_WOMEN","PC_AGE","A","2018",13.305344,
"BEL","NEET","15_29_WOMEN","PC_AGE","A","2019",13.195625,
"BEL","NEET","15_29_WOMEN","PC_AGE","A","2020",12.964687,
"BEL","NEET","15_29_WOMEN","PC_AGE","A","2021",11.371595,
"CAN","NEET","15_19_WOMEN","PC_AGE","A","2017",5.072464,
"CAN","NEET","15_19_WOMEN","PC_AGE","A","2018",4.6875,
"CAN","NEET","15_19_WOMEN","PC_AGE","A","2019",4.8654246,
"CAN","NEET","15_19_WOMEN","PC_AGE","A","2020",7.8763709,
"CAN","NEET","15_19_WOMEN","PC_AGE","A","2021",5.4617677,
"CAN","NEET","20_24_WOMEN","PC_AGE","A","2017",12.013829,
"CAN","NEET","20_24_WOMEN","PC_AGE","A","2018",12.391681,
"CAN","NEET","20_24_WOMEN","PC_AGE","A","2019",11.535126,
"CAN","NEET","20_24_WOMEN","PC_AGE","A","2020",12.209803,
"CAN","NEET","20_24_WOMEN","PC_AGE","A","2021",13.148788,
"CAN","NEET","15_29_WOMEN","PC_AGE","A","2017",11.855824,
"CAN","NEET","15_29_WOMEN","PC_AGE","A","2018",11.714116,
"CAN","NEET","15_29_WOMEN","PC_AGE","A","2019",10.990303,
"CAN","NEET","15_29_WOMEN","PC_AGE","A","2020",12.894737,
"CAN","NEET","15_29_WOMEN","PC_AGE","A","2021",12.775331,
"CZE","NEET","15_19_WOMEN","PC_AGE","A","2017",2.5068591,
"CZE","NEET","15_19_WOMEN","PC_AGE","A","2018",2.4596505,
"CZE","NEET","15_19_WOMEN","PC_AGE","A","2019",1.9267942,
"CZE","NEET","15_19_WOMEN","PC_AGE","A","2020",2.745635,
"CZE","NEET","15_19_WOMEN","PC_AGE","A","2021",3.782886,
"CZE","NEET","20_24_WOMEN","PC_AGE","A","2017",13.705412,
"CZE","NEET","20_24_WOMEN","PC_AGE","A","2018",12.068424,
"CZE","NEET","20_24_WOMEN","PC_AGE","A","2019",12.940073,
"CZE","NEET","20_24_WOMEN","PC_AGE","A","2020",14.057869,
"CZE","NEET","20_24_WOMEN","PC_AGE","A","2021",16.608381,
"CZE","NEET","15_29_WOMEN","PC_AGE","A","2017",16.879799,
"CZE","NEET","15_29_WOMEN","PC_AGE","A","2018",16.027655,
"CZE","NEET","15_29_WOMEN","PC_AGE","A","2019",15.501169,
"CZE","NEET","15_29_WOMEN","PC_AGE","A","2020",16.964821,
"CZE","NEET","15_29_WOMEN","PC_AGE","A","2021",18.863834,
"DNK","NEET","15_19_WOMEN","PC_AGE","A","2017",4.0556331,
"DNK","NEET","15_19_WOMEN","PC_AGE","A","2018",3.8937616,
"DNK","NEET","15_19_WOMEN","PC_AGE","A","2019",4.8543692,
"DNK","NEET","15_19_WOMEN","PC_AGE","A","2020",4.6921034,
"DNK","NEET","15_19_WOMEN","PC_AGE","A","2021",4.5752921,
"DNK","NEET","20_24_WOMEN","PC_AGE","A","2017",14.823002,
"DNK","NEET","20_24_WOMEN","PC_AGE","A","2018",13.926853,
"DNK","NEET","20_24_WOMEN","PC_AGE","A","2019",12.53395,
"DNK","NEET","20_24_WOMEN","PC_AGE","A","2020",13.843096,
"DNK","NEET","20_24_WOMEN","PC_AGE","A","2021",11.364285,
"DNK","NEET","15_29_WOMEN","PC_AGE","A","2017",12.825502,
"DNK","NEET","15_29_WOMEN","PC_AGE","A","2018",11.890738,
"DNK","NEET","15_29_WOMEN","PC_AGE","A","2019",12.141249,
"DNK","NEET","15_29_WOMEN","PC_AGE","A","2020",12.480641,
"DNK","NEET","15_29_WOMEN","PC_AGE","A","2021",11.191282,
"FIN","NEET","15_19_WOMEN","PC_AGE","A","2017",4.0540543,
"FIN","NEET","15_19_WOMEN","PC_AGE","A","2018",4.3165469,
"FIN","NEET","15_19_WOMEN","PC_AGE","A","2019",4.1379309,
"FIN","NEET","15_19_WOMEN","PC_AGE","A","2020",3.3557048,
"FIN","NEET","15_19_WOMEN","PC_AGE","A","2021",5.2287583,
"FIN","NEET","20_24_WOMEN","PC_AGE","A","2017",15.822784,
"FIN","NEET","20_24_WOMEN","PC_AGE","A","2018",13.580247,
"FIN","NEET","20_24_WOMEN","PC_AGE","A","2019",12.418301,
"FIN","NEET","20_24_WOMEN","PC_AGE","A","2020",12.5,
"FIN","NEET","20_24_WOMEN","PC_AGE","A","2021",14.685315,
"FIN","NEET","15_29_WOMEN","PC_AGE","A","2017",13.347458,
"FIN","NEET","15_29_WOMEN","PC_AGE","A","2018",13.006396,
"FIN","NEET","15_29_WOMEN","PC_AGE","A","2019",12.288136,
"FIN","NEET","15_29_WOMEN","PC_AGE","A","2020",10.398231,
"FIN","NEET","15_29_WOMEN","PC_AGE","A","2021",11.447084,
"FRA","NEET","15_19_WOMEN","PC_AGE","A","2017",6.6178761,
"FRA","NEET","15_19_WOMEN","PC_AGE","A","2018",5.7911329,
"FRA","NEET","15_19_WOMEN","PC_AGE","A","2019",5.9909472,
"FRA","NEET","15_19_WOMEN","PC_AGE","A","2020",5.6989574,
"FRA","NEET","15_19_WOMEN","PC_AGE","A","2021",5.185071,
"FRA","NEET","20_24_WOMEN","PC_AGE","A","2017",20.045736,
"FRA","NEET","20_24_WOMEN","PC_AGE","A","2018",19.582817,
"FRA","NEET","20_24_WOMEN","PC_AGE","A","2019",18.470772,
"FRA","NEET","20_24_WOMEN","PC_AGE","A","2020",19.904406,
"FRA","NEET","20_24_WOMEN","PC_AGE","A","2021",17.820471,
"FRA","NEET","15_29_WOMEN","PC_AGE","A","2017",17.751417,
"FRA","NEET","15_29_WOMEN","PC_AGE","A","2018",16.89595,
"FRA","NEET","15_29_WOMEN","PC_AGE","A","2019",15.81815,
"FRA","NEET","15_29_WOMEN","PC_AGE","A","2020",16.265841,
"FRA","NEET","15_29_WOMEN","PC_AGE","A","2021",14.99579,
"DEU","NEET","15_19_WOMEN","PC_AGE","A","2017",3.4373693,
"DEU","NEET","15_19_WOMEN","PC_AGE","A","2018",3.6888149,
"DEU","NEET","15_19_WOMEN","PC_AGE","A","2019",2.4973559,
"DEU","NEET","15_19_WOMEN","PC_AGE","A","2021",4.5899587,
"DEU","NEET","20_24_WOMEN","PC_AGE","A","2017",10.831518,
"DEU","NEET","20_24_WOMEN","PC_AGE","A","2018",11.429253,
"DEU","NEET","20_24_WOMEN","PC_AGE","A","2019",10.251824,
"DEU","NEET","20_24_WOMEN","PC_AGE","A","2021",11.498549,
"DEU","NEET","15_29_WOMEN","PC_AGE","A","2017",11.266782,
"DEU","NEET","15_29_WOMEN","PC_AGE","A","2018",11.295937,
"DEU","NEET","15_29_WOMEN","PC_AGE","A","2019",10.152657,
"DEU","NEET","15_29_WOMEN","PC_AGE","A","2021",11.456838,
