"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","2000",195402,
"AUS","ELECTRICITY","TOT","GWH","A","2001",206772,
"AUS","ELECTRICITY","TOT","GWH","A","2002",213004,
"AUS","ELECTRICITY","TOT","GWH","A","2003",205309,
"AUS","ELECTRICITY","TOT","GWH","A","2004",210162,
"AUS","ELECTRICITY","TOT","GWH","A","2005",214526,
"AUS","ELECTRICITY","TOT","GWH","A","2006",218390,
"AUS","ELECTRICITY","TOT","GWH","A","2007",227066,
"AUS","ELECTRICITY","TOT","GWH","A","2008",228073,
"AUS","ELECTRICITY","TOT","GWH","A","2009",232688,
"AUS","ELECTRICITY","TOT","GWH","A","2010",237384,
"AUS","ELECTRICITY","TOT","GWH","A","2011",240739,
"AUS","ELECTRICITY","TOT","GWH","A","2012",236580,
"AUS","ELECTRICITY","TOT","GWH","A","2013",235522,
"AUS","ELECTRICITY","TOT","GWH","A","2014",232621,
"AUS","ELECTRICITY","TOT","GWH","A","2015",238533,
"AUS","ELECTRICITY","TOT","GWH","A","2016",243262,
"AUS","ELECTRICITY","TOT","GWH","A","2017",243517,
"AUS","ELECTRICITY","TOT","GWH","A","2018",247292,
"AUS","ELECTRICITY","TOT","GWH","A","2019",250531,
"AUS","ELECTRICITY","TOT","GWH","A","2020",251913.481,
"AUS","ELECTRICITY","TOT","GWH","A","2021",,"L"
"AUT","ELECTRICITY","TOT","GWH","A","2000",59054,
"AUT","ELECTRICITY","TOT","GWH","A","2001",60111,
"AUT","ELECTRICITY","TOT","GWH","A","2002",59937,
"AUT","ELECTRICITY","TOT","GWH","A","2003",57413,
"AUT","ELECTRICITY","TOT","GWH","A","2004",61387,
"AUT","ELECTRICITY","TOT","GWH","A","2005",63671,
"AUT","ELECTRICITY","TOT","GWH","A","2006",61228,
"AUT","ELECTRICITY","TOT","GWH","A","2007",61810,
"AUT","ELECTRICITY","TOT","GWH","A","2008",63589,
"AUT","ELECTRICITY","TOT","GWH","A","2009",66032,
"AUT","ELECTRICITY","TOT","GWH","A","2010",67709,
"AUT","ELECTRICITY","TOT","GWH","A","2011",62592,
"AUT","ELECTRICITY","TOT","GWH","A","2012",69525,
"AUT","ELECTRICITY","TOT","GWH","A","2013",65260,
"AUT","ELECTRICITY","TOT","GWH","A","2014",62248,
"AUT","ELECTRICITY","TOT","GWH","A","2015",61928,
"AUT","ELECTRICITY","TOT","GWH","A","2016",64961,
"AUT","ELECTRICITY","TOT","GWH","A","2017",68093.595,
"AUT","ELECTRICITY","TOT","GWH","A","2018",65383.711,
"AUT","ELECTRICITY","TOT","GWH","A","2019",71101.128,
"AUT","ELECTRICITY","TOT","GWH","A","2020",69424.515,
"AUT","ELECTRICITY","TOT","GWH","A","2021",,"L"
"BEL","ELECTRICITY","TOT","GWH","A","2000",80266,
"BEL","ELECTRICITY","TOT","GWH","A","2001",76216,
"BEL","ELECTRICITY","TOT","GWH","A","2002",78147,
"BEL","ELECTRICITY","TOT","GWH","A","2003",80858,
"BEL","ELECTRICITY","TOT","GWH","A","2004",80705,
"BEL","ELECTRICITY","TOT","GWH","A","2005",82310,
"BEL","ELECTRICITY","TOT","GWH","A","2006",81161,
"BEL","ELECTRICITY","TOT","GWH","A","2007",84581,
"BEL","ELECTRICITY","TOT","GWH","A","2008",81082,
"BEL","ELECTRICITY","TOT","GWH","A","2009",87661,
"BEL","ELECTRICITY","TOT","GWH","A","2010",91007,
"BEL","ELECTRICITY","TOT","GWH","A","2011",87121,
"BEL","ELECTRICITY","TOT","GWH","A","2012",79919,
"BEL","ELECTRICITY","TOT","GWH","A","2013",80300,
"BEL","ELECTRICITY","TOT","GWH","A","2014",69818,
"BEL","ELECTRICITY","TOT","GWH","A","2015",67380,
"BEL","ELECTRICITY","TOT","GWH","A","2016",82401,
"BEL","ELECTRICITY","TOT","GWH","A","2017",83122.9,
"BEL","ELECTRICITY","TOT","GWH","A","2018",72065.1,
"BEL","ELECTRICITY","TOT","GWH","A","2019",89913.4,
"BEL","ELECTRICITY","TOT","GWH","A","2020",86055.1,
"BEL","ELECTRICITY","TOT","GWH","A","2021",,"L"
