"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1990",1.506683,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1991",1.692914,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1992",1.614693,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1993",1.648026,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1994",1.629192,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1995",1.581983,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1996",1.499249,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1997",1.57028,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1998",1.458226,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1999",1.523195,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2000",1.512068,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2001",1.659841,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2002",1.600216,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2003",1.607591,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2004",1.551991,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2005",1.462428,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2006",1.551255,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2007",1.582867,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2008",1.495083,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2009",1.635385,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2010",1.866481,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2011",2.287066,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2012",2.294752,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2013",2.693918,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2014",2.968403,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2015",2.815725,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2016",3.013947,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",3.119146,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",3.431603,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",3.944288,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",4.412984,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1990",11.07726,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1991",10.41822,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1992",12.03389,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1993",12.60795,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1994",12.31774,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1995",12.28718,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1996",10.77322,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1997",11.48206,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1998",11.64155,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","1999",12.79368,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2000",13.21431,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2001",12.15201,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2002",12.00552,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2003",9.642826,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2004",10.67781,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2005",11.08778,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2006",11.59353,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2007",12.50213,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2008",12.95433,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2009",14.77492,
