"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",3.119146,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",3.431603,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",3.944288,
"AUS","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",4.412984,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",15.37402,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",15.30535,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",16.13842,
"AUT","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",17.43021,
"BEL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",3.596426,
"BEL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",4.010919,
"BEL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",4.335174,
"BEL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",5.732702,
"CAN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",13.10824,
"CAN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",12.74681,
"CAN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",12.63053,
"CAN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",13.62592,
"CZE","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",3.303377,
"CZE","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",3.257755,
"CZE","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",3.421229,
"CZE","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",3.795785,
"DNK","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",14.24249,
"DNK","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",14.30132,
"DNK","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",16.74607,
"DNK","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",19.06027,
"FIN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",7.865198,
"FIN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",7.680107,
"FIN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",7.850592,
"FIN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",9.668247,
"FRA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",5.372283,
"FRA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",6.176033,
"FRA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",6.319582,
"FRA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",7.345148,
"DEU","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",9.294724,
"DEU","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",9.744485,
"DEU","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",10.57708,
"DEU","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",11.75389,
"GRC","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",7.410043,
"GRC","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",8.59603,
"GRC","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",8.903443,
"GRC","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",10.8364,
"HUN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",2.210588,
"HUN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",2.395239,
"HUN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",2.806304,
"HUN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",3.444269,
"ISL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",88.49532,
"ISL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",88.85349,
"ISL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",88.91694,
"ISL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",89.87399,
"IRL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",7.496674,
"IRL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",8.327648,
"IRL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",9.61651,
"IRL","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",11.13297,
"ITA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",11.15597,
"ITA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",12.04012,
"ITA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",12.38787,
"ITA","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",13.37321,
"JPN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",3.646346,
"JPN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",3.84992,
"JPN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",4.139468,
"JPN","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",4.554623,
"KOR","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",0.9515954,
"KOR","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",1.126587,
"KOR","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",1.284709,
"KOR","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",1.522777,
"LUX","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2017",4.955251,
"LUX","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2018",5.156262,
"LUX","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2019",5.28137,
"LUX","RENEWABLE","EXCLUSOLIDBIO","PC_PRYENRGSUPPLY","A","2020",6.031454,
