"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1990",5.890716,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1991",6.100198,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1992",5.453072,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1993",6.011902,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1994",5.895259,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1995",5.979026,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1996",6.173567,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1997",6.31801,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1998",5.951313,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1999",5.903954,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",5.87712,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",6.126352,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",6.172055,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",5.983663,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",5.796071,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",5.694552,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",5.640688,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",5.673598,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",5.611541,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",4.432834,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",5.289431,
