"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",0.004,
"AUS","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",0.004,
"AUS","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",0.004,
"AUT","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",80.686,
"AUT","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",83.825,
"AUT","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",82.411,
"BEL","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",92.502,
"BEL","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",93.224,
"BEL","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",93.062,
"CAN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",1.828,
"CAN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",1.497,
"CAN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",1.767,
"CZE","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",99.551,
"CZE","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",99.728,
"CZE","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",99.673,
"DNK","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",65.621,
"DNK","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",41.147,
"DNK","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",36.413,
"FIN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",0,
"FIN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",0,
"FIN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",0,
"FRA","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",67.486,
"FRA","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",71.593,
"FRA","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",69.267,
"DEU","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",87.046,
"DEU","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",88.721,
"DEU","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",86.831,
"GRC","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",97.033,
"GRC","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",97.082,
"GRC","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",96.611,
"HUN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",100,
"HUN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",100,
"HUN","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2019",100,
"ISL","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2017",3.469,
"ISL","POLLUTIONEXP","EXPOS2PM25","PC_POP","A","2018",3.469,
