"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",66.038,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",68.245,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",70.732,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",259.615,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",259.975,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",267.22,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",300.176,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",300.555,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",302.814,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",99.559,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",102.273,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",100.683,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",573.418,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",585.813,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",585.256,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",235.138,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",233.673,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",224.931,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",56.835,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",60.246,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",69.65,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",197.825,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",200.002,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",203.434,
"DEU","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",319.86,
"DEU","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",320.436,
"DEU","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",324.287,
"GRC","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",514.084,
"GRC","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",533.198,
"GRC","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",545.872,
"HUN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",723.006,
"HUN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",732.865,
"HUN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",716.649,
"ISL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",44.9,
"ISL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",45.28,
"ISL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",45.837,
"IRL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",101.881,
"IRL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",103.805,
"IRL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",109.708,
"ITA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",391.078,
"ITA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",399.27,
"ITA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",407.807,
"JPN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",297.506,
"JPN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",306.401,
"JPN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",313.08,
"KOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",384.056,
"KOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",401.362,
"KOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",426.671,
"LUX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",140.865,
"LUX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",142.335,
"LUX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",147.914,
"MEX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",276.518,
"MEX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",278.039,
"MEX","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",286.879,
"NLD","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",266.8,
"NLD","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",267.694,
"NLD","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",267.263,
"NZL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",57.786,
"NZL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",61.129,
"NZL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",63.304,
"NOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",71.837,
"NOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",72.02,
"NOR","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2019",73.109,
"POL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",712.406,
"POL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2018",725.214,
