"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.6924782691,
"AUS","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.7495120393,
"AUS","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2424676437,
"AUS","LANDCOVER","VEGELOSS2004","PC","A","2019",0.267547321,
"AUT","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.4032221351,
"AUT","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4993450892,
"AUT","LANDCOVER","VEGELOSS2004","PC","A","2018",0.7648213401,
"AUT","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8336292464,
"BEL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.7442494416,
"BEL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.9662422488,
"BEL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.5816346498,
"BEL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6221196602,
"CAN","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1468510738,
"CAN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1735452178,
"CAN","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2900209619,
"CAN","LANDCOVER","VEGELOSS2004","PC","A","2019",0.3623113825,
"CZE","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.8735108383,
"CZE","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.3446838915,
"CZE","LANDCOVER","VEGELOSS2004","PC","A","2018",0.9665255834,
"CZE","LANDCOVER","VEGELOSS2004","PC","A","2019",1.1294647622,
"DNK","LANDCOVER","VEGEGAIN2004","PC","A","2018",3.4563434426,
"DNK","LANDCOVER","VEGEGAIN2004","PC","A","2019",4.7809561912,
"DNK","LANDCOVER","VEGELOSS2004","PC","A","2018",2.0708489524,
"DNK","LANDCOVER","VEGELOSS2004","PC","A","2019",2.0717186916,
"FIN","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1515229873,
"FIN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1548114662,
"FIN","LANDCOVER","VEGELOSS2004","PC","A","2018",1.3874851175,
"FIN","LANDCOVER","VEGELOSS2004","PC","A","2019",1.6596980895,
"FRA","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.2223928921,
"FRA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.4027417405,
"FRA","LANDCOVER","VEGELOSS2004","PC","A","2018",0.6396198532,
"FRA","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6726329418,
"DEU","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.3522144702,
"DEU","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.595215531,
"DEU","LANDCOVER","VEGELOSS2004","PC","A","2018",0.700883075,
"DEU","LANDCOVER","VEGELOSS2004","PC","A","2019",0.7369163782,
"GRC","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.5022969912,
"GRC","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.5931718797,
"GRC","LANDCOVER","VEGELOSS2004","PC","A","2018",0.4751394662,
"GRC","LANDCOVER","VEGELOSS2004","PC","A","2019",0.4870849368,
"HUN","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.2702917119,
"HUN","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.5425219848,
"HUN","LANDCOVER","VEGELOSS2004","PC","A","2018",0.8685137379,
"HUN","LANDCOVER","VEGELOSS2004","PC","A","2019",0.9763182055,
"ISL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.0618814692,
"ISL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0,
"ISL","LANDCOVER","VEGELOSS2004","PC","A","2018",0,
"ISL","LANDCOVER","VEGELOSS2004","PC","A","2019",0,
"IRL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.1251674555,
"IRL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1529405555,
"IRL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.1971764434,
"IRL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.2258292344,
"ITA","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.6439719364,
"ITA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.9019478413,
"ITA","LANDCOVER","VEGELOSS2004","PC","A","2018",1.0158508975,
"ITA","LANDCOVER","VEGELOSS2004","PC","A","2019",1.0749329083,
"JPN","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.636807537,
"JPN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.6947855366,
"JPN","LANDCOVER","VEGELOSS2004","PC","A","2018",1.15247754,
"JPN","LANDCOVER","VEGELOSS2004","PC","A","2019",1.2329599562,
"KOR","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.4555346776,
"KOR","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.6404839679,
"KOR","LANDCOVER","VEGELOSS2004","PC","A","2018",6.6609789471,
"KOR","LANDCOVER","VEGELOSS2004","PC","A","2019",7.0395862332,
"LUX","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.1593754831,
"LUX","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.298500541,
"LUX","LANDCOVER","VEGELOSS2004","PC","A","2018",0.6028752512,
"LUX","LANDCOVER","VEGELOSS2004","PC","A","2019",0.613180811,
"MEX","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.4270509391,
"MEX","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4634782137,
"MEX","LANDCOVER","VEGELOSS2004","PC","A","2018",0.7239444613,
"MEX","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8715291396,
"NLD","LANDCOVER","VEGEGAIN2004","PC","A","2018",1.7220964985,
"NLD","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.9388505352,
"NLD","LANDCOVER","VEGELOSS2004","PC","A","2018",0.5609823637,
"NLD","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6698368138,
"NZL","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.3533668949,
"NZL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.3625605421,
"NZL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.2943875806,
"NZL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.3495494636,
"NOR","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.393989039,
"NOR","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4404952858,
"NOR","LANDCOVER","VEGELOSS2004","PC","A","2018",1.2147328819,
"NOR","LANDCOVER","VEGELOSS2004","PC","A","2019",1.3297987062,
"POL","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.2799614332,
"POL","LANDCOVER","VEGELOSS2004","PC","A","2018",0.738753614,
"PRT","LANDCOVER","VEGEGAIN2004","PC","A","2018",5.3077394544,
"PRT","LANDCOVER","VEGEGAIN2004","PC","A","2019",5.7039057863,
"PRT","LANDCOVER","VEGELOSS2004","PC","A","2018",2.487978701,
"PRT","LANDCOVER","VEGELOSS2004","PC","A","2019",2.8572699132,
"SVK","LANDCOVER","VEGEGAIN2004","PC","A","2018",0.855751659,
"SVK","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.963821042,
"SVK","LANDCOVER","VEGELOSS2004","PC","A","2018",1.0976935079,
"SVK","LANDCOVER","VEGELOSS2004","PC","A","2019",1.2251910946,
"ESP","LANDCOVER","VEGEGAIN2004","PC","A","2018",2.1284480722,
