"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",19.277036909,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",19.378822187,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",19.3816762087,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",20.3393940061,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",20.3393940061,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",28.4131240221,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",28.5451531521,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",29.2189200043,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",29.2189200043,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",29.2189200043,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",14.875846877,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",14.8902451328,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",15.5590294204,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",15.5590294204,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",15.5590294204,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",10.8228454403,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",11.2682911105,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",11.5815453492,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",11.9046390913,
"CAN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",11.9046390913,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",21.8822214299,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.9095327192,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.9107897242,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.9107897242,
"CZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",21.9107897242,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",16.3251389687,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",16.3251389687,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",16.3251389687,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",16.3251389687,
"DNK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",16.3251389687,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.2117835689,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.226001066,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.2498220801,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.2505463677,
"FIN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",13.2505463677,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",24.5789891935,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",26.1545437603,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",27.2543756382,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",27.2543756382,
"FRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",27.2543756382,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",37.0378621239,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",37.7813653638,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",37.7814662804,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",37.7814662804,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",37.7814662804,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",35.1395239722,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",35.1395239722,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",35.1395239722,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",35.1395239722,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",35.1395239722,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",22.6206754278,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",22.6206754278,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",22.6206754278,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",22.6206754278,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",22.6206754278,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.4584871104,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",20.4584871104,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",20.4592802933,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",20.4592802933,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",20.4592802933,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.8848883384,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",14.0177999024,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",14.2178776602,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",14.2178776602,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",14.2178776602,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.1232879608,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",20.6921823948,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.4872569462,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.4872569462,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",21.4872569462,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",21.3727271711,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.3727271711,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.3727271711,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.3727271711,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",21.3727271711,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",15.2350754939,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",15.3924643431,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",16.611163262,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",16.9364516723,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",16.9364516723,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",51.0501529683,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",51.0501529683,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",51.0914028394,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",51.0914028394,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",51.0914028394,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",14.2525831983,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",14.2834905333,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",14.2882426797,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",14.2882426797,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2021",14.2882426797,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",21.7752406709,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",22.5099943402,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",22.5122992489,
