"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","THREATENED","BIRD","PC_SPECIES","A","2020",16.917,
"AUS","THREATENED","BIRD","PC_SPECIES","A","2021",16.917,
"AUS","THREATENED","MAMMAL","PC_SPECIES","A","2020",28.382,
"AUS","THREATENED","MAMMAL","PC_SPECIES","A","2021",28.382,
"AUS","THREATENED","PLANT","PC_SPECIES","A","2020",5.883,
"AUS","THREATENED","PLANT","PC_SPECIES","A","2021",5.883,
"AUT","THREATENED","BIRD","PC_SPECIES","A","2020",28.821,
"AUT","THREATENED","BIRD","PC_SPECIES","A","2021",28.821,
"AUT","THREATENED","MAMMAL","PC_SPECIES","A","2020",25.962,
"AUT","THREATENED","MAMMAL","PC_SPECIES","A","2021",25.962,
"AUT","THREATENED","PLANT","PC_SPECIES","A","2020",33.39,
"AUT","THREATENED","PLANT","PC_SPECIES","A","2021",33.39,
"BEL","THREATENED","BIRD","PC_SPECIES","A","2020",27.778,
"BEL","THREATENED","BIRD","PC_SPECIES","A","2021",27.778,
"BEL","THREATENED","MAMMAL","PC_SPECIES","A","2020",21.429,
"BEL","THREATENED","MAMMAL","PC_SPECIES","A","2021",21.429,
"BEL","THREATENED","PLANT","PC_SPECIES","A","2020",23.267,
"BEL","THREATENED","PLANT","PC_SPECIES","A","2021",23.267,
"CAN","THREATENED","BIRD","PC_SPECIES","A","2020",13.056,
"CAN","THREATENED","BIRD","PC_SPECIES","A","2021",13.056,
"CAN","THREATENED","MAMMAL","PC_SPECIES","A","2020",23.529,
"CAN","THREATENED","MAMMAL","PC_SPECIES","A","2021",23.529,
"CAN","THREATENED","PLANT","PC_SPECIES","A","2020",21.35,
"CAN","THREATENED","PLANT","PC_SPECIES","A","2021",21.35,
"CZE","THREATENED","BIRD","PC_SPECIES","A","2020",48.523,
"CZE","THREATENED","BIRD","PC_SPECIES","A","2021",48.523,
"CZE","THREATENED","MAMMAL","PC_SPECIES","A","2020",15.789,
"CZE","THREATENED","MAMMAL","PC_SPECIES","A","2021",15.789,
"CZE","THREATENED","PLANT","PC_SPECIES","A","2020",40.248,
"CZE","THREATENED","PLANT","PC_SPECIES","A","2021",40.248,
"DNK","THREATENED","BIRD","PC_SPECIES","A","2020",34.855,
"DNK","THREATENED","BIRD","PC_SPECIES","A","2021",34.855,
