"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","KG_CO2USD","A","2017",0.3250948,
"AUS","AIREMISSION","CO2","KG_CO2USD","A","2018",0.3163656,
"AUS","AIREMISSION","CO2","KG_CO2USD","A","2019",0.314995,
"AUS","AIREMISSION","CO2","KG_CO2USD","A","2020",0.3065363,
"AUT","AIREMISSION","CO2","KG_CO2USD","A","2017",0.142713,
"AUT","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1329108,
"AUT","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1347228,
"AUT","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1313239,
"BEL","AIREMISSION","CO2","KG_CO2USD","A","2017",0.168712,
"BEL","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1669683,
"BEL","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1617744,
"BEL","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1584066,
"CAN","AIREMISSION","CO2","KG_CO2USD","A","2017",0.3365745,
"CAN","AIREMISSION","CO2","KG_CO2USD","A","2018",0.3355895,
"CAN","AIREMISSION","CO2","KG_CO2USD","A","2019",0.3297274,
"CAN","AIREMISSION","CO2","KG_CO2USD","A","2020",0.3176633,
"CZE","AIREMISSION","CO2","KG_CO2USD","A","2017",0.2596578,
"CZE","AIREMISSION","CO2","KG_CO2USD","A","2018",0.248915,
"CZE","AIREMISSION","CO2","KG_CO2USD","A","2019",0.2300725,
"CZE","AIREMISSION","CO2","KG_CO2USD","A","2020",0.2184141,
"DNK","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1071533,
"DNK","AIREMISSION","CO2","KG_CO2USD","A","2018",0.105222,
"DNK","AIREMISSION","CO2","KG_CO2USD","A","2019",0.09199777,
"DNK","AIREMISSION","CO2","KG_CO2USD","A","2020",0.08472904,
"FIN","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1716673,
"FIN","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1760037,
"FIN","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1586345,
"FIN","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1444513,
"FRA","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1108173,
"FRA","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1049535,
"FRA","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1007609,
"FRA","AIREMISSION","CO2","KG_CO2USD","A","2020",0.09609216,
"DEU","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1760728,
"DEU","AIREMISSION","CO2","KG_CO2USD","A","2018",0.168287,
"DEU","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1544534,
"DEU","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1470609,
"GRC","AIREMISSION","CO2","KG_CO2USD","A","2017",0.2166459,
"GRC","AIREMISSION","CO2","KG_CO2USD","A","2018",0.2079979,
"GRC","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1878445,
"GRC","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1698416,
"HUN","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1623754,
"HUN","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1536501,
"HUN","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1464574,
"HUN","AIREMISSION","CO2","KG_CO2USD","A","2020",0.147782,
"ISL","AIREMISSION","CO2","KG_CO2USD","A","2017",0.09277083,
"ISL","AIREMISSION","CO2","KG_CO2USD","A","2018",0.08967613,
"ISL","AIREMISSION","CO2","KG_CO2USD","A","2019",0.08447292,
"ISL","AIREMISSION","CO2","KG_CO2USD","A","2020",0.08126068,
"IRL","AIREMISSION","CO2","KG_CO2USD","A","2017",0.0996056,
"IRL","AIREMISSION","CO2","KG_CO2USD","A","2018",0.0908659,
"IRL","AIREMISSION","CO2","KG_CO2USD","A","2019",0.08203351,
"IRL","AIREMISSION","CO2","KG_CO2USD","A","2020",0.07238925,
"ITA","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1393041,
"ITA","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1361561,
"ITA","AIREMISSION","CO2","KG_CO2USD","A","2019",0.132146,
"ITA","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1316574,
"JPN","AIREMISSION","CO2","KG_CO2USD","A","2017",0.2119071,
"JPN","AIREMISSION","CO2","KG_CO2USD","A","2018",0.2034291,
"JPN","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1975992,
"JPN","AIREMISSION","CO2","KG_CO2USD","A","2020",0.2006328,
"KOR","AIREMISSION","CO2","KG_CO2USD","A","2017",0.292324,
"KOR","AIREMISSION","CO2","KG_CO2USD","A","2018",0.2867442,
"KOR","AIREMISSION","CO2","KG_CO2USD","A","2019",0.2710878,
"KOR","AIREMISSION","CO2","KG_CO2USD","A","2020",0.2664315,
"LUX","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1320232,
"LUX","AIREMISSION","CO2","KG_CO2USD","A","2018",0.1342524,
"LUX","AIREMISSION","CO2","KG_CO2USD","A","2019",0.1321018,
"LUX","AIREMISSION","CO2","KG_CO2USD","A","2020",0.1106697,
"MEX","AIREMISSION","CO2","KG_CO2USD","A","2017",0.1908214,
