"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2017",392.820131,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2018",391.410534,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2019",389.399485,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2020",374.231223,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2021",378.4844061,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2017",64.157672,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2018",61.304388,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2019",62.726774,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2020",57.321404,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2021",60.1627089,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","2017",90.296356,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","2018",90.989244,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","2019",90.170393,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","2020",82.730097,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","2021",86.735336,
"CAN","AIREMISSION","CO2","MLN_TONNE","A","2017",558.726088,
"CAN","AIREMISSION","CO2","MLN_TONNE","A","2018",570.016412,
"CAN","AIREMISSION","CO2","MLN_TONNE","A","2019",556.779803,
"CAN","AIREMISSION","CO2","MLN_TONNE","A","2020",508.075791,
"CAN","AIREMISSION","CO2","MLN_TONNE","A","2021",528.8499925,
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2017",101.82192,
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2018",100.866283,
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2019",95.735909,
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2020",86.944166,
"CZE","AIREMISSION","CO2","MLN_TONNE","A","2021",91.2615895,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2017",31.760249,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2018",31.758519,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2019",28.352746,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2020",25.919737,
"DNK","AIREMISSION","CO2","MLN_TONNE","A","2021",28.4484838,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2017",42.411724,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2018",43.793833,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2019",40.403563,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2020",35.760185,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2021",35.916403,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2017",311.212725,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2018",300.23205,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2019",293.739197,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2020",260.942652,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2021",286.5430592,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2017",718.794174,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2018",694.540151,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2019",645.403512,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2020",589.990545,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","2021",621.9913764,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2017",63.110531,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2018",61.602208,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2019",56.630294,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2020",48.024165,
"GRC","AIREMISSION","CO2","MLN_TONNE","A","2021",48.4474078,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2017",48.666725,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2018",48.321057,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2019",46.238767,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2020",43.840533,
"HUN","AIREMISSION","CO2","MLN_TONNE","A","2021",45.9978491,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2017",1.670967,
"ISL","AIREMISSION","CO2","MLN_TONNE","A","2018",1.699303,
