"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2017",22.392,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2018",22.115,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2019",21.533,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2020",20.536,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2017",9.3,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2018",8.889,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2019",8.982,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2020",8.253,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2017",10.318,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2018",10.312,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2019",10.159,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2020",9.249,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2017",19.839,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2018",19.965,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2019",19.639,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2020",17.691,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","2017",12.329,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","2018",12.114,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","2019",11.519,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","2020",10.541,
"DNK","AIREMISSION","GHG","TONNE_CAP","A","2017",8.686,
"DNK","AIREMISSION","GHG","TONNE_CAP","A","2018",8.629,
"DNK","AIREMISSION","GHG","TONNE_CAP","A","2019",7.936,
"DNK","AIREMISSION","GHG","TONNE_CAP","A","2020",7.46,
"FIN","AIREMISSION","GHG","TONNE_CAP","A","2017",9.995,
"FIN","AIREMISSION","GHG","TONNE_CAP","A","2018",10.176,
"FIN","AIREMISSION","GHG","TONNE_CAP","A","2019",9.551,
"FIN","AIREMISSION","GHG","TONNE_CAP","A","2020",8.629,
"FRA","AIREMISSION","GHG","TONNE_CAP","A","2017",7.023,
"FRA","AIREMISSION","GHG","TONNE_CAP","A","2018",6.721,
"FRA","AIREMISSION","GHG","TONNE_CAP","A","2019",6.568,
"FRA","AIREMISSION","GHG","TONNE_CAP","A","2020",5.931,
"DEU","AIREMISSION","GHG","TONNE_CAP","A","2017",10.716,
"DEU","AIREMISSION","GHG","TONNE_CAP","A","2018",10.259,
"DEU","AIREMISSION","GHG","TONNE_CAP","A","2019",9.625,
"DEU","AIREMISSION","GHG","TONNE_CAP","A","2020",8.763,
"GRC","AIREMISSION","GHG","TONNE_CAP","A","2017",8.889,
"GRC","AIREMISSION","GHG","TONNE_CAP","A","2018",8.601,
"GRC","AIREMISSION","GHG","TONNE_CAP","A","2019",7.984,
"GRC","AIREMISSION","GHG","TONNE_CAP","A","2020",6.989,
"HUN","AIREMISSION","GHG","TONNE_CAP","A","2017",6.613,
"HUN","AIREMISSION","GHG","TONNE_CAP","A","2018",6.624,
"HUN","AIREMISSION","GHG","TONNE_CAP","A","2019",6.609,
"HUN","AIREMISSION","GHG","TONNE_CAP","A","2020",6.443,
"ISL","AIREMISSION","GHG","TONNE_CAP","A","2017",13.911,
"ISL","AIREMISSION","GHG","TONNE_CAP","A","2018",13.742,
"ISL","AIREMISSION","GHG","TONNE_CAP","A","2019",13.071,
"ISL","AIREMISSION","GHG","TONNE_CAP","A","2020",12.306,
"IRL","AIREMISSION","GHG","TONNE_CAP","A","2017",12.951,
"IRL","AIREMISSION","GHG","TONNE_CAP","A","2018",12.838,
"IRL","AIREMISSION","GHG","TONNE_CAP","A","2019",12.162,
"IRL","AIREMISSION","GHG","TONNE_CAP","A","2020",11.596,
"ITA","AIREMISSION","GHG","TONNE_CAP","A","2017",7.224,
"ITA","AIREMISSION","GHG","TONNE_CAP","A","2018",7.175,
"ITA","AIREMISSION","GHG","TONNE_CAP","A","2019",7.004,
"ITA","AIREMISSION","GHG","TONNE_CAP","A","2020",6.413,
"JPN","AIREMISSION","GHG","TONNE_CAP","A","2017",10.177,
"JPN","AIREMISSION","GHG","TONNE_CAP","A","2018",9.851,
"JPN","AIREMISSION","GHG","TONNE_CAP","A","2019",9.592,
"JPN","AIREMISSION","GHG","TONNE_CAP","A","2020",9.133,
"KOR","AIREMISSION","GHG","TONNE_CAP","A","2017",13.838,
"KOR","AIREMISSION","GHG","TONNE_CAP","A","2018",14.088,
"KOR","AIREMISSION","GHG","TONNE_CAP","A","2019",13.564,
"LUX","AIREMISSION","GHG","TONNE_CAP","A","2017",17.208,
"LUX","AIREMISSION","GHG","TONNE_CAP","A","2018",17.372,
"LUX","AIREMISSION","GHG","TONNE_CAP","A","2019",17.311,
"LUX","AIREMISSION","GHG","TONNE_CAP","A","2020",14.379,
"MEX","AIREMISSION","GHG","TONNE_CAP","A","2017",6.104,
"MEX","AIREMISSION","GHG","TONNE_CAP","A","2018",6.109,
"MEX","AIREMISSION","GHG","TONNE_CAP","A","2019",5.82,
"NLD","AIREMISSION","GHG","TONNE_CAP","A","2017",11.124,
"NLD","AIREMISSION","GHG","TONNE_CAP","A","2018",10.771,
"NLD","AIREMISSION","GHG","TONNE_CAP","A","2019",10.368,
"NLD","AIREMISSION","GHG","TONNE_CAP","A","2020",9.398,
"NZL","AIREMISSION","GHG","TONNE_CAP","A","2017",16.597,
"NZL","AIREMISSION","GHG","TONNE_CAP","A","2018",16.341,
"NZL","AIREMISSION","GHG","TONNE_CAP","A","2019",16.392,
"NZL","AIREMISSION","GHG","TONNE_CAP","A","2020",15.466,
"NOR","AIREMISSION","GHG","TONNE_CAP","A","2017",10.013,
"NOR","AIREMISSION","GHG","TONNE_CAP","A","2018",9.953,
"NOR","AIREMISSION","GHG","TONNE_CAP","A","2019",9.553,
"NOR","AIREMISSION","GHG","TONNE_CAP","A","2020",9.159,
"POL","AIREMISSION","GHG","TONNE_CAP","A","2017",10.785,
"POL","AIREMISSION","GHG","TONNE_CAP","A","2018",10.755,
"POL","AIREMISSION","GHG","TONNE_CAP","A","2019",10.174,
"POL","AIREMISSION","GHG","TONNE_CAP","A","2020",9.804,
"PRT","AIREMISSION","GHG","TONNE_CAP","A","2017",6.87,
"PRT","AIREMISSION","GHG","TONNE_CAP","A","2018",6.524,
"PRT","AIREMISSION","GHG","TONNE_CAP","A","2019",6.17,
"PRT","AIREMISSION","GHG","TONNE_CAP","A","2020",5.58,
"SVK","AIREMISSION","GHG","TONNE_CAP","A","2017",7.761,
"SVK","AIREMISSION","GHG","TONNE_CAP","A","2018",7.726,
"SVK","AIREMISSION","GHG","TONNE_CAP","A","2019",7.293,
"SVK","AIREMISSION","GHG","TONNE_CAP","A","2020",6.779,
"ESP","AIREMISSION","GHG","TONNE_CAP","A","2017",7.282,
"ESP","AIREMISSION","GHG","TONNE_CAP","A","2018",7.132,
"ESP","AIREMISSION","GHG","TONNE_CAP","A","2019",6.662,
"ESP","AIREMISSION","GHG","TONNE_CAP","A","2020",5.802,
"SWE","AIREMISSION","GHG","TONNE_CAP","A","2017",5.28,
"SWE","AIREMISSION","GHG","TONNE_CAP","A","2018",5.125,
"SWE","AIREMISSION","GHG","TONNE_CAP","A","2019",4.943,
"SWE","AIREMISSION","GHG","TONNE_CAP","A","2020",4.47,
"CHE","AIREMISSION","GHG","TONNE_CAP","A","2017",5.65,
"CHE","AIREMISSION","GHG","TONNE_CAP","A","2018",5.433,
"CHE","AIREMISSION","GHG","TONNE_CAP","A","2019",5.361,
"CHE","AIREMISSION","GHG","TONNE_CAP","A","2020",5.013,
"TUR","AIREMISSION","GHG","TONNE_CAP","A","2017",6.578,
"TUR","AIREMISSION","GHG","TONNE_CAP","A","2018",6.437,
"TUR","AIREMISSION","GHG","TONNE_CAP","A","2019",6.153,
"TUR","AIREMISSION","GHG","TONNE_CAP","A","2020",6.283,
"GBR","AIREMISSION","GHG","TONNE_CAP","A","2017",7.164,
"GBR","AIREMISSION","GHG","TONNE_CAP","A","2018",6.989,
"GBR","AIREMISSION","GHG","TONNE_CAP","A","2019",6.713,
"GBR","AIREMISSION","GHG","TONNE_CAP","A","2020",6.049,
"USA","AIREMISSION","GHG","TONNE_CAP","A","2017",19.995,
"USA","AIREMISSION","GHG","TONNE_CAP","A","2018",20.461,
"USA","AIREMISSION","GHG","TONNE_CAP","A","2019",20.016,
"USA","AIREMISSION","GHG","TONNE_CAP","A","2020",18.154,
"CHL","AIREMISSION","GHG","TONNE_CAP","A","2017",6.038,
"CHL","AIREMISSION","GHG","TONNE_CAP","A","2018",5.99,
"EST","AIREMISSION","GHG","TONNE_CAP","A","2017",15.914,
"EST","AIREMISSION","GHG","TONNE_CAP","A","2018",15.224,
"EST","AIREMISSION","GHG","TONNE_CAP","A","2019",11.031,
"EST","AIREMISSION","GHG","TONNE_CAP","A","2020",8.692,
"ISR","AIREMISSION","GHG","TONNE_CAP","A","2017",8.942,
"ISR","AIREMISSION","GHG","TONNE_CAP","A","2018",8.836,
"ISR","AIREMISSION","GHG","TONNE_CAP","A","2019",8.765,
"SVN","AIREMISSION","GHG","TONNE_CAP","A","2017",8.58,
"SVN","AIREMISSION","GHG","TONNE_CAP","A","2018",8.48,
"SVN","AIREMISSION","GHG","TONNE_CAP","A","2019",8.172,
"SVN","AIREMISSION","GHG","TONNE_CAP","A","2020",7.548,
"OECD","AIREMISSION","GHG","TONNE_CAP","A","2017",11.666,
"OECD","AIREMISSION","GHG","TONNE_CAP","A","2018",11.674,
"OECD","AIREMISSION","GHG","TONNE_CAP","A","2019",11.318,
"OECD","AIREMISSION","GHG","TONNE_CAP","A","2020",10.498,
"RUS","AIREMISSION","GHG","TONNE_CAP","A","2017",14.098,
"RUS","AIREMISSION","GHG","TONNE_CAP","A","2018",14.525,
"RUS","AIREMISSION","GHG","TONNE_CAP","A","2019",14.464,
"RUS","AIREMISSION","GHG","TONNE_CAP","A","2020",14.007,
"OECDE","AIREMISSION","GHG","TONNE_CAP","A","2017",8.263,
"OECDE","AIREMISSION","GHG","TONNE_CAP","A","2018",8.061,
"OECDE","AIREMISSION","GHG","TONNE_CAP","A","2019",7.699,
"OECDE","AIREMISSION","GHG","TONNE_CAP","A","2020",7.126,
"COL","AIREMISSION","GHG","TONNE_CAP","A","2017",3.47,
"COL","AIREMISSION","GHG","TONNE_CAP","A","2018",3.627,
"LVA","AIREMISSION","GHG","TONNE_CAP","A","2017",5.526,
"LVA","AIREMISSION","GHG","TONNE_CAP","A","2018",5.83,
"LVA","AIREMISSION","GHG","TONNE_CAP","A","2019",5.802,
"LVA","AIREMISSION","GHG","TONNE_CAP","A","2020",5.497,
"LTU","AIREMISSION","GHG","TONNE_CAP","A","2017",7.215,
"LTU","AIREMISSION","GHG","TONNE_CAP","A","2018",7.196,
"LTU","AIREMISSION","GHG","TONNE_CAP","A","2019",7.378,
"LTU","AIREMISSION","GHG","TONNE_CAP","A","2020",7.414,
"CRI","AIREMISSION","GHG","TONNE_CAP","A","2017",2.926,
"CYP","AIREMISSION","GHG","TONNE_CAP","A","2017",10.467,
"CYP","AIREMISSION","GHG","TONNE_CAP","A","2018",10.181,
"CYP","AIREMISSION","GHG","TONNE_CAP","A","2019",10.091,
"CYP","AIREMISSION","GHG","TONNE_CAP","A","2020",9.936,
"EU27_2020","AIREMISSION","GHG","TONNE_CAP","A","2017",8.647,
"EU27_2020","AIREMISSION","GHG","TONNE_CAP","A","2018",8.447,
"EU27_2020","AIREMISSION","GHG","TONNE_CAP","A","2019",8.077,
"EU27_2020","AIREMISSION","GHG","TONNE_CAP","A","2020",7.395,
