"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",33206.18,
"AUS","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",32939.3,
"AUS","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",32599.47,
"AUS","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",29481.11,
"CAN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",153964,"E"
"CAN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",156601,
"CAN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",142169,
"CZE","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",21487,
"CZE","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",28471,
"CZE","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",36115,
"CZE","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",39626,
"DNK","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",4270.782,
"DNK","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",4281,
"DNK","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",3838,
"DNK","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",4014,
"FIN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",81588.45,
"FIN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",88072.45,
"FIN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",82386.45,
"FIN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",77888.45,
"FRA","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",52687.473,
"DEU","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",84628,
"DEU","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",97053,
"DEU","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",100362.1,
"HUN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",7576,
"HUN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",7767,
"HUN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",7315,
"HUN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",6580,
"ISL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",5.6,
"ISL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",5.5,
"ISL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",2,
"ISL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",1,
"IRL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",3896.2,
"IRL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",4053.5,
"IRL","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",4378.5,
"JPN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",48051,
"JPN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",47630,
"JPN","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",48390,
"KOR","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",6750,
"KOR","FORESTRESOURCE","TREEFELLING","THND_M3","A","2018",5462,
"KOR","FORESTRESOURCE","TREEFELLING","THND_M3","A","2019",5184,
"KOR","FORESTRESOURCE","TREEFELLING","THND_M3","A","2020",5457,
"LUX","FORESTRESOURCE","TREEFELLING","THND_M3","A","2017",432,
