"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","KG_CAP","A","2017",512.733,
"AUS","WASTEMUN","TOT","KG_CAP","A","2018",507.728,
"AUS","WASTEMUN","TOT","KG_CAP","A","2019",498.815,
"AUT","WASTEMUN","TOT","KG_CAP","A","2017",568.895,
"AUT","WASTEMUN","TOT","KG_CAP","A","2018",575.726,
"AUT","WASTEMUN","TOT","KG_CAP","A","2019",582.939,
"BEL","WASTEMUN","TOT","KG_CAP","A","2017",409.104,
"BEL","WASTEMUN","TOT","KG_CAP","A","2018",407.36,
"BEL","WASTEMUN","TOT","KG_CAP","A","2019",414.178,
"BEL","WASTEMUN","TOT","KG_CAP","A","2020",414.152,
"CZE","WASTEMUN","TOT","KG_CAP","A","2017",486.467,
"CZE","WASTEMUN","TOT","KG_CAP","A","2018",492.013,
"CZE","WASTEMUN","TOT","KG_CAP","A","2019",499.337,
"CZE","WASTEMUN","TOT","KG_CAP","A","2020",506.002,
"DNK","WASTEMUN","TOT","KG_CAP","A","2017",824.803,
"DNK","WASTEMUN","TOT","KG_CAP","A","2018",819.696,
"DNK","WASTEMUN","TOT","KG_CAP","A","2019",850.238,
"DNK","WASTEMUN","TOT","KG_CAP","A","2020",850.546,
"FIN","WASTEMUN","TOT","KG_CAP","A","2017",510.144,
"FIN","WASTEMUN","TOT","KG_CAP","A","2018",550.663,
"FIN","WASTEMUN","TOT","KG_CAP","A","2019",564.465,
"FIN","WASTEMUN","TOT","KG_CAP","A","2020",594.897,
"FRA","WASTEMUN","TOT","KG_CAP","A","2017",534.764,
"FRA","WASTEMUN","TOT","KG_CAP","A","2018",534.545,
"FRA","WASTEMUN","TOT","KG_CAP","A","2019",555.796,
"FRA","WASTEMUN","TOT","KG_CAP","A","2020",536.11,
"DEU","WASTEMUN","TOT","KG_CAP","A","2017",626.555,
"DEU","WASTEMUN","TOT","KG_CAP","A","2018",604.636,
"DEU","WASTEMUN","TOT","KG_CAP","A","2019",606.005,
"DEU","WASTEMUN","TOT","KG_CAP","A","2020",627.411,
"GRC","WASTEMUN","TOT","KG_CAP","A","2017",512.326,
"GRC","WASTEMUN","TOT","KG_CAP","A","2018",524.888,
"GRC","WASTEMUN","TOT","KG_CAP","A","2019",535.944,
"HUN","WASTEMUN","TOT","KG_CAP","A","2017",387.263,
"HUN","WASTEMUN","TOT","KG_CAP","A","2018",384.136,
"HUN","WASTEMUN","TOT","KG_CAP","A","2019",390.307,
"HUN","WASTEMUN","TOT","KG_CAP","A","2020",367.003,
"ISL","WASTEMUN","TOT","KG_CAP","A","2017",673.914,
"ISL","WASTEMUN","TOT","KG_CAP","A","2018",735.054,
