"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","M3CAP","A","2017",675.9197,
"AUS","WATERABST","TOT","M3CAP","A","2018",702.6254,
"AUS","WATERABST","TOT","M3CAP","A","2019",607.6276,
"AUS","WATERABST","TOT","M3CAP","A","2020",522.6995,
"BEL","WATERABST","TOT","M3CAP","A","2017",392.3933,
"BEL","WATERABST","TOT","M3CAP","A","2018",366.2627,
"CZE","WATERABST","TOT","M3CAP","A","2017",153.9635,
"CZE","WATERABST","TOT","M3CAP","A","2018",149.7304,
"CZE","WATERABST","TOT","M3CAP","A","2019",141.1805,
"CZE","WATERABST","TOT","M3CAP","A","2020",127.6524,
"DNK","WATERABST","TOT","M3CAP","A","2017",155.5004,
"DNK","WATERABST","TOT","M3CAP","A","2018",190.9893,
"DNK","WATERABST","TOT","M3CAP","A","2019",162.6273,
"DNK","WATERABST","TOT","M3CAP","A","2020",167.6178,
"FRA","WATERABST","TOT","M3CAP","A","2017",403.8385,
"FRA","WATERABST","TOT","M3CAP","A","2018",401.4196,
"FRA","WATERABST","TOT","M3CAP","A","2019",390.8625,
"GRC","WATERABST","TOT","M3CAP","A","2017",942.2767,
"GRC","WATERABST","TOT","M3CAP","A","2018",943.1566,
"GRC","WATERABST","TOT","M3CAP","A","2019",943.4439,
"GRC","WATERABST","TOT","M3CAP","A","2020",945.2839,
"HUN","WATERABST","TOT","M3CAP","A","2017",459.6362,
"HUN","WATERABST","TOT","M3CAP","A","2018",432.9453,
"JPN","WATERABST","TOT","M3CAP","A","2017",626.1414,
"JPN","WATERABST","TOT","M3CAP","A","2018",625.1899,
"KOR","WATERABST","TOT","M3CAP","A","2017",455.9643,
"KOR","WATERABST","TOT","M3CAP","A","2018",439.804,
"KOR","WATERABST","TOT","M3CAP","A","2019",461.8123,
"LUX","WATERABST","TOT","M3CAP","A","2017",76.38299,
"LUX","WATERABST","TOT","M3CAP","A","2018",85.87877,
"LUX","WATERABST","TOT","M3CAP","A","2019",79.49962,
"LUX","WATERABST","TOT","M3CAP","A","2020",75.72813,
"MEX","WATERABST","TOT","M3CAP","A","2017",708.161,
"MEX","WATERABST","TOT","M3CAP","A","2018",708.859,
"MEX","WATERABST","TOT","M3CAP","A","2019",705.8964,
"MEX","WATERABST","TOT","M3CAP","A","2020",700.7291,
"NLD","WATERABST","TOT","M3CAP","A","2017",462.0071,
"NLD","WATERABST","TOT","M3CAP","A","2018",469.4967,
"NLD","WATERABST","TOT","M3CAP","A","2019",484.4889,
"POL","WATERABST","TOT","M3CAP","A","2017",277.2341,
"POL","WATERABST","TOT","M3CAP","A","2018",269.0139,
"POL","WATERABST","TOT","M3CAP","A","2019",254.3138,
"POL","WATERABST","TOT","M3CAP","A","2020",238.9722,
"PRT","WATERABST","TOT","M3CAP","A","2017",465.4115,
"SVK","WATERABST","TOT","M3CAP","A","2017",106.3753,
"SVK","WATERABST","TOT","M3CAP","A","2018",105.2183,
"SVK","WATERABST","TOT","M3CAP","A","2019",106.5611,
"SVK","WATERABST","TOT","M3CAP","A","2020",105.4073,
"ESP","WATERABST","TOT","M3CAP","A","2017",649.6956,
"ESP","WATERABST","TOT","M3CAP","A","2018",633.3501,
"TUR","WATERABST","TOT","M3CAP","A","2018",750.4689,
"EST","WATERABST","TOT","M3CAP","A","2017",1357.653,
"EST","WATERABST","TOT","M3CAP","A","2018",1214.234,
"EST","WATERABST","TOT","M3CAP","A","2019",756.9606,
"EST","WATERABST","TOT","M3CAP","A","2020",637.8677,
"ISR","WATERABST","TOT","M3CAP","A","2017",137.8358,
"ISR","WATERABST","TOT","M3CAP","A","2018",125.1863,
"ISR","WATERABST","TOT","M3CAP","A","2019",128.562,
"ISR","WATERABST","TOT","M3CAP","A","2020",138.4684,
"SVN","WATERABST","TOT","M3CAP","A","2017",449.9165,
"SVN","WATERABST","TOT","M3CAP","A","2018",462.5057,
"SVN","WATERABST","TOT","M3CAP","A","2019",451.3739,
"SVN","WATERABST","TOT","M3CAP","A","2020",477.062,
"OECD","WATERABST","TOT","M3CAP","A","2017",704.2045,
"OECD","WATERABST","TOT","M3CAP","A","2018",700.8985,
"OECD","WATERABST","TOT","M3CAP","A","2019",695.7195,
"OECD","WATERABST","TOT","M3CAP","A","2020",691.2675,
"BRA","WATERABST","TOT","M3CAP","A","2017",319.3032,
"CHN","WATERABST","TOT","M3CAP","A","2017",419.5714,
"CHN","WATERABST","TOT","M3CAP","A","2018",415.3055,
"CHN","WATERABST","TOT","M3CAP","A","2019",412.6634,
"LVA","WATERABST","TOT","M3CAP","A","2017",93.17301,
"LVA","WATERABST","TOT","M3CAP","A","2018",95.07049,
"LVA","WATERABST","TOT","M3CAP","A","2019",93.25351,
"LVA","WATERABST","TOT","M3CAP","A","2020",95.25175,
"OECDE","WATERABST","TOT","M3CAP","A","2017",449.3826,
"OECDE","WATERABST","TOT","M3CAP","A","2018",446.7672,
"OECDE","WATERABST","TOT","M3CAP","A","2019",441.637,
"OECDE","WATERABST","TOT","M3CAP","A","2020",439.2079,
"RUS","WATERABST","TOT","M3CAP","A","2017",426.6342,
"RUS","WATERABST","TOT","M3CAP","A","2018",429.9309,
"RUS","WATERABST","TOT","M3CAP","A","2019",429.027,
"LTU","WATERABST","TOT","M3CAP","A","2017",102.4872,
"LTU","WATERABST","TOT","M3CAP","A","2018",102.0831,
"LTU","WATERABST","TOT","M3CAP","A","2019",102.2285,
"LTU","WATERABST","TOT","M3CAP","A","2020",147.1837,
"CRI","WATERABST","TOT","M3CAP","A","2017",572.6419,
"CRI","WATERABST","TOT","M3CAP","A","2018",610.2928,
"CRI","WATERABST","TOT","M3CAP","A","2019",620.6219,
"CRI","WATERABST","TOT","M3CAP","A","2020",613.5656,
