"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGNLEND","TOT","PC_GDP","A","2017",-1.21038621322183,
"AUS","GGNLEND","TOT","PC_GDP","A","2018",-1.38363403511638,
"AUS","GGNLEND","TOT","PC_GDP","A","2019",-7.01399515325054,
"AUS","GGNLEND","TOT","PC_GDP","A","2020",-9.16219280827564,
"AUS","GGNLEND","TOT","PC_GDP","A","2021",-4.27010923535253,
"AUT","GGNLEND","TOT","PC_GDP","A","2017",-0.816118350278008,
"AUT","GGNLEND","TOT","PC_GDP","A","2018",0.170146401487834,
"AUT","GGNLEND","TOT","PC_GDP","A","2019",0.610817234373008,
"AUT","GGNLEND","TOT","PC_GDP","A","2020",-8.00884720254813,
"AUT","GGNLEND","TOT","PC_GDP","A","2021",-5.92955037868276,
"BEL","GGNLEND","TOT","PC_GDP","A","2017",-0.683833123506769,
"BEL","GGNLEND","TOT","PC_GDP","A","2018",-0.869860458888453,
"BEL","GGNLEND","TOT","PC_GDP","A","2019",-1.94336094600382,
"BEL","GGNLEND","TOT","PC_GDP","A","2020",-8.97273600922783,"E"
"BEL","GGNLEND","TOT","PC_GDP","A","2021",-5.5606320857412,"E"
"CAN","GGNLEND","TOT","PC_GDP","A","2017",-0.112162665295115,
"CAN","GGNLEND","TOT","PC_GDP","A","2018",0.351654380127359,
"CAN","GGNLEND","TOT","PC_GDP","A","2019",0.004327670432317,
"CAN","GGNLEND","TOT","PC_GDP","A","2020",-11.3604354611549,
"CAN","GGNLEND","TOT","PC_GDP","A","2021",-5.03908943339875,
"CZE","GGNLEND","TOT","PC_GDP","A","2017",1.50140595995533,
"CZE","GGNLEND","TOT","PC_GDP","A","2018",0.892517706843825,
"CZE","GGNLEND","TOT","PC_GDP","A","2019",0.288509121474271,
"CZE","GGNLEND","TOT","PC_GDP","A","2020",-5.76648179906889,
"CZE","GGNLEND","TOT","PC_GDP","A","2021",-5.09987184918935,
"DNK","GGNLEND","TOT","PC_GDP","A","2017",1.78626148968858,
"DNK","GGNLEND","TOT","PC_GDP","A","2018",0.760390380516002,
"DNK","GGNLEND","TOT","PC_GDP","A","2019",4.13162553217965,
"DNK","GGNLEND","TOT","PC_GDP","A","2020",0.214895583223667,
"DNK","GGNLEND","TOT","PC_GDP","A","2021",3.63404719170736,
"FIN","GGNLEND","TOT","PC_GDP","A","2017",-0.653996226265019,
"FIN","GGNLEND","TOT","PC_GDP","A","2018",-0.854528788410962,
"FIN","GGNLEND","TOT","PC_GDP","A","2019",-0.948477849394225,
"FIN","GGNLEND","TOT","PC_GDP","A","2020",-5.52631247295657,
"FIN","GGNLEND","TOT","PC_GDP","A","2021",-2.68929493529381,
"FRA","GGNLEND","TOT","PC_GDP","A","2017",-2.95841709319262,
"FRA","GGNLEND","TOT","PC_GDP","A","2018",-2.28895454080005,
"FRA","GGNLEND","TOT","PC_GDP","A","2019",-3.06465077831587,"E"
"FRA","GGNLEND","TOT","PC_GDP","A","2020",-8.9909451284566,"E"
"FRA","GGNLEND","TOT","PC_GDP","A","2021",-6.5307273068972,"E"
"DEU","GGNLEND","TOT","PC_GDP","A","2017",1.33608393834401,
"DEU","GGNLEND","TOT","PC_GDP","A","2018",1.94990268760493,
