"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",8.82,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",8.86,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",9.29,
"AUS","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",9.28,
"AUS","GGCOST","GSUSE","PC_GDP","A","2017",11.67,
"AUS","GGCOST","GSUSE","PC_GDP","A","2018",11.94,
"AUS","GGCOST","GSUSE","PC_GDP","A","2019",12.73,
"AUS","GGCOST","GSUSE","PC_GDP","A","2020",13.17,
"AUS","GGCOST","TOT","PC_GDP","A","2017",22.59,
"AUS","GGCOST","TOT","PC_GDP","A","2018",22.93,
"AUS","GGCOST","TOT","PC_GDP","A","2019",24.21,
"AUS","GGCOST","TOT","PC_GDP","A","2020",24.6,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",10.59,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",10.47,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",10.53,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",11.36,
"AUT","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",11.01,
"AUT","GGCOST","GSUSE","PC_GDP","A","2017",10.15,
"AUT","GGCOST","GSUSE","PC_GDP","A","2018",10.14,
"AUT","GGCOST","GSUSE","PC_GDP","A","2019",10.29,
"AUT","GGCOST","GSUSE","PC_GDP","A","2020",11.04,
"AUT","GGCOST","GSUSE","PC_GDP","A","2021",11.95,
"AUT","GGCOST","TOT","PC_GDP","A","2017",23.71,
"AUT","GGCOST","TOT","PC_GDP","A","2018",23.58,
"AUT","GGCOST","TOT","PC_GDP","A","2019",23.79,
"AUT","GGCOST","TOT","PC_GDP","A","2020",25.58,
"AUT","GGCOST","TOT","PC_GDP","A","2021",26.13,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",12.43,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",12.36,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",12.28,
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",13.24,"P"
"BEL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",12.29,"P"
"BEL","GGCOST","GSUSE","PC_GDP","A","2017",11.68,
"BEL","GGCOST","GSUSE","PC_GDP","A","2018",11.87,
"BEL","GGCOST","GSUSE","PC_GDP","A","2019",11.82,
"BEL","GGCOST","GSUSE","PC_GDP","A","2020",12.41,"P"
"BEL","GGCOST","GSUSE","PC_GDP","A","2021",12.28,"P"
"BEL","GGCOST","TOT","PC_GDP","A","2017",26.17,
"BEL","GGCOST","TOT","PC_GDP","A","2018",26.28,
"BEL","GGCOST","TOT","PC_GDP","A","2019",26.14,
"BEL","GGCOST","TOT","PC_GDP","A","2020",27.79,"P"
"BEL","GGCOST","TOT","PC_GDP","A","2021",26.58,"P"
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",12.39,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",12.39,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",12.42,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",13.34,
"CAN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",12.73,
"CAN","GGCOST","GSUSE","PC_GDP","A","2017",9.54,
"CAN","GGCOST","GSUSE","PC_GDP","A","2018",9.62,
"CAN","GGCOST","GSUSE","PC_GDP","A","2019",9.54,
"CAN","GGCOST","GSUSE","PC_GDP","A","2020",10.41,
"CAN","GGCOST","GSUSE","PC_GDP","A","2021",9.96,
"CAN","GGCOST","TOT","PC_GDP","A","2017",25.37,
"CAN","GGCOST","TOT","PC_GDP","A","2018",25.45,
"CAN","GGCOST","TOT","PC_GDP","A","2019",25.42,
"CAN","GGCOST","TOT","PC_GDP","A","2020",27.47,
"CAN","GGCOST","TOT","PC_GDP","A","2021",26.19,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",9.04,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",9.63,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",9.94,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",11.12,
"CZE","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",11.05,
"CZE","GGCOST","GSUSE","PC_GDP","A","2017",8.78,
"CZE","GGCOST","GSUSE","PC_GDP","A","2018",8.97,
"CZE","GGCOST","GSUSE","PC_GDP","A","2019",8.91,
"CZE","GGCOST","GSUSE","PC_GDP","A","2020",9.67,
"CZE","GGCOST","GSUSE","PC_GDP","A","2021",9.5,
"CZE","GGCOST","TOT","PC_GDP","A","2017",21.79,
"CZE","GGCOST","TOT","PC_GDP","A","2018",22.49,
"CZE","GGCOST","TOT","PC_GDP","A","2019",22.68,
"CZE","GGCOST","TOT","PC_GDP","A","2020",24.88,
"CZE","GGCOST","TOT","PC_GDP","A","2021",24.56,
"DNK","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",15.17,
"DNK","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",15.11,
"DNK","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",15.03,
"DNK","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",15.35,
"DNK","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",14.96,
"DNK","GGCOST","GSUSE","PC_GDP","A","2017",10.13,
"DNK","GGCOST","GSUSE","PC_GDP","A","2018",10.08,
"DNK","GGCOST","GSUSE","PC_GDP","A","2019",9.91,
"DNK","GGCOST","GSUSE","PC_GDP","A","2020",10.26,
"DNK","GGCOST","GSUSE","PC_GDP","A","2021",10.4,
"DNK","GGCOST","TOT","PC_GDP","A","2017",27.92,
"DNK","GGCOST","TOT","PC_GDP","A","2018",27.81,
"DNK","GGCOST","TOT","PC_GDP","A","2019",27.54,
"DNK","GGCOST","TOT","PC_GDP","A","2020",28.19,
"DNK","GGCOST","TOT","PC_GDP","A","2021",27.78,
"FIN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",12.4,
"FIN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",12.4,
"FIN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",12.48,
"FIN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",12.8,
"FIN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",12.58,
"FIN","GGCOST","GSUSE","PC_GDP","A","2017",13.55,
"FIN","GGCOST","GSUSE","PC_GDP","A","2018",13.59,
"FIN","GGCOST","GSUSE","PC_GDP","A","2019",13.63,
"FIN","GGCOST","GSUSE","PC_GDP","A","2020",14.36,
"FIN","GGCOST","GSUSE","PC_GDP","A","2021",14.43,
"FIN","GGCOST","TOT","PC_GDP","A","2017",29.37,
"FIN","GGCOST","TOT","PC_GDP","A","2018",29.43,
"FIN","GGCOST","TOT","PC_GDP","A","2019",29.64,
"FIN","GGCOST","TOT","PC_GDP","A","2020",30.81,
"FIN","GGCOST","TOT","PC_GDP","A","2021",30.48,
"FRA","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",12.66,
"FRA","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",12.44,
"FRA","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",12.2,
"FRA","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",13.21,"P"
"FRA","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",12.58,"P"
"FRA","GGCOST","GSUSE","PC_GDP","A","2017",11.09,
"FRA","GGCOST","GSUSE","PC_GDP","A","2018",10.91,
"FRA","GGCOST","GSUSE","PC_GDP","A","2019",10.82,
"FRA","GGCOST","GSUSE","PC_GDP","A","2020",11.59,"P"
"FRA","GGCOST","GSUSE","PC_GDP","A","2021",11.73,"P"
"FRA","GGCOST","TOT","PC_GDP","A","2017",27.37,
"FRA","GGCOST","TOT","PC_GDP","A","2018",26.98,
"FRA","GGCOST","TOT","PC_GDP","A","2019",26.64,
"FRA","GGCOST","TOT","PC_GDP","A","2020",28.69,"P"
"FRA","GGCOST","TOT","PC_GDP","A","2021",27.93,"P"
"DEU","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",7.67,
"DEU","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",7.73,"P"
"DEU","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",7.85,"P"
"DEU","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",8.44,"P"
"DEU","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",8.24,"P"
"DEU","GGCOST","GSUSE","PC_GDP","A","2017",13.7,
"DEU","GGCOST","GSUSE","PC_GDP","A","2018",13.71,"P"
"DEU","GGCOST","GSUSE","PC_GDP","A","2019",13.94,"P"
"DEU","GGCOST","GSUSE","PC_GDP","A","2020",15.44,"P"
"DEU","GGCOST","GSUSE","PC_GDP","A","2021",15.68,"P"
"DEU","GGCOST","TOT","PC_GDP","A","2017",23.56,
"DEU","GGCOST","TOT","PC_GDP","A","2018",23.67,"P"
"DEU","GGCOST","TOT","PC_GDP","A","2019",24.08,"P"
"DEU","GGCOST","TOT","PC_GDP","A","2020",26.32,"P"
"DEU","GGCOST","TOT","PC_GDP","A","2021",26.38,"P"
"GRC","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",12.16,
"GRC","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",12.1,
"GRC","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",11.95,
"GRC","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",13.47,
"GRC","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",12.32,
"GRC","GGCOST","GSUSE","PC_GDP","A","2017",7.64,
"GRC","GGCOST","GSUSE","PC_GDP","A","2018",7.05,
"GRC","GGCOST","GSUSE","PC_GDP","A","2019",7.45,
"GRC","GGCOST","GSUSE","PC_GDP","A","2020",8.57,
"GRC","GGCOST","GSUSE","PC_GDP","A","2021",8.5,
"GRC","GGCOST","TOT","PC_GDP","A","2017",23.58,
"GRC","GGCOST","TOT","PC_GDP","A","2018",22.9,
"GRC","GGCOST","TOT","PC_GDP","A","2019",23.03,
"GRC","GGCOST","TOT","PC_GDP","A","2020",26.01,
"GRC","GGCOST","TOT","PC_GDP","A","2021",24.4,
"HUN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",10.76,
"HUN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",10.45,
"HUN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",10.26,
"HUN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2020",10.76,
"HUN","GGCOST","COMPEMPLOYEE","PC_GDP","A","2021",10.18,
"HUN","GGCOST","GSUSE","PC_GDP","A","2017",9.83,
"HUN","GGCOST","GSUSE","PC_GDP","A","2018",9.68,
"HUN","GGCOST","GSUSE","PC_GDP","A","2019",9.94,
"HUN","GGCOST","GSUSE","PC_GDP","A","2020",10.03,
"HUN","GGCOST","GSUSE","PC_GDP","A","2021",10.01,
"HUN","GGCOST","TOT","PC_GDP","A","2017",24.05,
"HUN","GGCOST","TOT","PC_GDP","A","2018",23.61,
"HUN","GGCOST","TOT","PC_GDP","A","2019",23.79,
"HUN","GGCOST","TOT","PC_GDP","A","2020",24.73,
"HUN","GGCOST","TOT","PC_GDP","A","2021",24,
"ISL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2017",14.12,
"ISL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2018",14.15,
"ISL","GGCOST","COMPEMPLOYEE","PC_GDP","A","2019",14.21,
