"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGREV","TOT","THND_USD_CAP","A","2017",18137.36,
"AUS","GGREV","TOT","THND_USD_CAP","A","2018",18747.51,
"AUS","GGREV","TOT","THND_USD_CAP","A","2019",18202.01,
"AUS","GGREV","TOT","THND_USD_CAP","A","2020",19425.65,
"AUT","GGREV","TOT","THND_USD_CAP","A","2017",26272.01,
"AUT","GGREV","TOT","THND_USD_CAP","A","2018",27867.35,
"AUT","GGREV","TOT","THND_USD_CAP","A","2019",28578.5,
"AUT","GGREV","TOT","THND_USD_CAP","A","2020",27260.24,
"AUT","GGREV","TOT","THND_USD_CAP","A","2021",29711.23,
"BEL","GGREV","TOT","THND_USD_CAP","A","2017",25900.65,
"BEL","GGREV","TOT","THND_USD_CAP","A","2018",26998.32,
"BEL","GGREV","TOT","THND_USD_CAP","A","2019",27104.34,
"BEL","GGREV","TOT","THND_USD_CAP","A","2020",26626.27,"P"
"BEL","GGREV","TOT","THND_USD_CAP","A","2021",29549.37,"P"
"CAN","GGREV","TOT","THND_USD_CAP","A","2017",19882.66,
"CAN","GGREV","TOT","THND_USD_CAP","A","2018",20902.88,
"CAN","GGREV","TOT","THND_USD_CAP","A","2019",20432.38,
"CAN","GGREV","TOT","THND_USD_CAP","A","2020",19795.21,
"CAN","GGREV","TOT","THND_USD_CAP","A","2021",21138.33,
"CZE","GGREV","TOT","THND_USD_CAP","A","2017",15724.18,
"CZE","GGREV","TOT","THND_USD_CAP","A","2018",17075.02,
"CZE","GGREV","TOT","THND_USD_CAP","A","2019",17721.73,
"CZE","GGREV","TOT","THND_USD_CAP","A","2020",17288.43,
"CZE","GGREV","TOT","THND_USD_CAP","A","2021",18200.32,
"DNK","GGREV","TOT","THND_USD_CAP","A","2017",28971.26,
"DNK","GGREV","TOT","THND_USD_CAP","A","2018",29491.93,
"DNK","GGREV","TOT","THND_USD_CAP","A","2019",31438.5,
"DNK","GGREV","TOT","THND_USD_CAP","A","2020",32081,
"DNK","GGREV","TOT","THND_USD_CAP","A","2021",35033.63,
"FIN","GGREV","TOT","THND_USD_CAP","A","2017",25202.87,
"FIN","GGREV","TOT","THND_USD_CAP","A","2018",26011.41,
"FIN","GGREV","TOT","THND_USD_CAP","A","2019",26338.63,
"FIN","GGREV","TOT","THND_USD_CAP","A","2020",26276.92,
"FIN","GGREV","TOT","THND_USD_CAP","A","2021",29184.49,
"FRA","GGREV","TOT","THND_USD_CAP","A","2017",23798.4,
"FRA","GGREV","TOT","THND_USD_CAP","A","2018",24743.89,
"FRA","GGREV","TOT","THND_USD_CAP","A","2019",25516.23,
"FRA","GGREV","TOT","THND_USD_CAP","A","2020",24595.28,"P"
"FRA","GGREV","TOT","THND_USD_CAP","A","2021",27096.77,"P"
"DEU","GGREV","TOT","THND_USD_CAP","A","2017",24153.48,
"DEU","GGREV","TOT","THND_USD_CAP","A","2018",25539.99,"P"
"DEU","GGREV","TOT","THND_USD_CAP","A","2019",25857.58,"P"
"DEU","GGREV","TOT","THND_USD_CAP","A","2020",25518.47,"P"
"DEU","GGREV","TOT","THND_USD_CAP","A","2021",28029.98,"P"
"GRC","GGREV","TOT","THND_USD_CAP","A","2017",14050.85,
"GRC","GGREV","TOT","THND_USD_CAP","A","2018",14648.46,
"GRC","GGREV","TOT","THND_USD_CAP","A","2019",14880.11,
"GRC","GGREV","TOT","THND_USD_CAP","A","2020",13897.77,
"GRC","GGREV","TOT","THND_USD_CAP","A","2021",15733.07,
"HUN","GGREV","TOT","THND_USD_CAP","A","2017",13054.6,
"HUN","GGREV","TOT","THND_USD_CAP","A","2018",14052.33,
"HUN","GGREV","TOT","THND_USD_CAP","A","2019",14706.32,
"HUN","GGREV","TOT","THND_USD_CAP","A","2020",14443.74,
"HUN","GGREV","TOT","THND_USD_CAP","A","2021",15348.38,
"ISL","GGREV","TOT","THND_USD_CAP","A","2017",25239.95,
"ISL","GGREV","TOT","THND_USD_CAP","A","2018",25603.52,
"ISL","GGREV","TOT","THND_USD_CAP","A","2019",24361.6,
"ISL","GGREV","TOT","THND_USD_CAP","A","2020",22450.07,
"ISL","GGREV","TOT","THND_USD_CAP","A","2021",23453.92,
"IRL","GGREV","TOT","THND_USD_CAP","A","2017",20165.46,
"IRL","GGREV","TOT","THND_USD_CAP","A","2018",21569.84,
"IRL","GGREV","TOT","THND_USD_CAP","A","2019",21601.36,
"IRL","GGREV","TOT","THND_USD_CAP","A","2020",20713.38,
"IRL","GGREV","TOT","THND_USD_CAP","A","2021",24914.18,
"ITA","GGREV","TOT","THND_USD_CAP","A","2017",19442.09,
"ITA","GGREV","TOT","THND_USD_CAP","A","2018",20066.96,
"ITA","GGREV","TOT","THND_USD_CAP","A","2019",20827.13,
"ITA","GGREV","TOT","THND_USD_CAP","A","2020",19905.75,
"ITA","GGREV","TOT","THND_USD_CAP","A","2021",22516.48,
"JPN","GGREV","TOT","THND_USD_CAP","A","2017",14574.15,
"JPN","GGREV","TOT","THND_USD_CAP","A","2018",15116.37,
"JPN","GGREV","TOT","THND_USD_CAP","A","2019",15150.97,
"JPN","GGREV","TOT","THND_USD_CAP","A","2020",15683.6,
"KOR","GGREV","TOT","THND_USD_CAP","A","2017",13496.49,
"KOR","GGREV","TOT","THND_USD_CAP","A","2018",14702.89,
"KOR","GGREV","TOT","THND_USD_CAP","A","2019",14991.16,
"KOR","GGREV","TOT","THND_USD_CAP","A","2020",15969.37,
"LUX","GGREV","TOT","THND_USD_CAP","A","2017",48982.28,
"LUX","GGREV","TOT","THND_USD_CAP","A","2018",52685.91,
"LUX","GGREV","TOT","THND_USD_CAP","A","2019",52875.33,
"LUX","GGREV","TOT","THND_USD_CAP","A","2020",51495.13,
"LUX","GGREV","TOT","THND_USD_CAP","A","2021",58842.78,
"MEX","GGREV","TOT","THND_USD_CAP","A","2017",4705.17,
"MEX","GGREV","TOT","THND_USD_CAP","A","2018",4550.24,
"MEX","GGREV","TOT","THND_USD_CAP","A","2019",4711.07,
"MEX","GGREV","TOT","THND_USD_CAP","A","2020",4675.4,
"NLD","GGREV","TOT","THND_USD_CAP","A","2017",24082.3,
"NLD","GGREV","TOT","THND_USD_CAP","A","2018",25253.9,
"NLD","GGREV","TOT","THND_USD_CAP","A","2019",25804.22,
"NLD","GGREV","TOT","THND_USD_CAP","A","2020",26042.93,"P"
"NLD","GGREV","TOT","THND_USD_CAP","A","2021",28371.81,"P"
"NZL","GGREV","TOT","THND_USD_CAP","A","2017",16597.15,
"NZL","GGREV","TOT","THND_USD_CAP","A","2018",16584.58,
"NZL","GGREV","TOT","THND_USD_CAP","A","2019",18064.33,
"NZL","GGREV","TOT","THND_USD_CAP","A","2020",17338.13,
"NOR","GGREV","TOT","THND_USD_CAP","A","2017",35532.91,
"NOR","GGREV","TOT","THND_USD_CAP","A","2018",39571.05,
"NOR","GGREV","TOT","THND_USD_CAP","A","2019",38833.72,
"NOR","GGREV","TOT","THND_USD_CAP","A","2020",35038.85,
"NOR","GGREV","TOT","THND_USD_CAP","A","2021",39867.83,
"POL","GGREV","TOT","THND_USD_CAP","A","2017",11821.85,
"POL","GGREV","TOT","THND_USD_CAP","A","2018",13043.12,
"POL","GGREV","TOT","THND_USD_CAP","A","2019",13717.03,
"POL","GGREV","TOT","THND_USD_CAP","A","2020",14066.94,
"POL","GGREV","TOT","THND_USD_CAP","A","2021",16097.05,
"PRT","GGREV","TOT","THND_USD_CAP","A","2017",14014.93,
"PRT","GGREV","TOT","THND_USD_CAP","A","2018",14981.38,
"PRT","GGREV","TOT","THND_USD_CAP","A","2019",15397.07,
"PRT","GGREV","TOT","THND_USD_CAP","A","2020",14867.47,
"PRT","GGREV","TOT","THND_USD_CAP","A","2021",16487.96,
"SVK","GGREV","TOT","THND_USD_CAP","A","2017",11611.21,
"SVK","GGREV","TOT","THND_USD_CAP","A","2018",12116.88,
"SVK","GGREV","TOT","THND_USD_CAP","A","2019",12585.74,
"SVK","GGREV","TOT","THND_USD_CAP","A","2020",12491.93,
"SVK","GGREV","TOT","THND_USD_CAP","A","2021",13591.83,
"ESP","GGREV","TOT","THND_USD_CAP","A","2017",15124.64,
"ESP","GGREV","TOT","THND_USD_CAP","A","2018",15990.29,
"ESP","GGREV","TOT","THND_USD_CAP","A","2019",16378.26,
"ESP","GGREV","TOT","THND_USD_CAP","A","2020",15668.42,
"ESP","GGREV","TOT","THND_USD_CAP","A","2021",18114.08,
"SWE","GGREV","TOT","THND_USD_CAP","A","2017",26310.35,
"SWE","GGREV","TOT","THND_USD_CAP","A","2018",27113.45,
"SWE","GGREV","TOT","THND_USD_CAP","A","2019",27149.39,
"SWE","GGREV","TOT","THND_USD_CAP","A","2020",27472.96,
"SWE","GGREV","TOT","THND_USD_CAP","A","2021",30162.94,
"CHE","GGREV","TOT","THND_USD_CAP","A","2017",23756.5,
"CHE","GGREV","TOT","THND_USD_CAP","A","2018",24222.69,
"CHE","GGREV","TOT","THND_USD_CAP","A","2019",24556.9,
"CHE","GGREV","TOT","THND_USD_CAP","A","2020",25070.44,
"TUR","GGREV","TOT","THND_USD_CAP","A","2017",8789.93,
"TUR","GGREV","TOT","THND_USD_CAP","A","2018",8995.63,
"TUR","GGREV","TOT","THND_USD_CAP","A","2019",8408.83,
"TUR","GGREV","TOT","THND_USD_CAP","A","2020",8600.04,
"GBR","GGREV","TOT","THND_USD_CAP","A","2017",17797.49,
"GBR","GGREV","TOT","THND_USD_CAP","A","2018",18211.46,
"GBR","GGREV","TOT","THND_USD_CAP","A","2019",18713.38,
"GBR","GGREV","TOT","THND_USD_CAP","A","2020",17923.49,
