"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CGEXP","HEALTH","PC","A","2017",4.49,
"AUT","CGEXP","HEALTH","PC","A","2018",4.86,
"AUT","CGEXP","HEALTH","PC","A","2019",4.8,
"AUT","CGEXP","HOUCOMM","PC","A","2017",0.17,
"AUT","CGEXP","HOUCOMM","PC","A","2018",0.17,
"AUT","CGEXP","HOUCOMM","PC","A","2019",0.17,
"BEL","CGEXP","RECULTREL","PC","A","2017",0.23,
"BEL","CGEXP","RECULTREL","PC","A","2018",0.27,
"BEL","CGEXP","RECULTREL","PC","A","2019",0.27,
"CZE","CGEXP","HEALTH","PC","A","2017",10.79,
"CZE","CGEXP","HEALTH","PC","A","2018",10.75,
"CZE","CGEXP","HEALTH","PC","A","2019",10.47,
"CZE","CGEXP","HOUCOMM","PC","A","2017",0.65,
"CZE","CGEXP","HOUCOMM","PC","A","2018",0.67,
"CZE","CGEXP","HOUCOMM","PC","A","2019",0.69,
"FRA","CGEXP","HEALTH","PC","A","2017",1.56,"P"
"FRA","CGEXP","HEALTH","PC","A","2018",1.58,"P"
"FRA","CGEXP","HEALTH","PC","A","2019",1.61,
"FRA","CGEXP","HOUCOMM","PC","A","2017",0.91,"P"
"FRA","CGEXP","HOUCOMM","PC","A","2018",0.96,"P"
"FRA","CGEXP","HOUCOMM","PC","A","2019",0.8,
"HUN","CGEXP","HEALTH","PC","A","2017",11.93,
"HUN","CGEXP","HEALTH","PC","A","2018",12.73,
"HUN","CGEXP","HEALTH","PC","A","2019",11.9,
"HUN","CGEXP","SOCPROT","PC","A","2017",12.43,
"HUN","CGEXP","SOCPROT","PC","A","2018",10.94,
"HUN","CGEXP","SOCPROT","PC","A","2019",10.73,
"ITA","CGEXP","SOCPROT","PC","A","2017",21.01,
"ITA","CGEXP","SOCPROT","PC","A","2018",21.09,
"ITA","CGEXP","SOCPROT","PC","A","2019",22.4,
"LUX","CGEXP","SOCPROT","PC","A","2017",40.66,
"LUX","CGEXP","SOCPROT","PC","A","2018",40.48,
"LUX","CGEXP","SOCPROT","PC","A","2019",40.56,
"NOR","CGEXP","EDU","PC","A","2017",4.33,
"NOR","CGEXP","EDU","PC","A","2018",4.49,
"NOR","CGEXP","EDU","PC","A","2019",4.55,
"PRT","CGEXP","RECULTREL","PC","A","2017",1.05,"E"
"PRT","CGEXP","RECULTREL","PC","A","2018",1.13,"E"
"PRT","CGEXP","RECULTREL","PC","A","2019",1.16,
"SVK","CGEXP","EDU","PC","A","2017",9.35,
"SVK","CGEXP","EDU","PC","A","2018",9.56,
"SVK","CGEXP","EDU","PC","A","2019",9.17,
"SWE","CGEXP","RECULTREL","PC","A","2017",1.75,
"SWE","CGEXP","RECULTREL","PC","A","2018",1.78,
"SWE","CGEXP","RECULTREL","PC","A","2019",1.77,
"CHE","CGEXP","EDU","PC","A","2017",5.2,
"CHE","CGEXP","EDU","PC","A","2018",5.31,
"CHE","CGEXP","EDU","PC","A","2019",5.47,
