"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","GGEXP","RECULTREL","PC_GDP","A","2017",1.30736372382646,
"CZE","GGEXP","RECULTREL","PC_GDP","A","2018",1.47376681394724,
"CZE","GGEXP","RECULTREL","PC_GDP","A","2019",1.42557245120347,
"CZE","GGEXP","RECULTREL","PC_GDP","A","2020",1.43969371170499,
"JPN","GGEXP","HOUCOMM","PC_GDP","A","2017",0.636805629636594,
"JPN","GGEXP","HOUCOMM","PC_GDP","A","2018",0.634520823349101,
"JPN","GGEXP","HOUCOMM","PC_GDP","A","2019",0.626169221645749,
"JPN","GGEXP","HOUCOMM","PC_GDP","A","2020",0.691658952042477,
"GBR","GGEXP","EDU","PC_GDP","A","2017",4.90564064982005,
"GBR","GGEXP","EDU","PC_GDP","A","2018",4.77878567356228,
"GBR","GGEXP","EDU","PC_GDP","A","2019",4.77669245354163,
"GBR","GGEXP","EDU","PC_GDP","A","2020",5.53812724154506,
"SWE","GGEXP","EDU","PC_GDP","A","2017",6.70103137363262,
"SWE","GGEXP","EDU","PC_GDP","A","2018",6.88933137212099,
"SWE","GGEXP","EDU","PC_GDP","A","2019",6.91511577408117,
"SWE","GGEXP","EDU","PC_GDP","A","2020",6.99810143339199,
"ESP","GGEXP","EDU","PC_GDP","A","2017",3.99564040010598,
"ESP","GGEXP","EDU","PC_GDP","A","2018",3.9677404081375,
"ESP","GGEXP","EDU","PC_GDP","A","2019",4.01874568952713,
"ESP","GGEXP","EDU","PC_GDP","A","2020",4.64852516437997,
"DNK","GGEXP","EDU","PC_GDP","A","2017",6.43814752075902,
"DNK","GGEXP","EDU","PC_GDP","A","2018",6.39355439184072,
"DNK","GGEXP","EDU","PC_GDP","A","2019",6.33093290202705,
"DNK","GGEXP","EDU","PC_GDP","A","2020",6.39647848430415,
"EST","GGEXP","RECULTREL","PC_GDP","A","2017",2.14486981043043,
"EST","GGEXP","RECULTREL","PC_GDP","A","2018",1.96281256093299,
"EST","GGEXP","RECULTREL","PC_GDP","A","2019",2.03243506318649,
"EST","GGEXP","RECULTREL","PC_GDP","A","2020",2.01747807412584,
"FIN","GGEXP","SOCPROT","PC_GDP","A","2017",24.5451853946735,
"FIN","GGEXP","SOCPROT","PC_GDP","A","2018",24.2514841815799,
"FIN","GGEXP","SOCPROT","PC_GDP","A","2019",24.0642380074878,
"FIN","GGEXP","SOCPROT","PC_GDP","A","2020",25.4550648412262,
"JPN","GGEXP","HEALTH","PC_GDP","A","2017",7.53139278178468,
"JPN","GGEXP","HEALTH","PC_GDP","A","2018",7.55519835022429,
"JPN","GGEXP","HEALTH","PC_GDP","A","2019",7.70832199325612,
"JPN","GGEXP","HEALTH","PC_GDP","A","2020",8.63148451172282,
"SVK","GGEXP","RECULTREL","PC_GDP","A","2017",0.815898197182925,
"SVK","GGEXP","RECULTREL","PC_GDP","A","2018",1.0566600767137,
"SVK","GGEXP","RECULTREL","PC_GDP","A","2019",1.18140590426367,
"SVK","GGEXP","RECULTREL","PC_GDP","A","2020",1.18100379134739,
"KOR","GGEXP","EDU","PC_GDP","A","2017",4.57970160890281,
"KOR","GGEXP","EDU","PC_GDP","A","2018",4.78146422022718,
"KOR","GGEXP","EDU","PC_GDP","A","2019",5.12880734982279,
"KOR","GGEXP","EDU","PC_GDP","A","2020",5.197080350644,
"GBR","GGEXP","SOCPROT","PC_GDP","A","2017",14.9834437086093,
"GBR","GGEXP","SOCPROT","PC_GDP","A","2018",14.8854413393838,
"GBR","GGEXP","SOCPROT","PC_GDP","A","2019",14.6685412634675,
"GBR","GGEXP","SOCPROT","PC_GDP","A","2020",16.7542664607503,
"SVN","GGEXP","RECULTREL","PC_GDP","A","2017",1.38307714048217,
"SVN","GGEXP","RECULTREL","PC_GDP","A","2018",1.39357208047781,
"SVN","GGEXP","RECULTREL","PC_GDP","A","2019",1.36387282160254,
"SVN","GGEXP","RECULTREL","PC_GDP","A","2020",1.44523746405868,
"GRC","GGEXP","HEALTH","PC_GDP","A","2017",5.47473992637444,
"GRC","GGEXP","HEALTH","PC_GDP","A","2018",5.57146854768763,
"GRC","GGEXP","HEALTH","PC_GDP","A","2019",5.74634823712399,
"GRC","GGEXP","HEALTH","PC_GDP","A","2020",6.69564917687975,
"SVN","GGEXP","HOUCOMM","PC_GDP","A","2017",0.483639905128935,
"SVN","GGEXP","HOUCOMM","PC_GDP","A","2018",0.448117606683082,
"SVN","GGEXP","HOUCOMM","PC_GDP","A","2019",0.415097999244706,
"SVN","GGEXP","HOUCOMM","PC_GDP","A","2020",0.580893756155435,
"FIN","GGEXP","RECULTREL","PC_GDP","A","2017",1.46309561159694,
"FIN","GGEXP","RECULTREL","PC_GDP","A","2018",1.50859668811198,
"FIN","GGEXP","RECULTREL","PC_GDP","A","2019",1.47712396501263,
"FIN","GGEXP","RECULTREL","PC_GDP","A","2020",1.5093911604206,
"HUN","GGEXP","SOCPROT","PC_GDP","A","2017",13.6966347111963,
"HUN","GGEXP","SOCPROT","PC_GDP","A","2018",13.0903262024104,
"HUN","GGEXP","SOCPROT","PC_GDP","A","2019",12.6543385938402,
"HUN","GGEXP","SOCPROT","PC_GDP","A","2020",13.4798914292058,
"NLD","GGEXP","HOUCOMM","PC_GDP","A","2017",0.372825972097661,
"NLD","GGEXP","HOUCOMM","PC_GDP","A","2018",0.446519127582246,
"NLD","GGEXP","HOUCOMM","PC_GDP","A","2019",0.447079225882628,
"NLD","GGEXP","HOUCOMM","PC_GDP","A","2020",0.493138990370733,
"DEU","GGEXP","RECULTREL","PC_GDP","A","2017",1.02657965939838,
"DEU","GGEXP","RECULTREL","PC_GDP","A","2018",1.03795926250576,
"DEU","GGEXP","RECULTREL","PC_GDP","A","2019",1.02969544462551,
"DEU","GGEXP","RECULTREL","PC_GDP","A","2020",1.12552599818525,
"GRC","GGEXP","RECULTREL","PC_GDP","A","2017",0.788000769991323,
"GRC","GGEXP","RECULTREL","PC_GDP","A","2018",0.848195381660162,
"GRC","GGEXP","RECULTREL","PC_GDP","A","2019",0.823010581797656,
"GRC","GGEXP","RECULTREL","PC_GDP","A","2020",0.957039516659201,
"DEU","GGEXP","HOUCOMM","PC_GDP","A","2017",0.374667907295633,
"DEU","GGEXP","HOUCOMM","PC_GDP","A","2018",0.393647209139937,
"DEU","GGEXP","HOUCOMM","PC_GDP","A","2019",0.422197013756529,
"DEU","GGEXP","HOUCOMM","PC_GDP","A","2020",0.477061633919945,
"AUT","GGEXP","EDU","PC_GDP","A","2017",4.83608933428889,
"AUT","GGEXP","EDU","PC_GDP","A","2018",4.77846044617223,
"AUT","GGEXP","EDU","PC_GDP","A","2019",4.78897752330151,
"AUT","GGEXP","EDU","PC_GDP","A","2020",5.04736112362065,
"NLD","GGEXP","HEALTH","PC_GDP","A","2017",7.28744719879265,
"NLD","GGEXP","HEALTH","PC_GDP","A","2018",7.34598901531938,
"NLD","GGEXP","HEALTH","PC_GDP","A","2019",7.3595267232844,
"NLD","GGEXP","HEALTH","PC_GDP","A","2020",8.04815888918183,
"CZE","GGEXP","HOUCOMM","PC_GDP","A","2017",0.585159535511764,
"CZE","GGEXP","HOUCOMM","PC_GDP","A","2018",0.771333274561564,
"CZE","GGEXP","HOUCOMM","PC_GDP","A","2019",0.660899822463895,
"CZE","GGEXP","HOUCOMM","PC_GDP","A","2020",0.65316420309851,
"DEU","GGEXP","HEALTH","PC_GDP","A","2017",7.12245497618727,
"DEU","GGEXP","HEALTH","PC_GDP","A","2018",7.17945594199884,
"DEU","GGEXP","HEALTH","PC_GDP","A","2019",7.30319642065379,
"DEU","GGEXP","HEALTH","PC_GDP","A","2020",8.41761539658721,
"USA","GGEXP","RECULTREL","PC_GDP","A","2017",0.275007974652798,
"USA","GGEXP","RECULTREL","PC_GDP","A","2018",0.274984515214441,
