"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","PC_GDP","A","2017",49.2988840456109,
"AUT","GGEXP","TOT","PC_GDP","A","2018",48.7576442007818,
"AUT","GGEXP","TOT","PC_GDP","A","2019",48.6085967216922,
"AUT","GGEXP","TOT","PC_GDP","A","2020",56.8016615890176,
"BEL","GGEXP","TOT","PC_GDP","A","2017",52.0303219794805,
"BEL","GGEXP","TOT","PC_GDP","A","2018",52.2363182500715,
"BEL","GGEXP","TOT","PC_GDP","A","2019",51.7917454480878,
"BEL","GGEXP","TOT","PC_GDP","A","2020",58.8069668916284,
"CZE","GGEXP","TOT","PC_GDP","A","2017",38.9800856744313,
"CZE","GGEXP","TOT","PC_GDP","A","2018",40.594622456989,
"CZE","GGEXP","TOT","PC_GDP","A","2019",41.0539034978515,
"CZE","GGEXP","TOT","PC_GDP","A","2020",47.1020721016911,
"DNK","GGEXP","TOT","PC_GDP","A","2017",50.5495311810981,
"DNK","GGEXP","TOT","PC_GDP","A","2018",50.5482974485043,
"DNK","GGEXP","TOT","PC_GDP","A","2019",49.6687335734971,
"DNK","GGEXP","TOT","PC_GDP","A","2020",53.5642086794965,
"FIN","GGEXP","TOT","PC_GDP","A","2017",53.6343188938626,
"FIN","GGEXP","TOT","PC_GDP","A","2018",53.3238814025409,
"FIN","GGEXP","TOT","PC_GDP","A","2019",53.2852771222974,
"FIN","GGEXP","TOT","PC_GDP","A","2020",57.0254113752557,
"FRA","GGEXP","TOT","PC_GDP","A","2017",56.5035377204491,
"FRA","GGEXP","TOT","PC_GDP","A","2018",55.6445504729392,
"FRA","GGEXP","TOT","PC_GDP","A","2019",55.3520112732218,
"FRA","GGEXP","TOT","PC_GDP","A","2020",61.4417678834903,
"DEU","GGEXP","TOT","PC_GDP","A","2017",44.1751551806462,
"DEU","GGEXP","TOT","PC_GDP","A","2018",44.3570102066588,
"DEU","GGEXP","TOT","PC_GDP","A","2019",44.9922551147913,
"DEU","GGEXP","TOT","PC_GDP","A","2020",50.2764995903601,
"GRC","GGEXP","TOT","PC_GDP","A","2017",48.5411865996592,
"GRC","GGEXP","TOT","PC_GDP","A","2018",48.5286940063832,
"GRC","GGEXP","TOT","PC_GDP","A","2019",47.8633284542072,
"GRC","GGEXP","TOT","PC_GDP","A","2020",59.7747656674743,
"HUN","GGEXP","TOT","PC_GDP","A","2017",46.7177305769199,
"HUN","GGEXP","TOT","PC_GDP","A","2018",46.1515852558159,
"HUN","GGEXP","TOT","PC_GDP","A","2019",45.6044006153372,
"HUN","GGEXP","TOT","PC_GDP","A","2020",51.1192392203298,
"ISL","GGEXP","TOT","PC_GDP","A","2017",44.409242919999,
"ISL","GGEXP","TOT","PC_GDP","A","2018",43.8428788171243,
"ISL","GGEXP","TOT","PC_GDP","A","2019",43.3743734106136,
"ISL","GGEXP","TOT","PC_GDP","A","2020",50.567297114817,
"IRL","GGEXP","TOT","PC_GDP","A","2017",26.128895651215,
"IRL","GGEXP","TOT","PC_GDP","A","2018",25.284345245282,
"IRL","GGEXP","TOT","PC_GDP","A","2019",24.1896546992343,
"IRL","GGEXP","TOT","PC_GDP","A","2020",27.3666360533859,
"ITA","GGEXP","TOT","PC_GDP","A","2017",48.7633600692114,
"ITA","GGEXP","TOT","PC_GDP","A","2018",48.3971016678868,
"ITA","GGEXP","TOT","PC_GDP","A","2019",48.4793213586297,
"ITA","GGEXP","TOT","PC_GDP","A","2020",56.8754563803646,
"JPN","GGEXP","TOT","PC_GDP","A","2017",38.3441607165781,
"JPN","GGEXP","TOT","PC_GDP","A","2018",38.3183670211676,
"JPN","GGEXP","TOT","PC_GDP","A","2019",38.9007024640675,
"JPN","GGEXP","TOT","PC_GDP","A","2020",47.2526894647903,
"KOR","GGEXP","TOT","PC_GDP","A","2017",30.2707275084761,
"KOR","GGEXP","TOT","PC_GDP","A","2018",31.1472450161274,
"KOR","GGEXP","TOT","PC_GDP","A","2019",33.8711376228431,
"KOR","GGEXP","TOT","PC_GDP","A","2020",38.132117760867,
"LUX","GGEXP","TOT","PC_GDP","A","2017",41.2773971689008,
"LUX","GGEXP","TOT","PC_GDP","A","2018",42.2922616734433,
"LUX","GGEXP","TOT","PC_GDP","A","2019",43.1061621787735,
"LUX","GGEXP","TOT","PC_GDP","A","2020",46.7689539833655,
"NLD","GGEXP","TOT","PC_GDP","A","2017",42.3985227854652,
"NLD","GGEXP","TOT","PC_GDP","A","2018",42.2432159713277,
"NLD","GGEXP","TOT","PC_GDP","A","2019",42.0119180129266,
"NLD","GGEXP","TOT","PC_GDP","A","2020",48.2647232370407,
"NOR","GGEXP","TOT","PC_GDP","A","2017",50.4773649913728,
"NOR","GGEXP","TOT","PC_GDP","A","2018",48.822589268128,
"NOR","GGEXP","TOT","PC_GDP","A","2019",51.5524413747894,
"NOR","GGEXP","TOT","PC_GDP","A","2020",58.2430384245363,
"POL","GGEXP","TOT","PC_GDP","A","2017",41.418371752184,
"POL","GGEXP","TOT","PC_GDP","A","2018",41.4388066621961,
"POL","GGEXP","TOT","PC_GDP","A","2019",41.8580257217417,
"POL","GGEXP","TOT","PC_GDP","A","2020",48.4397302102262,
"PRT","GGEXP","TOT","PC_GDP","A","2017",45.3680202948539,
"PRT","GGEXP","TOT","PC_GDP","A","2018",43.2404165928549,
"PRT","GGEXP","TOT","PC_GDP","A","2019",42.451000029761,
"PRT","GGEXP","TOT","PC_GDP","A","2020",49.2347555199284,
"SVK","GGEXP","TOT","PC_GDP","A","2017",39.4948961600594,
"SVK","GGEXP","TOT","PC_GDP","A","2018",39.6274288247082,
"SVK","GGEXP","TOT","PC_GDP","A","2019",40.4931376665344,
"SVK","GGEXP","TOT","PC_GDP","A","2020",44.9012134786658,
"ESP","GGEXP","TOT","PC_GDP","A","2017",41.1877243026189,
"ESP","GGEXP","TOT","PC_GDP","A","2018",41.6804625790894,
"ESP","GGEXP","TOT","PC_GDP","A","2019",42.0739887901612,
"ESP","GGEXP","TOT","PC_GDP","A","2020",52.6193907095687,
"SWE","GGEXP","TOT","PC_GDP","A","2017",49.224815755096,
"SWE","GGEXP","TOT","PC_GDP","A","2018",49.840503066707,
"SWE","GGEXP","TOT","PC_GDP","A","2019",49.1222605111396,
"SWE","GGEXP","TOT","PC_GDP","A","2020",52.0526787730885,
"CHE","GGEXP","TOT","PC_GDP","A","2017",33.7064897977345,
"CHE","GGEXP","TOT","PC_GDP","A","2018",32.976169343675,
"CHE","GGEXP","TOT","PC_GDP","A","2019",33.2390189049783,
"CHE","GGEXP","TOT","PC_GDP","A","2020",38.3991785139141,
"GBR","GGEXP","TOT","PC_GDP","A","2017",40.9583080736381,
"GBR","GGEXP","TOT","PC_GDP","A","2018",40.7439012519642,
"GBR","GGEXP","TOT","PC_GDP","A","2019",40.6505154694444,
"GBR","GGEXP","TOT","PC_GDP","A","2020",52.452415014453,
"USA","GGEXP","TOT","PC_GDP","A","2017",38.0583761014147,
"USA","GGEXP","TOT","PC_GDP","A","2018",37.9613920147695,
"USA","GGEXP","TOT","PC_GDP","A","2019",38.453032639857,
"USA","GGEXP","TOT","PC_GDP","A","2020",47.3115551435357,
"USA","GGEXP","TOT","PC_GDP","A","2021",44.9326415378956,
"EST","GGEXP","TOT","PC_GDP","A","2017",39.2361806440906,
"EST","GGEXP","TOT","PC_GDP","A","2018",39.2728329357757,
"EST","GGEXP","TOT","PC_GDP","A","2019",39.3881088977626,
"EST","GGEXP","TOT","PC_GDP","A","2020",44.8319965250296,
"ISR","GGEXP","TOT","PC_GDP","A","2017",38.9483572854789,
"ISR","GGEXP","TOT","PC_GDP","A","2018",39.7829637712679,
"ISR","GGEXP","TOT","PC_GDP","A","2019",39.1238138870402,
"ISR","GGEXP","TOT","PC_GDP","A","2020",45.3224875301566,
"SVN","GGEXP","TOT","PC_GDP","A","2017",44.0699600659137,
"SVN","GGEXP","TOT","PC_GDP","A","2018",43.49245343295,
"SVN","GGEXP","TOT","PC_GDP","A","2019",43.2110094106038,
"SVN","GGEXP","TOT","PC_GDP","A","2020",51.2098232564999,
"AUS","GGEXP","TOT","PC_GDP","A","2017",39.008973562317,
"AUS","GGEXP","TOT","PC_GDP","A","2018",39.0044657053045,
"AUS","GGEXP","TOT","PC_GDP","A","2019",44.1645773037342,
"AUS","GGEXP","TOT","PC_GDP","A","2020",46.2792350963916,
"LVA","GGEXP","TOT","PC_GDP","A","2017",38.6836365989235,
"LVA","GGEXP","TOT","PC_GDP","A","2018",39.3468981965699,
"LVA","GGEXP","TOT","PC_GDP","A","2019",38.1517175872663,
"LVA","GGEXP","TOT","PC_GDP","A","2020",42.0099395772337,
"COL","GGEXP","TOT","PC_GDP","A","2017",31.7975253973238,
"COL","GGEXP","TOT","PC_GDP","A","2018",33.5157943330117,
"COL","GGEXP","TOT","PC_GDP","A","2019",33.0224098831396,
"COL","GGEXP","TOT","PC_GDP","A","2020",37.2100660946673,
"CRI","GGEXP","TOT","PC_GDP","A","2017",32.8068999391684,
"CRI","GGEXP","TOT","PC_GDP","A","2018",33.1759322261334,
"CRI","GGEXP","TOT","PC_GDP","A","2019",34.2720764587726,
"LTU","GGEXP","TOT","PC_GDP","A","2017",33.2279099970901,
"LTU","GGEXP","TOT","PC_GDP","A","2018",33.9939870165579,
"LTU","GGEXP","TOT","PC_GDP","A","2019",34.7291286832715,
"LTU","GGEXP","TOT","PC_GDP","A","2020",42.664192238528,
