"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2017",18750.74,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2018",19505.24,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2019",21964.21,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2020",24757.04,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",26714.25,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2018",27770.44,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2019",28223.98,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2020",31740.3,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2021",33225.92,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2017",26245.61,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2018",27455.28,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2019",28164.02,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2020",31427.64,"P"
"BEL","GGEXP","TOT","THND_USD_CAP","A","2021",32854.8,"P"
"CAN","GGEXP","TOT","THND_USD_CAP","A","2017",19936.85,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2018",20727.43,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2019",20430.25,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2020",25086.01,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2021",23691.17,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2017",15140.99,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2018",16707.68,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2019",17598.06,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2020",19693.44,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2021",20837.97,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2017",27982.45,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2018",29054.83,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2019",29054.01,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2020",32191.29,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2021",33490.45,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2017",25513.98,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2018",26434.39,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2019",26814.67,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2020",29083.5,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2021",30623.29,
"FRA","GGEXP","TOT","THND_USD_CAP","A","2017",25113.28,
"FRA","GGEXP","TOT","THND_USD_CAP","A","2018",25805.4,
"FRA","GGEXP","TOT","THND_USD_CAP","A","2019",27011.78,
