"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","GGWEALTH","TOT","PC_GDP","A","2017",60.59231,
"FIN","GGWEALTH","TOT","PC_GDP","A","2018",54.42899,
"FIN","GGWEALTH","TOT","PC_GDP","A","2019",62.66541,
"FIN","GGWEALTH","TOT","PC_GDP","A","2020",64.11195,
"FIN","GGWEALTH","TOT","PC_GDP","A","2021",72.42439,
"CHL","GGWEALTH","TOT","PC_GDP","A","2017",-3.102686,
"CHL","GGWEALTH","TOT","PC_GDP","A","2018",-3.762621,
"CHL","GGWEALTH","TOT","PC_GDP","A","2019",-7.922883,
"CHL","GGWEALTH","TOT","PC_GDP","A","2020",-13.02089,
"CHL","GGWEALTH","TOT","PC_GDP","A","2021",-11.5875,
"TUR","GGWEALTH","TOT","PC_GDP","A","2017",-17.35584,
"TUR","GGWEALTH","TOT","PC_GDP","A","2018",-18.38336,
"TUR","GGWEALTH","TOT","PC_GDP","A","2019",-22.09638,
"TUR","GGWEALTH","TOT","PC_GDP","A","2020",-26.22086,
"TUR","GGWEALTH","TOT","PC_GDP","A","2021",-25.89446,
"NOR","GGWEALTH","TOT","PC_GDP","A","2017",308.7291,
"NOR","GGWEALTH","TOT","PC_GDP","A","2018",280.2258,
"NOR","GGWEALTH","TOT","PC_GDP","A","2019",331.2573,
"NOR","GGWEALTH","TOT","PC_GDP","A","2020",370.1979,
"NOR","GGWEALTH","TOT","PC_GDP","A","2021",354.2827,
"BEL","GGWEALTH","TOT","PC_GDP","A","2017",-85.08665,
"BEL","GGWEALTH","TOT","PC_GDP","A","2018",-83.91647,
"BEL","GGWEALTH","TOT","PC_GDP","A","2019",-84.31544,
"BEL","GGWEALTH","TOT","PC_GDP","A","2020",-100.5553,
"BEL","GGWEALTH","TOT","PC_GDP","A","2021",-91.26242,
"ITA","GGWEALTH","TOT","PC_GDP","A","2017",-124.6031,
"ITA","GGWEALTH","TOT","PC_GDP","A","2018",-119.4905,
"ITA","GGWEALTH","TOT","PC_GDP","A","2019",-126.376,
"ITA","GGWEALTH","TOT","PC_GDP","A","2020",-152.0672,
"ITA","GGWEALTH","TOT","PC_GDP","A","2021",-143.3224,
"SWE","GGWEALTH","TOT","PC_GDP","A","2017",23.77807,
"SWE","GGWEALTH","TOT","PC_GDP","A","2018",23.81535,
"SWE","GGWEALTH","TOT","PC_GDP","A","2019",28.1792,
"SWE","GGWEALTH","TOT","PC_GDP","A","2020",26.61212,
"SWE","GGWEALTH","TOT","PC_GDP","A","2021",30.94847,
"ESP","GGWEALTH","TOT","PC_GDP","A","2017",-81.22765,
"ESP","GGWEALTH","TOT","PC_GDP","A","2018",-80.18871,
"ESP","GGWEALTH","TOT","PC_GDP","A","2019",-84.95785,
"ESP","GGWEALTH","TOT","PC_GDP","A","2020",-107.3332,
"ESP","GGWEALTH","TOT","PC_GDP","A","2021",-101.0326,
"KOR","GGWEALTH","TOT","PC_GDP","A","2017",34.21281,
"KOR","GGWEALTH","TOT","PC_GDP","A","2018",33.49855,
"KOR","GGWEALTH","TOT","PC_GDP","A","2019",38.12532,
"KOR","GGWEALTH","TOT","PC_GDP","A","2020",42.00798,
"KOR","GGWEALTH","TOT","PC_GDP","A","2021",46.00436,
"DNK","GGWEALTH","TOT","PC_GDP","A","2017",-0.5899332,
"DNK","GGWEALTH","TOT","PC_GDP","A","2018",0.6243687,
"DNK","GGWEALTH","TOT","PC_GDP","A","2019",6.63479,
"DNK","GGWEALTH","TOT","PC_GDP","A","2020",11.89538,
"DNK","GGWEALTH","TOT","PC_GDP","A","2021",12.59847,
"ISR","GGWEALTH","TOT","PC_GDP","A","2017",-49.38564,
"ISR","GGWEALTH","TOT","PC_GDP","A","2018",-48.6405,
"ISR","GGWEALTH","TOT","PC_GDP","A","2019",-52.65885,
"ISR","GGWEALTH","TOT","PC_GDP","A","2020",-61.7993,
"FRA","GGWEALTH","TOT","PC_GDP","A","2017",-77.58551,
"FRA","GGWEALTH","TOT","PC_GDP","A","2018",-78.07182,
"FRA","GGWEALTH","TOT","PC_GDP","A","2019",-78.57813,
"FRA","GGWEALTH","TOT","PC_GDP","A","2020",-93.57187,
"FRA","GGWEALTH","TOT","PC_GDP","A","2021",-86.56571,
"AUT","GGWEALTH","TOT","PC_GDP","A","2017",-54.07269,
"AUT","GGWEALTH","TOT","PC_GDP","A","2018",-51.04399,
"AUT","GGWEALTH","TOT","PC_GDP","A","2019",-49.24623,
"AUT","GGWEALTH","TOT","PC_GDP","A","2020",-61.30092,
"AUT","GGWEALTH","TOT","PC_GDP","A","2021",-55.54263,
"IRL","GGWEALTH","TOT","PC_GDP","A","2017",-50.79707,
"IRL","GGWEALTH","TOT","PC_GDP","A","2018",-47.62832,
"IRL","GGWEALTH","TOT","PC_GDP","A","2019",-43.63414,
"IRL","GGWEALTH","TOT","PC_GDP","A","2020",-47.61016,
"IRL","GGWEALTH","TOT","PC_GDP","A","2021",-40.8334,
"HUN","GGWEALTH","TOT","PC_GDP","A","2017",-62.12194,
"HUN","GGWEALTH","TOT","PC_GDP","A","2018",-56.08803,
"HUN","GGWEALTH","TOT","PC_GDP","A","2019",-56.06224,
"HUN","GGWEALTH","TOT","PC_GDP","A","2020",-61.63404,
"HUN","GGWEALTH","TOT","PC_GDP","A","2021",-55.93958,
"LUX","GGWEALTH","TOT","PC_GDP","A","2017",49.21205,
"LUX","GGWEALTH","TOT","PC_GDP","A","2018",49.84401,
"LUX","GGWEALTH","TOT","PC_GDP","A","2019",54.20894,
"LUX","GGWEALTH","TOT","PC_GDP","A","2020",50.04286,
"LUX","GGWEALTH","TOT","PC_GDP","A","2021",51.81832,
"EST","GGWEALTH","TOT","PC_GDP","A","2017",26.32584,
"EST","GGWEALTH","TOT","PC_GDP","A","2018",24.27641,
"EST","GGWEALTH","TOT","PC_GDP","A","2019",21.69371,
"EST","GGWEALTH","TOT","PC_GDP","A","2020",18.0164,
"EST","GGWEALTH","TOT","PC_GDP","A","2021",14.23442,
"ISL","GGWEALTH","TOT","PC_GDP","A","2017",-20.39002,
"ISL","GGWEALTH","TOT","PC_GDP","A","2018",-15.66248,
"ISL","GGWEALTH","TOT","PC_GDP","A","2019",-23.26056,
"ISL","GGWEALTH","TOT","PC_GDP","A","2020",-30.47687,
"ISL","GGWEALTH","TOT","PC_GDP","A","2021",-34.19825,
"JPN","GGWEALTH","TOT","PC_GDP","A","2017",-123.1716,
"JPN","GGWEALTH","TOT","PC_GDP","A","2018",-124.9179,
"JPN","GGWEALTH","TOT","PC_GDP","A","2019",-127.4277,
"JPN","GGWEALTH","TOT","PC_GDP","A","2020",-129.4721,
"JPN","GGWEALTH","TOT","PC_GDP","A","2021",-127.8107,
"CZE","GGWEALTH","TOT","PC_GDP","A","2017",-11.47,
"CZE","GGWEALTH","TOT","PC_GDP","A","2018",-8.723542,
"CZE","GGWEALTH","TOT","PC_GDP","A","2019",-7.988123,
"CZE","GGWEALTH","TOT","PC_GDP","A","2020",-13.57576,
"CZE","GGWEALTH","TOT","PC_GDP","A","2021",-13.08667,
"SVN","GGWEALTH","TOT","PC_GDP","A","2017",-27.69037,
"SVN","GGWEALTH","TOT","PC_GDP","A","2018",-22.91813,
"SVN","GGWEALTH","TOT","PC_GDP","A","2019",-25.46509,
"SVN","GGWEALTH","TOT","PC_GDP","A","2020",-39.12749,
"SVN","GGWEALTH","TOT","PC_GDP","A","2021",-32.62714,
"SVK","GGWEALTH","TOT","PC_GDP","A","2017",-42.38556,
"SVK","GGWEALTH","TOT","PC_GDP","A","2018",-42.50559,
"SVK","GGWEALTH","TOT","PC_GDP","A","2019",-42.95534,
"SVK","GGWEALTH","TOT","PC_GDP","A","2020",-51.20803,
"SVK","GGWEALTH","TOT","PC_GDP","A","2021",-51.14826,
"PRT","GGWEALTH","TOT","PC_GDP","A","2017",-106.3879,
"PRT","GGWEALTH","TOT","PC_GDP","A","2018",-101.7919,
"PRT","GGWEALTH","TOT","PC_GDP","A","2019",-99.17565,
"PRT","GGWEALTH","TOT","PC_GDP","A","2020",-112.6629,
"PRT","GGWEALTH","TOT","PC_GDP","A","2021",-104.129,
"DEU","GGWEALTH","TOT","PC_GDP","A","2017",-33.14202,
"DEU","GGWEALTH","TOT","PC_GDP","A","2018",-30.26796,
"DEU","GGWEALTH","TOT","PC_GDP","A","2019",-27.11142,
"DEU","GGWEALTH","TOT","PC_GDP","A","2020",-32.11988,
"DEU","GGWEALTH","TOT","PC_GDP","A","2021",-30.61709,
