"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","2017",18.302,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","2018",18.92,
"AUS","TAXCORP","TOT","PC_TOT_TAX","A","2019",17.139,
"AUT","TAXCORP","TOT","PC_TOT_TAX","A","2017",5.898,
"AUT","TAXCORP","TOT","PC_TOT_TAX","A","2018",6.412,
"AUT","TAXCORP","TOT","PC_TOT_TAX","A","2019",6.38,
"AUT","TAXCORP","TOT","PC_TOT_TAX","A","2020",4.93,
"BEL","TAXCORP","TOT","PC_TOT_TAX","A","2017",9.274,
"BEL","TAXCORP","TOT","PC_TOT_TAX","A","2018",9.798,
"BEL","TAXCORP","TOT","PC_TOT_TAX","A","2019",8.72,
"BEL","TAXCORP","TOT","PC_TOT_TAX","A","2020",7.689,
"CAN","TAXCORP","TOT","PC_TOT_TAX","A","2017",11.772,
"CAN","TAXCORP","TOT","PC_TOT_TAX","A","2018",12.221,
"CAN","TAXCORP","TOT","PC_TOT_TAX","A","2019",12.309,
"CAN","TAXCORP","TOT","PC_TOT_TAX","A","2020",12.328,
"CZE","TAXCORP","TOT","PC_TOT_TAX","A","2017",10.7,
"CZE","TAXCORP","TOT","PC_TOT_TAX","A","2018",10.358,
"CZE","TAXCORP","TOT","PC_TOT_TAX","A","2019",10.086,
"CZE","TAXCORP","TOT","PC_TOT_TAX","A","2020",8.358,
"DNK","TAXCORP","TOT","PC_TOT_TAX","A","2017",7.154,
"DNK","TAXCORP","TOT","PC_TOT_TAX","A","2018",6.236,
"DNK","TAXCORP","TOT","PC_TOT_TAX","A","2019",6.732,
"DNK","TAXCORP","TOT","PC_TOT_TAX","A","2020",5.638,
"FIN","TAXCORP","TOT","PC_TOT_TAX","A","2017",6.317,
"FIN","TAXCORP","TOT","PC_TOT_TAX","A","2018",5.999,
"FIN","TAXCORP","TOT","PC_TOT_TAX","A","2019",5.983,
"FIN","TAXCORP","TOT","PC_TOT_TAX","A","2020",5.013,
"FRA","TAXCORP","TOT","PC_TOT_TAX","A","2017",5.043,
"FRA","TAXCORP","TOT","PC_TOT_TAX","A","2018",4.57,
"FRA","TAXCORP","TOT","PC_TOT_TAX","A","2019",4.949,
"FRA","TAXCORP","TOT","PC_TOT_TAX","A","2020",5.106,
"DEU","TAXCORP","TOT","PC_TOT_TAX","A","2017",5.354,
"DEU","TAXCORP","TOT","PC_TOT_TAX","A","2018",5.554,
"DEU","TAXCORP","TOT","PC_TOT_TAX","A","2019",5.177,
"DEU","TAXCORP","TOT","PC_TOT_TAX","A","2020",4.303,
"GRC","TAXCORP","TOT","PC_TOT_TAX","A","2017",5.043,
"GRC","TAXCORP","TOT","PC_TOT_TAX","A","2018",5.561,
"GRC","TAXCORP","TOT","PC_TOT_TAX","A","2019",5.621,
"HUN","TAXCORP","TOT","PC_TOT_TAX","A","2017",5.209,
"HUN","TAXCORP","TOT","PC_TOT_TAX","A","2018",3.583,
"HUN","TAXCORP","TOT","PC_TOT_TAX","A","2019",3.542,
"HUN","TAXCORP","TOT","PC_TOT_TAX","A","2020",2.813,
"ISL","TAXCORP","TOT","PC_TOT_TAX","A","2017",8.155,
"ISL","TAXCORP","TOT","PC_TOT_TAX","A","2018",6.532,
"ISL","TAXCORP","TOT","PC_TOT_TAX","A","2019",5.93,
"ISL","TAXCORP","TOT","PC_TOT_TAX","A","2020",5.973,
"IRL","TAXCORP","TOT","PC_TOT_TAX","A","2017",12.226,
"IRL","TAXCORP","TOT","PC_TOT_TAX","A","2018",14.272,
"IRL","TAXCORP","TOT","PC_TOT_TAX","A","2019",13.951,
"IRL","TAXCORP","TOT","PC_TOT_TAX","A","2020",15.867,
"ITA","TAXCORP","TOT","PC_TOT_TAX","A","2017",4.96,
"ITA","TAXCORP","TOT","PC_TOT_TAX","A","2018",4.449,
"ITA","TAXCORP","TOT","PC_TOT_TAX","A","2019",4.642,
"ITA","TAXCORP","TOT","PC_TOT_TAX","A","2020",4.893,
"JPN","TAXCORP","TOT","PC_TOT_TAX","A","2017",11.835,
"JPN","TAXCORP","TOT","PC_TOT_TAX","A","2018",12.868,
"JPN","TAXCORP","TOT","PC_TOT_TAX","A","2019",12,
"KOR","TAXCORP","TOT","PC_TOT_TAX","A","2017",14.243,
"KOR","TAXCORP","TOT","PC_TOT_TAX","A","2018",15.734,
"KOR","TAXCORP","TOT","PC_TOT_TAX","A","2019",15.712,
"KOR","TAXCORP","TOT","PC_TOT_TAX","A","2020",12.123,
"LUX","TAXCORP","TOT","PC_TOT_TAX","A","2017",13.638,
"LUX","TAXCORP","TOT","PC_TOT_TAX","A","2018",16.001,
"LUX","TAXCORP","TOT","PC_TOT_TAX","A","2019",15.203,
"LUX","TAXCORP","TOT","PC_TOT_TAX","A","2020",12.036,
"NLD","TAXCORP","TOT","PC_TOT_TAX","A","2017",8.468,
"NLD","TAXCORP","TOT","PC_TOT_TAX","A","2018",9.027,
"NLD","TAXCORP","TOT","PC_TOT_TAX","A","2019",9.408,
"NLD","TAXCORP","TOT","PC_TOT_TAX","A","2020",7.779,
"NZL","TAXCORP","TOT","PC_TOT_TAX","A","2017",14.664,
"NZL","TAXCORP","TOT","PC_TOT_TAX","A","2018",15.585,
"NZL","TAXCORP","TOT","PC_TOT_TAX","A","2019",12.392,
"NZL","TAXCORP","TOT","PC_TOT_TAX","A","2020",14.348,
"NOR","TAXCORP","TOT","PC_TOT_TAX","A","2017",12.568,
"NOR","TAXCORP","TOT","PC_TOT_TAX","A","2018",16.408,
"NOR","TAXCORP","TOT","PC_TOT_TAX","A","2019",14.722,
"NOR","TAXCORP","TOT","PC_TOT_TAX","A","2020",6.175,
"POL","TAXCORP","TOT","PC_TOT_TAX","A","2017",5.65,
"POL","TAXCORP","TOT","PC_TOT_TAX","A","2018",5.945,
"POL","TAXCORP","TOT","PC_TOT_TAX","A","2019",6.286,
"POL","TAXCORP","TOT","PC_TOT_TAX","A","2020",6.301,
"PRT","TAXCORP","TOT","PC_TOT_TAX","A","2017",9.383,
"PRT","TAXCORP","TOT","PC_TOT_TAX","A","2018",9.566,
"PRT","TAXCORP","TOT","PC_TOT_TAX","A","2019",9.025,
"PRT","TAXCORP","TOT","PC_TOT_TAX","A","2020",7.854,
"SVK","TAXCORP","TOT","PC_TOT_TAX","A","2017",10.172,
"SVK","TAXCORP","TOT","PC_TOT_TAX","A","2018",9.631,
"SVK","TAXCORP","TOT","PC_TOT_TAX","A","2019",8.774,
"SVK","TAXCORP","TOT","PC_TOT_TAX","A","2020",7.232,
"ESP","TAXCORP","TOT","PC_TOT_TAX","A","2017",6.602,
"ESP","TAXCORP","TOT","PC_TOT_TAX","A","2018",7.113,
