"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2017",7.509,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2018",7.286,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2019",7.272,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2017",11.919,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2018",11.702,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2019",11.703,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2020",11.473,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2017",10.984,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2018",11.05,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2019",10.952,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2020",10.675,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2017",7.792,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2018",7.828,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2019",7.705,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2020",7.432,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2017",11.496,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2018",11.291,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2019",11.085,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2020",10.82,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2017",14.506,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2018",14.587,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2019",14.122,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2020",14.307,
"FIN","TAXGOODSERV","TOT","PC_GDP","A","2017",14.167,
"FIN","TAXGOODSERV","TOT","PC_GDP","A","2018",14.312,
"FIN","TAXGOODSERV","TOT","PC_GDP","A","2019",14.223,
"FIN","TAXGOODSERV","TOT","PC_GDP","A","2020",14.189,
"FRA","TAXGOODSERV","TOT","PC_GDP","A","2017",12.18,
"FRA","TAXGOODSERV","TOT","PC_GDP","A","2018",12.347,
"FRA","TAXGOODSERV","TOT","PC_GDP","A","2019",12.37,
"FRA","TAXGOODSERV","TOT","PC_GDP","A","2020",12.287,
"DEU","TAXGOODSERV","TOT","PC_GDP","A","2017",10.106,
"DEU","TAXGOODSERV","TOT","PC_GDP","A","2018",10.279,
"DEU","TAXGOODSERV","TOT","PC_GDP","A","2019",10.29,
"DEU","TAXGOODSERV","TOT","PC_GDP","A","2020",9.847,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2017",15.635,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2018",15.798,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2019",15.747,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2020",14.915,
"HUN","TAXGOODSERV","TOT","PC_GDP","A","2017",16.277,
"HUN","TAXGOODSERV","TOT","PC_GDP","A","2018",16.491,
"HUN","TAXGOODSERV","TOT","PC_GDP","A","2019",16.282,
"HUN","TAXGOODSERV","TOT","PC_GDP","A","2020",16.191,
"ISL","TAXGOODSERV","TOT","PC_GDP","A","2017",12.452,
"ISL","TAXGOODSERV","TOT","PC_GDP","A","2018",12.111,
"ISL","TAXGOODSERV","TOT","PC_GDP","A","2019",11.255,
"ISL","TAXGOODSERV","TOT","PC_GDP","A","2020",11.178,
"IRL","TAXGOODSERV","TOT","PC_GDP","A","2017",7.435,
"IRL","TAXGOODSERV","TOT","PC_GDP","A","2018",6.937,
"IRL","TAXGOODSERV","TOT","PC_GDP","A","2019",6.756,
"IRL","TAXGOODSERV","TOT","PC_GDP","A","2020",5.608,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2017",12.088,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2018",11.97,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2019",12.004,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2020",11.524,
"JPN","TAXGOODSERV","TOT","PC_GDP","A","2017",6.484,
"JPN","TAXGOODSERV","TOT","PC_GDP","A","2018",6.156,
"JPN","TAXGOODSERV","TOT","PC_GDP","A","2019",6.197,
"JPN","TAXGOODSERV","TOT","PC_GDP","A","2020",6.574,
"KOR","TAXGOODSERV","TOT","PC_GDP","A","2017",7.031,
"KOR","TAXGOODSERV","TOT","PC_GDP","A","2018",7.012,
"KOR","TAXGOODSERV","TOT","PC_GDP","A","2019",7.049,
"KOR","TAXGOODSERV","TOT","PC_GDP","A","2020",6.825,
"LUX","TAXGOODSERV","TOT","PC_GDP","A","2017",8.976,
"LUX","TAXGOODSERV","TOT","PC_GDP","A","2018",9.14,
"LUX","TAXGOODSERV","TOT","PC_GDP","A","2019",9.088,
"LUX","TAXGOODSERV","TOT","PC_GDP","A","2020",8.821,
"MEX","TAXGOODSERV","TOT","PC_GDP","A","2017",5.85,
"MEX","TAXGOODSERV","TOT","PC_GDP","A","2018",5.874,
"MEX","TAXGOODSERV","TOT","PC_GDP","A","2019",6.154,
"MEX","TAXGOODSERV","TOT","PC_GDP","A","2020",6.679,
"NLD","TAXGOODSERV","TOT","PC_GDP","A","2017",11.604,
"NLD","TAXGOODSERV","TOT","PC_GDP","A","2018",11.697,
"NLD","TAXGOODSERV","TOT","PC_GDP","A","2019",12.051,
"NLD","TAXGOODSERV","TOT","PC_GDP","A","2020",12.019,
"NZL","TAXGOODSERV","TOT","PC_GDP","A","2017",12.031,
"NZL","TAXGOODSERV","TOT","PC_GDP","A","2018",12.196,
"NZL","TAXGOODSERV","TOT","PC_GDP","A","2019",12.173,
"NZL","TAXGOODSERV","TOT","PC_GDP","A","2020",12.5,
"NOR","TAXGOODSERV","TOT","PC_GDP","A","2017",11.974,
"NOR","TAXGOODSERV","TOT","PC_GDP","A","2018",11.587,
"NOR","TAXGOODSERV","TOT","PC_GDP","A","2019",11.739,
"NOR","TAXGOODSERV","TOT","PC_GDP","A","2020",12.431,
"POL","TAXGOODSERV","TOT","PC_GDP","A","2017",12.761,
"POL","TAXGOODSERV","TOT","PC_GDP","A","2018",13.07,
"POL","TAXGOODSERV","TOT","PC_GDP","A","2019",12.827,
"POL","TAXGOODSERV","TOT","PC_GDP","A","2020",12.157,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2017",13.674,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2018",13.755,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2019",13.745,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2020",13.049,
"SVK","TAXGOODSERV","TOT","PC_GDP","A","2017",12,
"SVK","TAXGOODSERV","TOT","PC_GDP","A","2018",11.943,
"SVK","TAXGOODSERV","TOT","PC_GDP","A","2019",12.11,
"SVK","TAXGOODSERV","TOT","PC_GDP","A","2020",12.2,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2017",10.158,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2018",10.223,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2019",10.023,
"ESP","TAXGOODSERV","TOT","PC_GDP","A","2020",9.797,
"SWE","TAXGOODSERV","TOT","PC_GDP","A","2017",12.333,
"SWE","TAXGOODSERV","TOT","PC_GDP","A","2018",12.351,
"SWE","TAXGOODSERV","TOT","PC_GDP","A","2019",12.084,
"SWE","TAXGOODSERV","TOT","PC_GDP","A","2020",12.197,
"CHE","TAXGOODSERV","TOT","PC_GDP","A","2017",5.688,
"CHE","TAXGOODSERV","TOT","PC_GDP","A","2018",5.492,
"CHE","TAXGOODSERV","TOT","PC_GDP","A","2019",5.436,
"CHE","TAXGOODSERV","TOT","PC_GDP","A","2020",5.177,
"TUR","TAXGOODSERV","TOT","PC_GDP","A","2017",10.73,
"TUR","TAXGOODSERV","TOT","PC_GDP","A","2018",9.71,
"TUR","TAXGOODSERV","TOT","PC_GDP","A","2019",9.011,
"TUR","TAXGOODSERV","TOT","PC_GDP","A","2020",10.248,
"GBR","TAXGOODSERV","TOT","PC_GDP","A","2017",10.72,
"GBR","TAXGOODSERV","TOT","PC_GDP","A","2018",10.744,
"GBR","TAXGOODSERV","TOT","PC_GDP","A","2019",10.725,
"GBR","TAXGOODSERV","TOT","PC_GDP","A","2020",10.149,
"USA","TAXGOODSERV","TOT","PC_GDP","A","2017",4.293,
"USA","TAXGOODSERV","TOT","PC_GDP","A","2018",4.409,
"USA","TAXGOODSERV","TOT","PC_GDP","A","2019",4.381,
"USA","TAXGOODSERV","TOT","PC_GDP","A","2020",4.32,
"CHL","TAXGOODSERV","TOT","PC_GDP","A","2017",11.051,
"CHL","TAXGOODSERV","TOT","PC_GDP","A","2018",11.251,
"CHL","TAXGOODSERV","TOT","PC_GDP","A","2019",11.078,
"CHL","TAXGOODSERV","TOT","PC_GDP","A","2020",10.606,
"EST","TAXGOODSERV","TOT","PC_GDP","A","2017",14,
"EST","TAXGOODSERV","TOT","PC_GDP","A","2018",13.814,
"EST","TAXGOODSERV","TOT","PC_GDP","A","2019",14.216,
"EST","TAXGOODSERV","TOT","PC_GDP","A","2020",13.575,
"ISR","TAXGOODSERV","TOT","PC_GDP","A","2017",11.192,
"ISR","TAXGOODSERV","TOT","PC_GDP","A","2018",11.139,
"ISR","TAXGOODSERV","TOT","PC_GDP","A","2019",10.837,
"ISR","TAXGOODSERV","TOT","PC_GDP","A","2020",10.61,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2017",14.105,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2018",13.882,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2019",13.585,
"SVN","TAXGOODSERV","TOT","PC_GDP","A","2020",12.61,
"OAVG","TAXGOODSERV","TOT","PC_GDP","A","2017",10.867,
"OAVG","TAXGOODSERV","TOT","PC_GDP","A","2018",10.825,
"OAVG","TAXGOODSERV","TOT","PC_GDP","A","2019",10.752,
"LVA","TAXGOODSERV","TOT","PC_GDP","A","2017",13.601,
"LVA","TAXGOODSERV","TOT","PC_GDP","A","2018",14.035,
"LVA","TAXGOODSERV","TOT","PC_GDP","A","2019",14.073,
"LVA","TAXGOODSERV","TOT","PC_GDP","A","2020",14.042,
"LTU","TAXGOODSERV","TOT","PC_GDP","A","2017",11.6,
"LTU","TAXGOODSERV","TOT","PC_GDP","A","2018",11.531,
"LTU","TAXGOODSERV","TOT","PC_GDP","A","2019",11.556,
"LTU","TAXGOODSERV","TOT","PC_GDP","A","2020",11.723,
"COL","TAXGOODSERV","TOT","PC_GDP","A","2017",8.189,
"COL","TAXGOODSERV","TOT","PC_GDP","A","2018",8.241,
"COL","TAXGOODSERV","TOT","PC_GDP","A","2019",8.463,
"COL","TAXGOODSERV","TOT","PC_GDP","A","2020",7.755,
"CRI","TAXGOODSERV","TOT","PC_GDP","A","2017",8.372,
"CRI","TAXGOODSERV","TOT","PC_GDP","A","2018",8.115,
"CRI","TAXGOODSERV","TOT","PC_GDP","A","2019",8.206,
"CRI","TAXGOODSERV","TOT","PC_GDP","A","2020",7.629,
