"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",26.389,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",25.536,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",26.279,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",28.463,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",27.697,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",27.497,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",27.232,
"BEL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",25.049,
"BEL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",25.189,
"BEL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",25.649,
"BEL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",24.786,
"CAN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",23.581,
"CAN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",23.364,
"CAN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",22.79,
"CAN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",21.612,
"CZE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",33.382,
"CZE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",32.278,
"CZE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",31.872,
"CZE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",31.47,
"DNK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",31.898,
"DNK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",33.02,
"DNK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",30.302,
"DNK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",30.742,
"FIN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",33.058,
"FIN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",33.765,
"FIN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",33.664,
"FIN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",33.854,
"FRA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",26.438,
"FRA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",26.913,
"FRA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",27.558,
"FRA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",27.049,
"DEU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",26.782,
"DEU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",26.747,
"DEU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",26.647,
"DEU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",25.687,
"GRC","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",39.792,
"GRC","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",39.496,
"GRC","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",39.882,
"GRC","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",38.458,
"HUN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",42.995,
"HUN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",44.787,
"HUN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",44.652,
"HUN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",45.377,
"ISL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",33.535,
"ISL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",33.229,
"ISL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",32.3,
"ISL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",30.975,
"IRL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",32.923,
"IRL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",31.031,
"IRL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",30.847,
"IRL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",27.759,
"ITA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",28.84,
"ITA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",28.688,
"ITA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",28.302,
"ITA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",26.856,
"JPN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",20.972,
"JPN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",19.51,
"JPN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",19.728,
"KOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",27.728,
"KOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",26.275,
"KOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",25.817,
"KOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",24.395,
"LUX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",23.97,
"LUX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",23.159,
"LUX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",23.332,
"LUX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",23.048,
"MEX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",36.378,
"MEX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",36.38,
"MEX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",37.647,
"MEX","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",37.243,
"NLD","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",29.983,
"NLD","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",30.147,
"NLD","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",30.691,
"NLD","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",30.294,
"NZL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",38.443,
"NZL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",37.908,
"NZL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",38.698,
"NZL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",38.849,
"NOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",30.878,
"NOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",29.431,
"NOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",29.417,
"NOR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",32.198,
"POL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",37.402,
"POL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",37.189,
"POL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",36.537,
"POL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",33.787,
"PRT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",40.085,
"PRT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",39.691,
"PRT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",39.837,
"PRT","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",37.547,
"SVK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",35.255,
"SVK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",34.922,
"SVK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",35.03,
"SVK","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",35.103,
"ESP","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",29.99,
"ESP","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",29.492,
"ESP","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",28.899,
"ESP","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",26.749,
"SWE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",27.97,
"SWE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",28.216,
"SWE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",28.211,
"SWE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",28.633,
"CHE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",20.795,
"CHE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",20.486,
"CHE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",19.87,
"CHE","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",18.765,
"TUR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",43.477,
"TUR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",40.487,
"TUR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",39.005,
"TUR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",42.952,
"GBR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",32.613,
"GBR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",32.669,
"GBR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",32.779,
"GBR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",30.966,
"USA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",16.029,
"USA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",17.71,
"USA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",17.547,
"USA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",16.917,
"CHL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",54.777,
"CHL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",53.257,
"CHL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",53.029,
"CHL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",54.884,
"EST","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",43.012,
"EST","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",41.802,
"EST","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",42.403,
"EST","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",39.334,
"ISR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",34.657,
"ISR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",36.163,
"ISR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",35.871,
"ISR","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",35.694,
"SVN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",38.041,
"SVN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",37.246,
"SVN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",36.551,
"SVN","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",34.218,
"OAVG","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",33.102,
"OAVG","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",32.76,
"OAVG","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",32.634,
"LVA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",43.592,
"LVA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",45.065,
"LVA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",45.042,
"LVA","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",44.001,
"LTU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",39.129,
"LTU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",38.15,
"LTU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2019",38.166,
"LTU","TAXGOODSERV","TOT","PC_TOT_TAX","A","2020",37.514,
"COL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",43.14,
"COL","TAXGOODSERV","TOT","PC_TOT_TAX","A","2018",42.779,
