"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",4.852,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",4.832,
"AUS","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",4.736,
"AUT","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",6.624,
"AUT","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",6.397,
"AUT","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",6.37,
"AUT","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",6.515,
"BEL","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",0.004,
"BEL","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",0.004,
"BEL","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",0.004,
"BEL","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",0.002,
"CAN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",2.022,
"CAN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",1.989,
"CAN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",2.207,
"CAN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",2.216,
"CZE","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",0,
"CZE","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",0,
"CZE","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",0,
"CZE","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",0,
"DNK","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",0.551,
"DNK","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",0.634,
"DNK","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",0.605,
"DNK","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",0.602,
"FIN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",0,
"FIN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",0,
"FIN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",0,
"FIN","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",0,
"FRA","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",3.36,
"FRA","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",3.29,
"FRA","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",3.962,
"FRA","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",4.162,
"DEU","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",0,
"DEU","TAXPAYROLL","TOT","PC_TOT_TAX","A","2018",0,
"DEU","TAXPAYROLL","TOT","PC_TOT_TAX","A","2019",0,
"DEU","TAXPAYROLL","TOT","PC_TOT_TAX","A","2020",0,
"GRC","TAXPAYROLL","TOT","PC_TOT_TAX","A","2017",0,
