"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2017",40.392,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2018",41.179,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2019",42.023,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2017",21.676,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2018",22.23,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2019",22.598,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2020",21.975,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2017",27.171,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2018",26.923,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2019",26.525,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2020",27.668,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2017",35.562,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2018",35.739,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2019",36.018,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2020",36.339,
"CZE","TAXINCOME","TOT","PC_TOT_TAX","A","2017",11.491,
"CZE","TAXINCOME","TOT","PC_TOT_TAX","A","2018",12.205,
"CZE","TAXINCOME","TOT","PC_TOT_TAX","A","2019",12.682,
"CZE","TAXINCOME","TOT","PC_TOT_TAX","A","2020",13.518,
"DNK","TAXINCOME","TOT","PC_TOT_TAX","A","2017",53.099,
"DNK","TAXINCOME","TOT","PC_TOT_TAX","A","2018",54.495,
"DNK","TAXINCOME","TOT","PC_TOT_TAX","A","2019",52.085,
"DNK","TAXINCOME","TOT","PC_TOT_TAX","A","2020",54.228,
"FIN","TAXINCOME","TOT","PC_TOT_TAX","A","2017",29.156,
"FIN","TAXINCOME","TOT","PC_TOT_TAX","A","2018",28.87,
"FIN","TAXINCOME","TOT","PC_TOT_TAX","A","2019",28.983,
"FIN","TAXINCOME","TOT","PC_TOT_TAX","A","2020",30.014,
"FRA","TAXINCOME","TOT","PC_TOT_TAX","A","2017",18.563,
"FRA","TAXINCOME","TOT","PC_TOT_TAX","A","2018",20.532,
"FRA","TAXINCOME","TOT","PC_TOT_TAX","A","2019",20.717,
"FRA","TAXINCOME","TOT","PC_TOT_TAX","A","2020",21.047,
"DEU","TAXINCOME","TOT","PC_TOT_TAX","A","2017",27.17,
"DEU","TAXINCOME","TOT","PC_TOT_TAX","A","2018",27.194,
"DEU","TAXINCOME","TOT","PC_TOT_TAX","A","2019",27.386,
"DEU","TAXINCOME","TOT","PC_TOT_TAX","A","2020",27.037,
"GRC","TAXINCOME","TOT","PC_TOT_TAX","A","2017",16.131,
"GRC","TAXINCOME","TOT","PC_TOT_TAX","A","2018",16.066,
"GRC","TAXINCOME","TOT","PC_TOT_TAX","A","2019",15.191,
"HUN","TAXINCOME","TOT","PC_TOT_TAX","A","2017",14.063,
"HUN","TAXINCOME","TOT","PC_TOT_TAX","A","2018",14.662,
"HUN","TAXINCOME","TOT","PC_TOT_TAX","A","2019",14.181,
"HUN","TAXINCOME","TOT","PC_TOT_TAX","A","2020",14.839,
"ISL","TAXINCOME","TOT","PC_TOT_TAX","A","2017",38.17,
"ISL","TAXINCOME","TOT","PC_TOT_TAX","A","2018",39.777,
"ISL","TAXINCOME","TOT","PC_TOT_TAX","A","2019",40.993,
"ISL","TAXINCOME","TOT","PC_TOT_TAX","A","2020",42.319,
"IRL","TAXINCOME","TOT","PC_TOT_TAX","A","2017",31.913,
"IRL","TAXINCOME","TOT","PC_TOT_TAX","A","2018",31.405,
"IRL","TAXINCOME","TOT","PC_TOT_TAX","A","2019",31.698,
"IRL","TAXINCOME","TOT","PC_TOT_TAX","A","2020",32.718,
"ITA","TAXINCOME","TOT","PC_TOT_TAX","A","2017",25.818,
"ITA","TAXINCOME","TOT","PC_TOT_TAX","A","2018",25.692,
"ITA","TAXINCOME","TOT","PC_TOT_TAX","A","2019",25.82,
"ITA","TAXINCOME","TOT","PC_TOT_TAX","A","2020",26.9,
"JPN","TAXINCOME","TOT","PC_TOT_TAX","A","2017",18.815,
"JPN","TAXINCOME","TOT","PC_TOT_TAX","A","2018",19.077,
"JPN","TAXINCOME","TOT","PC_TOT_TAX","A","2019",18.786,
"KOR","TAXINCOME","TOT","PC_TOT_TAX","A","2017",17.857,
"KOR","TAXINCOME","TOT","PC_TOT_TAX","A","2018",18.414,
"KOR","TAXINCOME","TOT","PC_TOT_TAX","A","2019",17.503,
"KOR","TAXINCOME","TOT","PC_TOT_TAX","A","2020",18.811,
"LUX","TAXINCOME","TOT","PC_TOT_TAX","A","2017",23.766,
"LUX","TAXINCOME","TOT","PC_TOT_TAX","A","2018",23.623,
"LUX","TAXINCOME","TOT","PC_TOT_TAX","A","2019",23.917,
"LUX","TAXINCOME","TOT","PC_TOT_TAX","A","2020",25.465,
"NLD","TAXINCOME","TOT","PC_TOT_TAX","A","2017",21.553,
"NLD","TAXINCOME","TOT","PC_TOT_TAX","A","2018",20.533,
"NLD","TAXINCOME","TOT","PC_TOT_TAX","A","2019",21.604,
"NLD","TAXINCOME","TOT","PC_TOT_TAX","A","2020",22.818,
"NZL","TAXINCOME","TOT","PC_TOT_TAX","A","2017",37.787,
"NZL","TAXINCOME","TOT","PC_TOT_TAX","A","2018",37.529,
"NZL","TAXINCOME","TOT","PC_TOT_TAX","A","2019",39.546,
"NZL","TAXINCOME","TOT","PC_TOT_TAX","A","2020",38.595,
"NOR","TAXINCOME","TOT","PC_TOT_TAX","A","2017",26.533,
"NOR","TAXINCOME","TOT","PC_TOT_TAX","A","2018",25.354,
"NOR","TAXINCOME","TOT","PC_TOT_TAX","A","2019",26.01,
"NOR","TAXINCOME","TOT","PC_TOT_TAX","A","2020",29.17,
"POL","TAXINCOME","TOT","PC_TOT_TAX","A","2017",14.6,
"POL","TAXINCOME","TOT","PC_TOT_TAX","A","2018",15.11,
"POL","TAXINCOME","TOT","PC_TOT_TAX","A","2019",15.146,
"POL","TAXINCOME","TOT","PC_TOT_TAX","A","2020",14.41,
"PRT","TAXINCOME","TOT","PC_TOT_TAX","A","2017",18.855,
"PRT","TAXINCOME","TOT","PC_TOT_TAX","A","2018",18.72,
"PRT","TAXINCOME","TOT","PC_TOT_TAX","A","2019",18.396,
