"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2017",2.864,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2018",2.72,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2019",2.718,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2017",0.526,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2018",0.545,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2019",0.543,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2020",0.58,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2017",3.459,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2018",3.439,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2019",3.434,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2020",3.45,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2017",3.931,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2018",3.863,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2019",3.856,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2020",4.154,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2017",0.467,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2018",0.455,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2019",0.416,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2020",0.204,
"DNK","TAXPROPERTY","TOT","PC_GDP","A","2017",1.79,
"DNK","TAXPROPERTY","TOT","PC_GDP","A","2018",1.829,
"DNK","TAXPROPERTY","TOT","PC_GDP","A","2019",1.998,
"DNK","TAXPROPERTY","TOT","PC_GDP","A","2020",1.958,
"FIN","TAXPROPERTY","TOT","PC_GDP","A","2017",1.528,
"FIN","TAXPROPERTY","TOT","PC_GDP","A","2018",1.434,
"FIN","TAXPROPERTY","TOT","PC_GDP","A","2019",1.448,
"FIN","TAXPROPERTY","TOT","PC_GDP","A","2020",1.505,
"FRA","TAXPROPERTY","TOT","PC_GDP","A","2017",4.247,
"FRA","TAXPROPERTY","TOT","PC_GDP","A","2018",3.99,
"FRA","TAXPROPERTY","TOT","PC_GDP","A","2019",3.887,
"FRA","TAXPROPERTY","TOT","PC_GDP","A","2020",3.976,
"DEU","TAXPROPERTY","TOT","PC_GDP","A","2017",1.049,
"DEU","TAXPROPERTY","TOT","PC_GDP","A","2018",1.078,
"DEU","TAXPROPERTY","TOT","PC_GDP","A","2019",1.114,
"DEU","TAXPROPERTY","TOT","PC_GDP","A","2020",1.26,
"GRC","TAXPROPERTY","TOT","PC_GDP","A","2017",3.139,
"GRC","TAXPROPERTY","TOT","PC_GDP","A","2018",3.091,
"GRC","TAXPROPERTY","TOT","PC_GDP","A","2019",3.054,
"GRC","TAXPROPERTY","TOT","PC_GDP","A","2020",3.074,
"HUN","TAXPROPERTY","TOT","PC_GDP","A","2017",1.042,
"HUN","TAXPROPERTY","TOT","PC_GDP","A","2018",0.964,
"HUN","TAXPROPERTY","TOT","PC_GDP","A","2019",0.939,
"HUN","TAXPROPERTY","TOT","PC_GDP","A","2020",1.064,
"ISL","TAXPROPERTY","TOT","PC_GDP","A","2017",2.042,
"ISL","TAXPROPERTY","TOT","PC_GDP","A","2018",1.997,
"ISL","TAXPROPERTY","TOT","PC_GDP","A","2019",2.088,
"ISL","TAXPROPERTY","TOT","PC_GDP","A","2020",2.443,
"IRL","TAXPROPERTY","TOT","PC_GDP","A","2017",1.297,
"IRL","TAXPROPERTY","TOT","PC_GDP","A","2018",1.324,
"IRL","TAXPROPERTY","TOT","PC_GDP","A","2019",1.244,
"IRL","TAXPROPERTY","TOT","PC_GDP","A","2020",1.146,
"ITA","TAXPROPERTY","TOT","PC_GDP","A","2017",2.503,
"ITA","TAXPROPERTY","TOT","PC_GDP","A","2018",2.489,
"ITA","TAXPROPERTY","TOT","PC_GDP","A","2019",2.413,
"ITA","TAXPROPERTY","TOT","PC_GDP","A","2020",2.458,
"JPN","TAXPROPERTY","TOT","PC_GDP","A","2017",2.533,
"JPN","TAXPROPERTY","TOT","PC_GDP","A","2018",2.551,
"JPN","TAXPROPERTY","TOT","PC_GDP","A","2019",2.568,
"JPN","TAXPROPERTY","TOT","PC_GDP","A","2020",2.631,
"KOR","TAXPROPERTY","TOT","PC_GDP","A","2017",2.964,
"KOR","TAXPROPERTY","TOT","PC_GDP","A","2018",3.098,
"KOR","TAXPROPERTY","TOT","PC_GDP","A","2019",3.113,
"KOR","TAXPROPERTY","TOT","PC_GDP","A","2020",3.976,
"LUX","TAXPROPERTY","TOT","PC_GDP","A","2017",3.635,
"LUX","TAXPROPERTY","TOT","PC_GDP","A","2018",3.854,
"LUX","TAXPROPERTY","TOT","PC_GDP","A","2019",3.803,
"LUX","TAXPROPERTY","TOT","PC_GDP","A","2020",3.834,
"MEX","TAXPROPERTY","TOT","PC_GDP","A","2017",0.309,
"MEX","TAXPROPERTY","TOT","PC_GDP","A","2018",0.328,
"MEX","TAXPROPERTY","TOT","PC_GDP","A","2019",0.324,
"MEX","TAXPROPERTY","TOT","PC_GDP","A","2020",0.287,
"NLD","TAXPROPERTY","TOT","PC_GDP","A","2017",1.556,
"NLD","TAXPROPERTY","TOT","PC_GDP","A","2018",1.569,
"NLD","TAXPROPERTY","TOT","PC_GDP","A","2019",1.498,
