"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",10.065,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",9.533,
"AUS","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",9.823,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",1.256,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",1.29,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",1.275,
"AUT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",1.376,
"BEL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",7.887,
"BEL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",7.839,
"BEL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",8.043,
"BEL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",8.01,
"CAN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",11.898,
"CAN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",11.53,
"CAN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",11.405,
"CAN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",12.079,
"CZE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",1.355,
"CZE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",1.301,
"CZE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",1.196,
"CZE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",0.593,
"DNK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",3.936,
"DNK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",4.141,
"DNK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",4.287,
"DNK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",4.208,
"FIN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",3.567,
"FIN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",3.384,
"FIN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",3.428,
"FIN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",3.591,
"FRA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",9.219,
"FRA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",8.696,
"FRA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",8.66,
"FRA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",8.753,
"DEU","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",2.779,
"DEU","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",2.805,
"DEU","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",2.884,
"DEU","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",3.286,
"GRC","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",7.989,
"GRC","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",7.728,
"GRC","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",7.736,
"GRC","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",7.926,
"HUN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",2.753,
"HUN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",2.618,
"HUN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",2.576,
"HUN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",2.981,
"ISL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",5.5,
"ISL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",5.478,
"ISL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",5.992,
"ISL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",6.769,
"IRL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",5.745,
"IRL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",5.922,
"IRL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",5.679,
"IRL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",5.674,
"ITA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",5.972,
"ITA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",5.964,
"ITA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",5.69,
"ITA","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",5.728,
"JPN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",8.191,
"JPN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",8.086,
"JPN","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",8.176,
"KOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",11.688,
"KOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",11.61,
"KOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",11.4,
"KOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",14.21,
"LUX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",9.708,
"LUX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",9.766,
"LUX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",9.764,
"LUX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",10.018,
"MEX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",1.923,
"MEX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",2.03,
"MEX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",1.984,
"MEX","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",1.603,
"NLD","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",4.021,
"NLD","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",4.043,
"NLD","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",3.815,
"NLD","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",4.241,
"NZL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",5.973,
"NZL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",5.824,
"NZL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",6.169,
"NZL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",5.903,
"NOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",3.28,
"NOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",3.127,
"NOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",3.206,
"NOR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",3.357,
"POL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",3.992,
"POL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",3.735,
"POL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",3.601,
"POL","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",3.58,
"PRT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",3.974,
"PRT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",4.169,
"PRT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",4.127,
"PRT","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",4.178,
"SVK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",1.254,
"SVK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",1.208,
"SVK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",1.163,
"SVK","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",1.376,
"ESP","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",7.485,
"ESP","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",7.325,
"ESP","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",7.066,
"ESP","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",6.652,
"SWE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",2.23,
"SWE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",2.169,
"SWE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",2.185,
"SWE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",2.241,
"CHE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",7.554,
"CHE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",7.516,
"CHE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",7.705,
"CHE","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",7.8,
"TUR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",4.507,
"TUR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2018",4.32,
"TUR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2019",4.182,
"TUR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2020",4.445,
"GBR","TAXPROPERTY","TOT","PC_TOT_TAX","A","2017",12.59,
