"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALGRAD","TOT","100000HAB","A","2017",15.45,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2018",15.84,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2019",15.86,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2020",14.94,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2017",14.19,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2018",15.23,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2019",13.99,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2020",14.44,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2017",14.8,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2018",28.72,"B"
"BEL","MEDICALGRAD","TOT","100000HAB","A","2019",17.58,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2020",16.61,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2021",16.43,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2017",7.69,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2018",7.72,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2019",7.6,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2020",7.56,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2021",7.55,"P"
"CZE","MEDICALGRAD","TOT","100000HAB","A","2017",17.13,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2018",15.99,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2019",16.1,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2020",16.55,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2017",22.2,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2018",23.04,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2019",21.21,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2017",10.42,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2018",11.69,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2019",11.9,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2020",12.19,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2017",10.84,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2018",9.51,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2019",9.95,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2017",12.01,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2018",11.53,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2019",12.32,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2020",12.03,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2017",12.4,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2018",12.52,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2019",13.51,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2017",14.41,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2018",15.96,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2019",15.76,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2020",15.71,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2017",14.56,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2018",13.61,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2019",11.37,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2017",24.88,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2018",25.76,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2019",24.83,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2020",25.43,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2017",15.07,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2018",16.76,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2019",17.56,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2020",18.66,"P"
"JPN","MEDICALGRAD","TOT","100000HAB","A","2017",6.84,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2018",6.92,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2019",7.14,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2020",6.94,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2021",7.18,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2017",7.59,
