"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSE","TOT","1000HAB","A","2017",11.68,"E"
"AUS","NURSE","TOT","1000HAB","A","2018",11.92,"E"
"AUS","NURSE","TOT","1000HAB","A","2019",12.22,"E"
"AUS","NURSE","TOT","1000HAB","A","2020",12.26,"E"
"AUT","NURSE","TOT","1000HAB","A","2017",6.85,"D"
"AUT","NURSE","TOT","1000HAB","A","2018",6.87,"D"
"AUT","NURSE","TOT","1000HAB","A","2019",10.37,"B"
"AUT","NURSE","TOT","1000HAB","A","2020",10.48,
"CAN","NURSE","TOT","1000HAB","A","2017",10,
"CAN","NURSE","TOT","1000HAB","A","2018",9.95,
"CAN","NURSE","TOT","1000HAB","A","2019",9.98,
"CAN","NURSE","TOT","1000HAB","A","2020",10.06,
"CZE","NURSE","TOT","1000HAB","A","2017",8.5,"B"
"CZE","NURSE","TOT","1000HAB","A","2018",8.52,
"CZE","NURSE","TOT","1000HAB","A","2019",8.56,
"CZE","NURSE","TOT","1000HAB","A","2020",8.66,
"DNK","NURSE","TOT","1000HAB","A","2017",10.03,
"DNK","NURSE","TOT","1000HAB","A","2018",10.1,
"DNK","NURSE","TOT","1000HAB","A","2019",10.13,
"FIN","NURSE","TOT","1000HAB","A","2017",13.27,
"FIN","NURSE","TOT","1000HAB","A","2018",13.57,
"FRA","NURSE","TOT","1000HAB","A","2017",10.48,
"FRA","NURSE","TOT","1000HAB","A","2018",10.76,
"FRA","NURSE","TOT","1000HAB","A","2019",11.05,
"FRA","NURSE","TOT","1000HAB","A","2020",11.31,
"DEU","NURSE","TOT","1000HAB","A","2017",11.08,
"DEU","NURSE","TOT","1000HAB","A","2018",11.52,
"DEU","NURSE","TOT","1000HAB","A","2019",11.79,
"DEU","NURSE","TOT","1000HAB","A","2020",12.06,
"GRC","NURSE","TOT","1000HAB","A","2017",3.31,"D"
"GRC","NURSE","TOT","1000HAB","A","2018",3.37,"D"
"GRC","NURSE","TOT","1000HAB","A","2019",3.38,"D"
"HUN","NURSE","TOT","1000HAB","A","2017",6.51,"B"
"HUN","NURSE","TOT","1000HAB","A","2018",6.62,
"HUN","NURSE","TOT","1000HAB","A","2019",6.62,
"HUN","NURSE","TOT","1000HAB","A","2020",6.58,
"HUN","NURSE","TOT","1000HAB","A","2021",6.59,"P"
"ISL","NURSE","TOT","1000HAB","A","2017",14.5,
"ISL","NURSE","TOT","1000HAB","A","2018",14.67,
"ISL","NURSE","TOT","1000HAB","A","2019",15.36,
"ISL","NURSE","TOT","1000HAB","A","2020",15.63,
"ISL","NURSE","TOT","1000HAB","A","2021",15.1,
"IRL","NURSE","TOT","1000HAB","A","2017",12.16,
"IRL","NURSE","TOT","1000HAB","A","2018",12.88,
"IRL","NURSE","TOT","1000HAB","A","2019",13.31,
"IRL","NURSE","TOT","1000HAB","A","2021",14.69,
"JPN","NURSE","TOT","1000HAB","A","2018",11.76,
"JPN","NURSE","TOT","1000HAB","A","2020",12.1,
"KOR","NURSE","TOT","1000HAB","A","2017",6.95,
"KOR","NURSE","TOT","1000HAB","A","2018",7.24,
"KOR","NURSE","TOT","1000HAB","A","2019",7.93,
"KOR","NURSE","TOT","1000HAB","A","2020",8.37,
"LUX","NURSE","TOT","1000HAB","A","2017",11.72,
"MEX","NURSE","TOT","1000HAB","A","2017",2.87,
"MEX","NURSE","TOT","1000HAB","A","2018",2.87,
"MEX","NURSE","TOT","1000HAB","A","2019",2.85,
"MEX","NURSE","TOT","1000HAB","A","2020",2.91,
"NZL","NURSE","TOT","1000HAB","A","2017",10.13,
"NZL","NURSE","TOT","1000HAB","A","2018",10.21,
"NZL","NURSE","TOT","1000HAB","A","2019",10.24,
"NZL","NURSE","TOT","1000HAB","A","2020",10.6,
"NZL","NURSE","TOT","1000HAB","A","2021",10.91,
"NOR","NURSE","TOT","1000HAB","A","2017",17.66,
"NOR","NURSE","TOT","1000HAB","A","2018",17.71,
"NOR","NURSE","TOT","1000HAB","A","2019",17.88,
"NOR","NURSE","TOT","1000HAB","A","2020",18.01,
"NOR","NURSE","TOT","1000HAB","A","2021",18.37,
"POL","NURSE","TOT","1000HAB","A","2017",5.1,
"PRT","NURSE","TOT","1000HAB","A","2017",6.68,
"PRT","NURSE","TOT","1000HAB","A","2018",6.88,
"PRT","NURSE","TOT","1000HAB","A","2019",7.08,
"PRT","NURSE","TOT","1000HAB","A","2020",7.28,
"SVK","NURSE","TOT","1000HAB","A","2017",5.65,
"SVK","NURSE","TOT","1000HAB","A","2018",5.7,
"SVK","NURSE","TOT","1000HAB","A","2019",5.74,
"SVK","NURSE","TOT","1000HAB","A","2020",5.79,
"ESP","NURSE","TOT","1000HAB","A","2017",5.74,
"ESP","NURSE","TOT","1000HAB","A","2018",5.87,
"ESP","NURSE","TOT","1000HAB","A","2019",5.89,
"ESP","NURSE","TOT","1000HAB","A","2020",6.1,
"CHE","NURSE","TOT","1000HAB","A","2017",17.23,
"CHE","NURSE","TOT","1000HAB","A","2018",17.59,
"CHE","NURSE","TOT","1000HAB","A","2019",17.96,
"CHE","NURSE","TOT","1000HAB","A","2020",18.37,
"TUR","NURSE","TOT","1000HAB","A","2017",2.07,
"TUR","NURSE","TOT","1000HAB","A","2018",2.34,"B"
"TUR","NURSE","TOT","1000HAB","A","2019",2.4,
"TUR","NURSE","TOT","1000HAB","A","2020",2.73,
"GBR","NURSE","TOT","1000HAB","A","2017",7.83,"D"
"GBR","NURSE","TOT","1000HAB","A","2018",8.05,"D"
"GBR","NURSE","TOT","1000HAB","A","2019",8.2,"D"
"GBR","NURSE","TOT","1000HAB","A","2020",8.46,"D"
"GBR","NURSE","TOT","1000HAB","A","2021",8.68,"D"
"USA","NURSE","TOT","1000HAB","A","2017",11.76,
"USA","NURSE","TOT","1000HAB","A","2018",11.88,
"USA","NURSE","TOT","1000HAB","A","2019",11.97,
"USA","NURSE","TOT","1000HAB","A","2020",11.83,
"USA","NURSE","TOT","1000HAB","A","2021",11.98,
"BRA","NURSE","TOT","1000HAB","A","2017",1.14,
"BRA","NURSE","TOT","1000HAB","A","2018",1.21,
"BRA","NURSE","TOT","1000HAB","A","2019",1.27,
"BRA","NURSE","TOT","1000HAB","A","2020",1.42,
"BRA","NURSE","TOT","1000HAB","A","2021",1.55,
"CHN","NURSE","TOT","1000HAB","A","2017",2.68,"D"
"CHN","NURSE","TOT","1000HAB","A","2018",2.87,
"CHN","NURSE","TOT","1000HAB","A","2019",3.1,"D"
"CHN","NURSE","TOT","1000HAB","A","2020",3.27,"D"
"EST","NURSE","TOT","1000HAB","A","2017",6.19,
"EST","NURSE","TOT","1000HAB","A","2018",6.29,
"EST","NURSE","TOT","1000HAB","A","2019",6.24,
"EST","NURSE","TOT","1000HAB","A","2020",6.38,
"IND","NURSE","TOT","1000HAB","A","2017",1.53,"D"
"IND","NURSE","TOT","1000HAB","A","2018",1.57,"D"
"IDN","NURSE","TOT","1000HAB","A","2017",1.32,
"IDN","NURSE","TOT","1000HAB","A","2018",1.7,
"IDN","NURSE","TOT","1000HAB","A","2019",2.17,
"IDN","NURSE","TOT","1000HAB","A","2020",2.28,
"ISR","NURSE","TOT","1000HAB","A","2017",5.08,
"ISR","NURSE","TOT","1000HAB","A","2018",5.03,
"ISR","NURSE","TOT","1000HAB","A","2019",5.01,
"ISR","NURSE","TOT","1000HAB","A","2020",5.14,
"RUS","NURSE","TOT","1000HAB","A","2017",8.47,
"RUS","NURSE","TOT","1000HAB","A","2018",8.46,
"RUS","NURSE","TOT","1000HAB","A","2019",8.48,
"SVN","NURSE","TOT","1000HAB","A","2017",9.92,
"SVN","NURSE","TOT","1000HAB","A","2018",10.14,
"SVN","NURSE","TOT","1000HAB","A","2019",10.28,
"SVN","NURSE","TOT","1000HAB","A","2020",10.47,
"ZAF","NURSE","TOT","1000HAB","A","2017",1.31,"D"
"ZAF","NURSE","TOT","1000HAB","A","2018",1.22,"D"
"ZAF","NURSE","TOT","1000HAB","A","2019",1.1,"D"
"ZAF","NURSE","TOT","1000HAB","A","2020",1.03,"D"
"ITA","NURSE","TOT","1000HAB","A","2017",6.71,
"ITA","NURSE","TOT","1000HAB","A","2018",6.73,
"ITA","NURSE","TOT","1000HAB","A","2019",6.68,
"ITA","NURSE","TOT","1000HAB","A","2020",6.6,
"BEL","NURSE","TOT","1000HAB","A","2017",11.22,
"BEL","NURSE","TOT","1000HAB","A","2018",11.07,
"SWE","NURSE","TOT","1000HAB","A","2017",10.92,
"SWE","NURSE","TOT","1000HAB","A","2018",10.88,
"SWE","NURSE","TOT","1000HAB","A","2019",10.85,
"LVA","NURSE","TOT","1000HAB","A","2017",4.57,
"LVA","NURSE","TOT","1000HAB","A","2018",4.35,
"LVA","NURSE","TOT","1000HAB","A","2019",4.39,
"LVA","NURSE","TOT","1000HAB","A","2020",4.18,"B"
"LTU","NURSE","TOT","1000HAB","A","2017",7.71,
"LTU","NURSE","TOT","1000HAB","A","2018",7.78,
"LTU","NURSE","TOT","1000HAB","A","2019",7.74,
"LTU","NURSE","TOT","1000HAB","A","2020",7.81,
