"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2017",842.349,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2018",842.565,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2019",753.752,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",916.955,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",946.897,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2019",1015.72,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2020",867.304,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",791.44,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2018",807.08,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2019",780.277,
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2020",724.5,"P"
"CAN","HEALTHEXP","OOPEXP","USD_CAP","A","2021",744.146,"P"
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2017",431.958,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2018",443.834,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2019",461.137,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2020",438.546,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2017",700.148,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2018",733.603,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2019",739.351,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2020",730.47,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2021",790.412,"P"
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",802.847,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2018",795.477,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2019",764.685,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2020",747.007,
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2017",488.411,
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2018",484.791,
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2019",488.823,
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2020",488.895,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2017",764.271,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2018",820.913,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2019",856.397,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2020",862.928,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2021",858.389,"P"
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2017",787.688,
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2018",835.144,
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2019",790.461,
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2020",831.311,
"HUN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",544.614,
"HUN","HEALTHEXP","OOPEXP","USD_CAP","A","2018",564.415,
"HUN","HEALTHEXP","OOPEXP","USD_CAP","A","2019",582.182,
"HUN","HEALTHEXP","OOPEXP","USD_CAP","A","2020",613.075,
"ISL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",676.28,
"ISL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",675.04,
"ISL","HEALTHEXP","OOPEXP","USD_CAP","A","2019",671.294,
"ISL","HEALTHEXP","OOPEXP","USD_CAP","A","2020",693.759,
"ISL","HEALTHEXP","OOPEXP","USD_CAP","A","2021",754.602,"P"
"IRL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",590.501,
"IRL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",585.584,
"IRL","HEALTHEXP","OOPEXP","USD_CAP","A","2019",585.098,
"IRL","HEALTHEXP","OOPEXP","USD_CAP","A","2020",564.337,
"IRL","HEALTHEXP","OOPEXP","USD_CAP","A","2021",602.376,"P"
"ITA","HEALTHEXP","OOPEXP","USD_CAP","A","2017",803.712,
"ITA","HEALTHEXP","OOPEXP","USD_CAP","A","2018",823.31,
"ITA","HEALTHEXP","OOPEXP","USD_CAP","A","2019",836.449,
"ITA","HEALTHEXP","OOPEXP","USD_CAP","A","2020",797.308,
"ITA","HEALTHEXP","OOPEXP","USD_CAP","A","2021",878.424,"P"
"JPN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",558.443,
"JPN","HEALTHEXP","OOPEXP","USD_CAP","A","2018",591.808,
"JPN","HEALTHEXP","OOPEXP","USD_CAP","A","2019",594.874,
"JPN","HEALTHEXP","OOPEXP","USD_CAP","A","2020",621.042,"P"
"KOR","HEALTHEXP","OOPEXP","USD_CAP","A","2017",908.694,
"KOR","HEALTHEXP","OOPEXP","USD_CAP","A","2018",992.747,
"KOR","HEALTHEXP","OOPEXP","USD_CAP","A","2019",991.199,
"KOR","HEALTHEXP","OOPEXP","USD_CAP","A","2020",994.077,
"KOR","HEALTHEXP","OOPEXP","USD_CAP","A","2021",1039.584,"P"
"LUX","HEALTHEXP","OOPEXP","USD_CAP","A","2017",531.893,
"LUX","HEALTHEXP","OOPEXP","USD_CAP","A","2018",552.262,
"LUX","HEALTHEXP","OOPEXP","USD_CAP","A","2019",515.787,"B"
"LUX","HEALTHEXP","OOPEXP","USD_CAP","A","2020",474.095,
"MEX","HEALTHEXP","OOPEXP","USD_CAP","A","2017",459.525,
"MEX","HEALTHEXP","OOPEXP","USD_CAP","A","2018",474.787,
"MEX","HEALTHEXP","OOPEXP","USD_CAP","A","2019",472.391,
"MEX","HEALTHEXP","OOPEXP","USD_CAP","A","2020",475.567,
"NLD","HEALTHEXP","OOPEXP","USD_CAP","A","2017",580.482,
"NLD","HEALTHEXP","OOPEXP","USD_CAP","A","2018",592.034,
"NLD","HEALTHEXP","OOPEXP","USD_CAP","A","2019",596.346,
"NLD","HEALTHEXP","OOPEXP","USD_CAP","A","2020",574.317,
"NZL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",521.675,"P"
"NZL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",505.245,"P"
"NOR","HEALTHEXP","OOPEXP","USD_CAP","A","2017",904.728,
"NOR","HEALTHEXP","OOPEXP","USD_CAP","A","2018",907.274,
"NOR","HEALTHEXP","OOPEXP","USD_CAP","A","2019",897.617,
"NOR","HEALTHEXP","OOPEXP","USD_CAP","A","2020",893.509,"P"
"POL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",468.992,
"POL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",430.187,
"POL","HEALTHEXP","OOPEXP","USD_CAP","A","2019",448.496,
"POL","HEALTHEXP","OOPEXP","USD_CAP","A","2020",446.591,
"POL","HEALTHEXP","OOPEXP","USD_CAP","A","2021",502.226,"P"
"PRT","HEALTHEXP","OOPEXP","USD_CAP","A","2017",862.861,
"PRT","HEALTHEXP","OOPEXP","USD_CAP","A","2018",937.648,
"PRT","HEALTHEXP","OOPEXP","USD_CAP","A","2019",986.679,
"PRT","HEALTHEXP","OOPEXP","USD_CAP","A","2020",930.684,
"PRT","HEALTHEXP","OOPEXP","USD_CAP","A","2021",1091.33,"P"
"SVK","HEALTHEXP","OOPEXP","USD_CAP","A","2017",369.47,
"SVK","HEALTHEXP","OOPEXP","USD_CAP","A","2018",379.853,
"SVK","HEALTHEXP","OOPEXP","USD_CAP","A","2019",405.307,
"SVK","HEALTHEXP","OOPEXP","USD_CAP","A","2020",398.606,
"ESP","HEALTHEXP","OOPEXP","USD_CAP","A","2017",738.092,
"ESP","HEALTHEXP","OOPEXP","USD_CAP","A","2018",762.388,
"ESP","HEALTHEXP","OOPEXP","USD_CAP","A","2019",766.667,
"ESP","HEALTHEXP","OOPEXP","USD_CAP","A","2020",729.646,
"SWE","HEALTHEXP","OOPEXP","USD_CAP","A","2017",735.238,
"SWE","HEALTHEXP","OOPEXP","USD_CAP","A","2018",756.467,
"SWE","HEALTHEXP","OOPEXP","USD_CAP","A","2019",738.836,
"SWE","HEALTHEXP","OOPEXP","USD_CAP","A","2020",750.269,"P"
"SWE","HEALTHEXP","OOPEXP","USD_CAP","A","2021",841.23,"P"
"CHE","HEALTHEXP","OOPEXP","USD_CAP","A","2017",1813.154,
"CHE","HEALTHEXP","OOPEXP","USD_CAP","A","2018",1837.962,
"CHE","HEALTHEXP","OOPEXP","USD_CAP","A","2019",1755.956,
"CHE","HEALTHEXP","OOPEXP","USD_CAP","A","2020",1576.985,
"TUR","HEALTHEXP","OOPEXP","USD_CAP","A","2017",204.377,
"TUR","HEALTHEXP","OOPEXP","USD_CAP","A","2018",210.825,
"TUR","HEALTHEXP","OOPEXP","USD_CAP","A","2019",209.964,
"TUR","HEALTHEXP","OOPEXP","USD_CAP","A","2020",214.372,
"GBR","HEALTHEXP","OOPEXP","USD_CAP","A","2017",612.26,
"GBR","HEALTHEXP","OOPEXP","USD_CAP","A","2018",641.852,
"GBR","HEALTHEXP","OOPEXP","USD_CAP","A","2019",670.225,
"GBR","HEALTHEXP","OOPEXP","USD_CAP","A","2020",629.229,"P"
