"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.1,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.3,
"AUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.1,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.7,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.3,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4.5,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",4.7,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",4.4,
"CAN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",4.5,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.6,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.6,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",2.3,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.8,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.7,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.2,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.1,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.1,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",1.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.9,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.6,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2021",3.6,"P"
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.3,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.2,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.2,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.1,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.5,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.5,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.7,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.2,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.5,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.3,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.6,
"HUN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.4,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",1.7,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",1.1,
"ISL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",2.9,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.9,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.8,
"IRL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.8,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.4,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",2.4,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",1.9,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",1.9,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",1.9,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",1.8,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.8,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.8,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.7,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",2.5,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.2,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",4.3,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",4.7,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",4.5,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",13.5,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",12.9,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",13.1,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",13.8,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",3.6,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.5,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.6,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.8,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4.7,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",4.3,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.2,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",2.3,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",1.6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.8,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",3.8,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",3.6,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",3.3,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",2.8,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",2.4,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",4.5,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2018",5,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2019",5.1,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2020",5.1,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2017",2.7,
