"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FLUVACCIN","TOT","PC_POP65","A","2019",56.2,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2020",62.2,
"AUS","FLUVACCIN","TOT","PC_POP65","A","2021",61.9,"B"
"AUT","FLUVACCIN","TOT","PC_POP65","A","2019",18.3,
"BEL","FLUVACCIN","TOT","PC_POP65","A","2018",59.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2017",61.1,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2018",59,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2019",60.2,
"CAN","FLUVACCIN","TOT","PC_POP65","A","2020",64.7,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2017",20.3,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2018",21.5,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2019",22.9,
"CZE","FLUVACCIN","TOT","PC_POP65","A","2020",23.9,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2017",50,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2018",52,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2019",52,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2020",75,
"DNK","FLUVACCIN","TOT","PC_POP65","A","2021",78,"P"
"FIN","FLUVACCIN","TOT","PC_POP65","A","2017",47.7,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2018",49.6,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2019",47.3,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2020",53.7,
"FIN","FLUVACCIN","TOT","PC_POP65","A","2021",62.7,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2017",49.7,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2018",51,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2019",52,
"FRA","FLUVACCIN","TOT","PC_POP65","A","2020",59.9,
"DEU","FLUVACCIN","TOT","PC_POP65","A","2017",34.8,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2018",38,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2019",38.8,"D"
"DEU","FLUVACCIN","TOT","PC_POP65","A","2020",47.3,"D"
"GRC","FLUVACCIN","TOT","PC_POP65","A","2018",51,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2019",58.9,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2020",73.5,
"GRC","FLUVACCIN","TOT","PC_POP65","A","2021",65.3,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2017",26.8,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2018",24.1,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2019",23.6,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2020",30.5,
"HUN","FLUVACCIN","TOT","PC_POP65","A","2021",22.3,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2017",57.6,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2018",68.5,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2019",58.9,
"IRL","FLUVACCIN","TOT","PC_POP65","A","2020",70.5,"B"
"IRL","FLUVACCIN","TOT","PC_POP65","A","2021",75.4,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2017",52,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2018",52.7,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2019",53.1,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2020",54.6,
"ITA","FLUVACCIN","TOT","PC_POP65","A","2021",65.3,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2017",48,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2018",48,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2019",50,
"JPN","FLUVACCIN","TOT","PC_POP65","A","2020",66,"P"
"KOR","FLUVACCIN","TOT","PC_POP65","A","2017",82.7,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2018",85.1,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2019",85.8,
"KOR","FLUVACCIN","TOT","PC_POP65","A","2020",80.7,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2017",37.6,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2018",39.8,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2019",40.4,
"LUX","FLUVACCIN","TOT","PC_POP65","A","2020",46.3,"P"
"MEX","FLUVACCIN","TOT","PC_POP65","A","2017",88.4,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2018",78.7,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2019",76.1,
"MEX","FLUVACCIN","TOT","PC_POP65","A","2020",72.6,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2017",60.4,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2018",60.3,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2019",61.3,
"NLD","FLUVACCIN","TOT","PC_POP65","A","2020",67.9,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2017",65,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2018",65,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2019",62,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2020",73,
"NZL","FLUVACCIN","TOT","PC_POP65","A","2021",69,
"NOR","FLUVACCIN","TOT","PC_POP65","A","2017",34.4,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2018",38.2,"E"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2019",43,"B"
"NOR","FLUVACCIN","TOT","PC_POP65","A","2020",57,
"NOR","FLUVACCIN","TOT","PC_POP65","A","2021",65.5,
"POL","FLUVACCIN","TOT","PC_POP65","A","2019",10.4,
"PRT","FLUVACCIN","TOT","PC_POP65","A","2017",60.8,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2017",13,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2018",12.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2019",11.5,
"SVK","FLUVACCIN","TOT","PC_POP65","A","2020",12.8,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2017",55.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2018",54.3,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2019",54.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2020",67.7,
"ESP","FLUVACCIN","TOT","PC_POP65","A","2021",69,"P"
"SWE","FLUVACCIN","TOT","PC_POP65","A","2017",49.8,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2018",52.2,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2019",52.8,
"SWE","FLUVACCIN","TOT","PC_POP65","A","2020",60.4,
"TUR","FLUVACCIN","TOT","PC_POP65","A","2019",5.9,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2017",72.6,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2018",72,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2019",72.4,
"GBR","FLUVACCIN","TOT","PC_POP65","A","2020",72.4,"E"
"USA","FLUVACCIN","TOT","PC_POP65","A","2017",67.8,
"USA","FLUVACCIN","TOT","PC_POP65","A","2018",68.7,
"USA","FLUVACCIN","TOT","PC_POP65","A","2019",67,"B"
"USA","FLUVACCIN","TOT","PC_POP65","A","2020",67.5,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2017",59,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2018",64.7,
"CHL","FLUVACCIN","TOT","PC_POP65","A","2019",68.3,
