"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FIXWIRED","TOT","100HAB","Q","2020-Q4",35.416,
"AUS","FIXWIRED","TOT","100HAB","Q","2021-Q2",35.358,
"AUS","FIXWIRED","TOT","100HAB","Q","2021-Q4",35.532,
"AUT","FIXWIRED","TOT","100HAB","Q","2020-Q4",29.137,
"AUT","FIXWIRED","TOT","100HAB","Q","2021-Q2",29.169,
"AUT","FIXWIRED","TOT","100HAB","Q","2021-Q4",28.946,
"BEL","FIXWIRED","TOT","100HAB","Q","2020-Q4",41.01,
"BEL","FIXWIRED","TOT","100HAB","Q","2021-Q2",41.483,
"BEL","FIXWIRED","TOT","100HAB","Q","2021-Q4",41.691,
"CAN","FIXWIRED","TOT","100HAB","Q","2020-Q4",40.94,
"CAN","FIXWIRED","TOT","100HAB","Q","2021-Q2",41.645,
"CAN","FIXWIRED","TOT","100HAB","Q","2021-Q4",41.477,
"CZE","FIXWIRED","TOT","100HAB","Q","2020-Q4",35.847,
"CZE","FIXWIRED","TOT","100HAB","Q","2021-Q2",36.603,
"CZE","FIXWIRED","TOT","100HAB","Q","2021-Q4",36.819,
"DNK","FIXWIRED","TOT","100HAB","Q","2020-Q4",44.221,
"DNK","FIXWIRED","TOT","100HAB","Q","2021-Q2",44.597,
"DNK","FIXWIRED","TOT","100HAB","Q","2021-Q4",44.651,
"FIN","FIXWIRED","TOT","100HAB","Q","2020-Q4",33.377,
"FIN","FIXWIRED","TOT","100HAB","Q","2021-Q2",33.359,
"FIN","FIXWIRED","TOT","100HAB","Q","2021-Q4",33.637,
"FRA","FIXWIRED","TOT","100HAB","Q","2020-Q4",45.019,
"FRA","FIXWIRED","TOT","100HAB","Q","2021-Q2",45.606,
"FRA","FIXWIRED","TOT","100HAB","Q","2021-Q4",46.129,
"DEU","FIXWIRED","TOT","100HAB","Q","2020-Q4",43.548,
"DEU","FIXWIRED","TOT","100HAB","Q","2021-Q2",43.941,
"DEU","FIXWIRED","TOT","100HAB","Q","2021-Q4",44.329,
"GRC","FIXWIRED","TOT","100HAB","Q","2020-Q4",39.874,
"GRC","FIXWIRED","TOT","100HAB","Q","2021-Q2",40.505,
"GRC","FIXWIRED","TOT","100HAB","Q","2021-Q4",41.248,
"HUN","FIXWIRED","TOT","100HAB","Q","2020-Q4",33.49,
"HUN","FIXWIRED","TOT","100HAB","Q","2021-Q2",33.984,
"HUN","FIXWIRED","TOT","100HAB","Q","2021-Q4",34.831,
"ISL","FIXWIRED","TOT","100HAB","Q","2020-Q4",38.695,
"ISL","FIXWIRED","TOT","100HAB","Q","2021-Q2",38.595,
"ISL","FIXWIRED","TOT","100HAB","Q","2021-Q4",38.423,
"IRL","FIXWIRED","TOT","100HAB","Q","2020-Q4",30.445,
"IRL","FIXWIRED","TOT","100HAB","Q","2021-Q2",31.216,
"IRL","FIXWIRED","TOT","100HAB","Q","2021-Q4",31.423,
"ITA","FIXWIRED","TOT","100HAB","Q","2020-Q4",30.583,
"ITA","FIXWIRED","TOT","100HAB","Q","2021-Q2",31.159,
"ITA","FIXWIRED","TOT","100HAB","Q","2021-Q4",31.613,
"JPN","FIXWIRED","TOT","100HAB","Q","2020-Q4",33.661,
"JPN","FIXWIRED","TOT","100HAB","Q","2021-Q2",34.266,
"JPN","FIXWIRED","TOT","100HAB","Q","2021-Q4",34.77,
"KOR","FIXWIRED","TOT","100HAB","Q","2020-Q4",43.118,
"KOR","FIXWIRED","TOT","100HAB","Q","2021-Q2",43.781,
"KOR","FIXWIRED","TOT","100HAB","Q","2021-Q4",44.164,
"LUX","FIXWIRED","TOT","100HAB","Q","2020-Q4",37.268,
"LUX","FIXWIRED","TOT","100HAB","Q","2021-Q2",38.219,
"LUX","FIXWIRED","TOT","100HAB","Q","2021-Q4",38.003,
"MEX","FIXWIRED","TOT","100HAB","Q","2020-Q4",17.731,
"MEX","FIXWIRED","TOT","100HAB","Q","2021-Q2",18.405,
"MEX","FIXWIRED","TOT","100HAB","Q","2021-Q4",18.903,
"NLD","FIXWIRED","TOT","100HAB","Q","2020-Q4",43.143,
"NLD","FIXWIRED","TOT","100HAB","Q","2021-Q2",43.418,
"NLD","FIXWIRED","TOT","100HAB","Q","2021-Q4",43.289,
"NZL","FIXWIRED","TOT","100HAB","Q","2020-Q4",34.736,
"NZL","FIXWIRED","TOT","100HAB","Q","2021-Q2",35.434,
"NZL","FIXWIRED","TOT","100HAB","Q","2021-Q4",35.75,
"NOR","FIXWIRED","TOT","100HAB","Q","2020-Q4",44.638,
"NOR","FIXWIRED","TOT","100HAB","Q","2021-Q2",44.935,
"NOR","FIXWIRED","TOT","100HAB","Q","2021-Q4",44.908,
"POL","FIXWIRED","TOT","100HAB","Q","2020-Q4",21.814,
"POL","FIXWIRED","TOT","100HAB","Q","2021-Q2",22.113,
"POL","FIXWIRED","TOT","100HAB","Q","2021-Q4",22.712,
"PRT","FIXWIRED","TOT","100HAB","Q","2020-Q4",40.408,
"PRT","FIXWIRED","TOT","100HAB","Q","2021-Q2",41.085,
"PRT","FIXWIRED","TOT","100HAB","Q","2021-Q4",41.914,
"SVK","FIXWIRED","TOT","100HAB","Q","2020-Q4",31.161,
"SVK","FIXWIRED","TOT","100HAB","Q","2021-Q2",31.489,
"SVK","FIXWIRED","TOT","100HAB","Q","2021-Q4",32.556,
"ESP","FIXWIRED","TOT","100HAB","Q","2020-Q4",33.472,
"ESP","FIXWIRED","TOT","100HAB","Q","2021-Q2",34.143,
"ESP","FIXWIRED","TOT","100HAB","Q","2021-Q4",34.637,
"SWE","FIXWIRED","TOT","100HAB","Q","2020-Q4",40.369,
"SWE","FIXWIRED","TOT","100HAB","Q","2021-Q2",40.526,
"SWE","FIXWIRED","TOT","100HAB","Q","2021-Q4",40.829,
"CHE","FIXWIRED","TOT","100HAB","Q","2020-Q4",47.582,
"CHE","FIXWIRED","TOT","100HAB","Q","2021-Q2",48.193,
"CHE","FIXWIRED","TOT","100HAB","Q","2021-Q4",48.418,
"TUR","FIXWIRED","TOT","100HAB","Q","2020-Q4",20.069,
"TUR","FIXWIRED","TOT","100HAB","Q","2021-Q2",20.823,
"TUR","FIXWIRED","TOT","100HAB","Q","2021-Q4",21.552,
"GBR","FIXWIRED","TOT","100HAB","Q","2020-Q4",40.774,
"GBR","FIXWIRED","TOT","100HAB","Q","2021-Q2",41.056,
"GBR","FIXWIRED","TOT","100HAB","Q","2021-Q4",41.076,
"USA","FIXWIRED","TOT","100HAB","Q","2020-Q4",36.508,
"USA","FIXWIRED","TOT","100HAB","Q","2021-Q2",37.369,
"USA","FIXWIRED","TOT","100HAB","Q","2021-Q4",38.449,
"CHL","FIXWIRED","TOT","100HAB","Q","2020-Q4",19.359,
"CHL","FIXWIRED","TOT","100HAB","Q","2021-Q2",21.014,
"CHL","FIXWIRED","TOT","100HAB","Q","2021-Q4",21.775,
"EST","FIXWIRED","TOT","100HAB","Q","2020-Q4",32.733,
"EST","FIXWIRED","TOT","100HAB","Q","2021-Q2",35.317,
"EST","FIXWIRED","TOT","100HAB","Q","2021-Q4",35.665,
"ISR","FIXWIRED","TOT","100HAB","Q","2020-Q4",28.24,
"ISR","FIXWIRED","TOT","100HAB","Q","2021-Q2",28.392,
"ISR","FIXWIRED","TOT","100HAB","Q","2021-Q4",28.16,
"SVN","FIXWIRED","TOT","100HAB","Q","2020-Q4",30.767,
"SVN","FIXWIRED","TOT","100HAB","Q","2021-Q2",31.26,
"SVN","FIXWIRED","TOT","100HAB","Q","2021-Q4",31.638,
"OECD","FIXWIRED","TOT","100HAB","Q","2020-Q4",33.194,
"OECD","FIXWIRED","TOT","100HAB","Q","2021-Q2",33.835,
"OECD","FIXWIRED","TOT","100HAB","Q","2021-Q4",34.382,
"AUS","FIXWIRED","CABLE","100HAB","Q","2020-Q4",8.15,
"AUS","FIXWIRED","CABLE","100HAB","Q","2021-Q2",7.949,
"AUS","FIXWIRED","CABLE","100HAB","Q","2021-Q4",7.932,
"AUS","FIXWIRED","DSL","100HAB","Q","2020-Q4",17.738,
"AUS","FIXWIRED","DSL","100HAB","Q","2021-Q2",17.514,
"AUS","FIXWIRED","DSL","100HAB","Q","2021-Q4",17.273,
