"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",123.266,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",123.258,
"AUS","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",123.533,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",113.826,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",115.059,
"AUT","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",118.181,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",89.553,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",90.458,
"BEL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",93.385,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",71.618,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",73.066,
"CAN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",74.904,
"CZE","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",94.473,
"CZE","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",97.658,
"CZE","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",100.095,
"DNK","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",137.774,
"DNK","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",138.937,
"DNK","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",141.701,
"FIN","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",156.038,
"FIN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",155.676,
"FIN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",156.997,
"FRA","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",95.139,
"FRA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",97.722,
"FRA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",99.283,
"DEU","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",91.369,
"DEU","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",92.569,
"DEU","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",94.63,
"GRC","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",86.193,
"GRC","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",88.778,
"GRC","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",92.56,
"HUN","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",75.443,
"HUN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",77.041,
"HUN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",82.206,
"ISL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",114.388,
"ISL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",118.239,
"ISL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",118.779,
"IRL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",103.644,
"IRL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",104.728,
"IRL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",107.942,
"ITA","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",94.776,
"ITA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",95.173,
"ITA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",97.038,
"JPN","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",185.361,
"JPN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",187.697,
"JPN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",190.477,
"KOR","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",115.742,
"KOR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",116.443,
"KOR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",116.879,
"LUX","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",107.562,
"LUX","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",110.119,
"LUX","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",111.321,
"MEX","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",79.857,
"MEX","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",81.286,
"MEX","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",85.013,
"NLD","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",127.68,
"NLD","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",129.369,
"NLD","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",133.722,
"NZL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",91.118,
"NZL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",104.243,
"NZL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",100.404,
"NOR","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",102.353,
"NOR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",103.122,
"NOR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",105.255,
"POL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",124.588,
"POL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",132.863,
"POL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",131.268,
"PRT","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",80.046,
"PRT","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",82.464,
"PRT","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",88.552,
"SVK","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",88.332,
"SVK","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",89.738,
"SVK","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",88.679,
"ESP","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",103.964,
"ESP","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",105.164,
"ESP","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",107.669,
"SWE","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",125.828,
"SWE","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",127.207,
"SWE","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",127.224,
"CHE","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",101.543,
"CHE","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",101.866,
"CHE","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",101.374,
"TUR","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",78.707,
"TUR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",81.93,
"TUR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",83.222,
"GBR","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",108.969,
"GBR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",109.951,
"GBR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",112.882,
"USA","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",157.119,
"USA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",161.939,
"USA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",168.995,
"CHL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",99.598,
"CHL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",105.365,
"CHL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",108.093,
"EST","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",164.754,
"EST","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",173.198,
"EST","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",179.948,
"ISR","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",133.246,
"ISR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",137.853,
"ISR","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",139.868,
"SVN","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",86.811,
"SVN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",88.828,
"SVN","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",91.274,
"OECD","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",118.397,
"OECD","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",121.118,
"OECD","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",124.545,
"COL","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",63.639,
"COL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",66.42,
"COL","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",73.62,
"LVA","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",140.187,
"LVA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",138.16,
"LVA","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",141.556,
"LTU","WIRELESSWIRED","TOT","100HAB","Q","2020-Q4",114.158,
"LTU","WIRELESSWIRED","TOT","100HAB","Q","2021-Q2",117.583,
"LTU","WIRELESSWIRED","TOT","100HAB","Q","2021-Q4",121.751,
