"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",35.66666667,
"AUS","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",57.74801586,"B"
"AUS","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",41.16666667,
"AUS","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",56.61832912,"B"
"AUS","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",34.31603774,
"AUS","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",68.00829346,"B"
"AUS","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",43.16037736,
"AUS","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",78.03653568,"B"
"BEL","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",47.02549575,
"BEL","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",65.64935083,"B"
"BEL","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",35.69405099,
"BEL","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",73.92868504,"B"
"BEL","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",45.47368421,
"BEL","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",71.53037036,"B"
"BEL","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",39.15789474,
"BEL","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",77.84861032,"B"
"CAN","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",33.39253996,
"CAN","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",65.70568653,"B"
"CAN","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",46.71403197,
"CAN","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",66.1701509,"B"
"CAN","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",34.01920439,
"CAN","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",78.92792244,"B"
"CAN","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",46.63923182,
"CAN","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",77.88501986,"B"
"CZE","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",53.31125828,
"CZE","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",63.81513838,"B"
"CZE","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",29.8013245,
"CZE","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",66.52124715,"B"
"CZE","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",55.43478261,
"CZE","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",72.95193724,"B"
"CZE","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",29.07608696,
"CZE","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",73.80387823,"B"
"FRA","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",45.87737844,
"FRA","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",61.29459265,"B"
"FRA","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",38.68921776,
"FRA","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",50.27865942,"B"
"FRA","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",44.31137725,
"FRA","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",69.79843841,"B"
"FRA","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",41.31736527,
"FRA","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",66.20522102,"B"
"DEU","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",53.47682119,
"DEU","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",68.65960945,"B"
"DEU","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",27.81456954,
"DEU","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",60.28088243,"B"
"DEU","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",52.70655271,
"DEU","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",74.79586316,"B"
"DEU","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",28.91737892,
"DEU","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",64.69935339,"B"
"GRC","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",55.02183406,
"GRC","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",49.43003554,"B"
"GRC","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",24.01746725,
"GRC","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",51.5304821,"B"
"GRC","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",53.17725753,
"GRC","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",56.06116924,"B"
"GRC","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",25.4180602,
"GRC","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",56.1974763,"B"
"HUN","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",46.66666667,
"HUN","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",68.64510186,"B"
"HUN","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",33.11111111,
"HUN","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",65.43135853,"B"
"HUN","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",45.70383912,
"HUN","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",78.11193702,"B"
"HUN","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",34.73491773,
"HUN","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",73.65795763,"B"
"IRL","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",39.73214286,
"IRL","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",59.14601628,"B"
"IRL","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",42.85714286,
"IRL","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",68.93875165,"B"
"IRL","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",41.78571429,
"IRL","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",74.86273492,"B"
"IRL","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",41.96428571,
"IRL","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",77.97560551,"B"
"ITA","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",53.86178862,
"ITA","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",63.71862006,"B"
"ITA","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",29.06504065,
"ITA","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",58.61894372,"B"
"ITA","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",53.07443366,
"ITA","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",62.49665032,"B"
"ITA","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",30.42071197,
"ITA","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",59.6904688,"B"
"JPN","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",66.34920635,
"JPN","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",39.81986537,"B"
"JPN","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",17.77777778,
"JPN","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",27.38012909,"B"
"JPN","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",64.58333333,
"JPN","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",42.06552388,"B"
"JPN","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",20.83333333,
"JPN","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",39.37542569,"B"
"KOR","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",73.13432836,
"KOR","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",52.59953377,"B"
"KOR","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",12.93532338,
"KOR","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",55.1680431,"B"
"KOR","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",70.43478261,
"KOR","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",52.28211634,"B"
"KOR","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",13.47826087,
"KOR","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",63.00437155,"B"
"MEX","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",46.50205761,
"MEX","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",67.89261631,"B"
"MEX","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",25.92592593,
"MEX","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",67.67349814,"B"
"MEX","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",44.57013575,
"MEX","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",87.6368563,"B"
"MEX","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",30.54298643,
"MEX","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",89.90599955,"B"
"NLD","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",48.41040462,
"NLD","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",67.9564698,"B"
"NLD","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",34.39306358,
"NLD","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",68.39502487,"B"
"NLD","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",46.71532847,
"NLD","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",75.97918154,"B"
"NLD","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",37.71289538,
"NLD","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",79.34221909,"B"
"POL","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",49.20863309,
"POL","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",76.22143571,"B"
"POL","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",35.25179856,
"POL","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",71.00950997,"B"
"POL","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",49.25053533,
"POL","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",83.24935766,"B"
"POL","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",37.4732334,
"POL","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",78.54619397,"B"
"PRT","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",52.15419501,
"PRT","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",76.13584593,"B"
"PRT","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",24.71655329,
"PRT","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",60.83143742,"B"
"PRT","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",48.5483871,
"PRT","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",92.07301337,"B"
"PRT","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",30.64516129,
"PRT","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",87.40510113,"B"
"ESP","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",47.92899408,
"ESP","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",68.09417342,"B"
"ESP","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",30.17751479,
"ESP","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",53.33788519,"B"
"ESP","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",45.85635359,
"ESP","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",82.06894913,"B"
"ESP","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",32.78084715,
"ESP","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",61.38800971,"B"
"SWE","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",48.44290657,
"SWE","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",67.84648096,"B"
"SWE","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",30.10380623,
"SWE","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",77.12766311,"B"
"SWE","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",46.0916442,
"SWE","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",74.20341183,"B"
"SWE","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",33.96226415,
"SWE","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",79.829042,"B"
"TUR","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",71.93347193,
"TUR","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",72.93158566,"B"
"TUR","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",10.6029106,
"TUR","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",71.62831531,"B"
"TUR","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",72.2513089,
"TUR","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",68.6434183,"B"
"TUR","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",11.51832461,
"TUR","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",67.75070266,"B"
"GBR","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",40.34482759,
"GBR","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",63.90579213,"B"
"GBR","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",42.4137931,
"GBR","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",62.9043942,"B"
"GBR","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",40.0273224,
"GBR","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",69.56245516,"B"
"GBR","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",44.94535519,
"GBR","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2019",79.847655,"B"
"USA","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2018",38.0126183,
"USA","RUNBUSINESS","CURRENTMEN","PC_PISITIVEANS","A","2019",72.94523151,"B"
"USA","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2018",44.47949527,
"USA","RUNBUSINESS","CURRENTWOMEN","PC_PISITIVEANS","A","2019",62.48906474,"B"
"USA","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2018",37.22084367,
"USA","RUNBUSINESS","FUTUREMEN","PC_PISITIVEANS","A","2019",79.22682767,"B"
"USA","RUNBUSINESS","FUTUREWOMEN","PC_PISITIVEANS","A","2018",45.40942928,
