"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2017",7.967227459,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",4.136926651,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2017",6.3207464218,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2018",6.22803545,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2019",6.5781350136,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2020",6.3931856155,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.6154704094,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.4683926105,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.4632499218,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2020",2.443062067,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2017",5.3715815544,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2018",5.0617184639,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2019",4.8735108376,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2020",5.2198457718,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.4646065235,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.1867344379,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.0313613415,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2020",2.1076757908,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2017",6.1678643227,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2018",6.3052639961,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2019",5.9540281296,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2020",5.7478628159,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2021",5.4645628929,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",2.5754487514,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",2.6748712063,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",2.5626232624,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2020",2.4099369049,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2021",2.2736697197,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2017",4.2315945625,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2018",4.1443896294,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2019",3.7898635864,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2020",3.7473609447,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",1.4926698208,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",1.5753544569,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",1.6782484055,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2020",1.3363624811,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2017",4.5271277428,"B"
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2018",4.5324792862,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2019",4.7028179169,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2020",4.8670730591,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",1.4715042114,"B"
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2018",1.5271276236,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2019",1.6207209826,
